
[00:00:00.000 --> 00:00:01.880]  但我經常說實彈只可以搞妖
[00:00:01.880 --> 00:00:03.580]  我們大陸不會能夠將它打倒
[00:00:03.580 --> 00:00:05.420]  如果我們堅持的時候
[00:00:05.420 --> 00:00:07.380]  它的淫慮一定會粉碎
[00:00:07.380 --> 00:00:09.880]  最近大家有沒有留意到一段新聞
[00:00:09.880 --> 00:00:11.920]  先由星島日報來大陸揭發的
[00:00:11.920 --> 00:00:13.800]  就是一間定位址
[00:00:13.800 --> 00:00:15.140]  是不是這個女主持
[00:00:15.140 --> 00:00:17.060]  嘩 這麼厲害的
[00:00:17.060 --> 00:00:19.600]  就是有很奢華的生活
[00:00:19.600 --> 00:00:21.220]  不會吃齋 還是吃素
[00:00:21.220 --> 00:00:23.180]  就是吃肥肉這樣
[00:00:23.180 --> 00:00:24.860]  還有結過兩次婚
[00:00:24.860 --> 00:00:26.020]  後來又被人揭發了
[00:00:26.020 --> 00:00:28.020]  這個址裡面有一個密室
[00:00:28.020 --> 00:00:30.780]  原來是收藏了一個男士在當中
[00:00:30.780 --> 00:00:33.240]  但你知不知道這間定位址
[00:00:33.240 --> 00:00:36.240]  正正在市民教會的旁邊
[00:00:36.240 --> 00:00:41.280]  我們都曾經進去看過這個地方
[00:00:41.280 --> 00:00:42.280]  它們很大
[00:00:42.280 --> 00:00:45.080]  跟市民教會相對是完全沒得比的
[00:00:45.080 --> 00:00:46.580]  它們佔地很大
[00:00:46.580 --> 00:00:50.580]  但是現在出了這件事的時候
[00:00:50.580 --> 00:00:53.040]  你覺不覺得從淑玲的角度來看
[00:00:53.040 --> 00:00:55.760]  有一些惡勢力開始
[00:00:55.760 --> 00:00:57.760]  會慢慢地帶下去
[00:00:58.260 --> 00:01:00.260]  有一些敗退
[00:01:00.260 --> 00:01:02.260]  但我們不可以驕傲
[00:01:02.260 --> 00:01:06.260]  撒旦他永遠不會甘心
[00:01:06.260 --> 00:01:10.260]  他會用不同的方法來繼續挑戰我們
[00:01:10.260 --> 00:01:12.260]  所以我們更加要警醒
[00:01:12.260 --> 00:01:14.260]  所以我就開始
[00:01:14.260 --> 00:01:16.760]  跟大家一起去探索
[00:01:16.760 --> 00:01:20.260]  一個淑玲征戰的系列
[00:01:20.260 --> 00:01:22.260]  曾經用了很多時間
[00:01:22.260 --> 00:01:24.260]  跟大家一起去看耶穌講的比喻
[00:01:24.260 --> 00:01:25.520]  撒種的比喻
[00:01:25.520 --> 00:01:28.760]  撒旦怎樣去迫害一些初信
[00:01:28.760 --> 00:01:30.760]  或者剛剛信主的人
[00:01:30.760 --> 00:01:33.760]  我們都看過「袋住先撈」
[00:01:33.760 --> 00:01:35.760]  那個就是在講
[00:01:35.760 --> 00:01:38.260]  法老怎樣來跟摩西妥協
[00:01:38.260 --> 00:01:42.260]  其實就是要人放棄他自己的原則
[00:01:42.260 --> 00:01:44.260]  我剛剛講了一堂道
[00:01:44.260 --> 00:01:45.760]  都是馬太方十三章
[00:01:45.760 --> 00:01:47.260]  「魚目混珠」
