
[00:00:00.000 --> 00:00:02.120]  再低頭求主帶領我們
[00:00:02.120 --> 00:00:03.280]  我們一起禱告
[00:00:03.280 --> 00:00:07.440]  天父多謝祢給我們一段寶貴的經文
[00:00:07.440 --> 00:00:09.440]  幫助我們一起學習
[00:00:09.440 --> 00:00:12.440]  一同去為主作見證
[00:00:12.440 --> 00:00:14.920]  我們這樣祈禱奉主耶穌基督的名
[00:00:14.920 --> 00:00:16.120]  阿門
[00:00:16.120 --> 00:00:18.200]  剛才我們守聖餐很有意思
[00:00:18.200 --> 00:00:20.360]  我們紀念主為我們死而復活
[00:00:20.360 --> 00:00:21.640]  祂犧牲
[00:00:21.640 --> 00:00:23.440]  成就了這個救恩
[00:00:23.440 --> 00:00:27.040]  作門徒其實都是傳揚福音
[00:00:27.040 --> 00:00:31.040]  或許我們也會受一些苦楚或代價
[00:00:31.040 --> 00:00:32.880]  我不知道你會否想著
[00:00:32.880 --> 00:00:35.280]  門徒這個字本來已經是
[00:00:35.280 --> 00:00:36.680]  學習主 跟隨主
[00:00:36.680 --> 00:00:40.720]  我們也要面對一些代價和付出
[00:00:40.720 --> 00:00:41.960]  主耶穌十二個門徒
[00:00:41.960 --> 00:00:42.600]  大家也知道
[00:00:42.600 --> 00:00:44.400]  如果我們看回教會的歷史
[00:00:44.400 --> 00:00:48.600]  他們的下場也不是那麼容易
[00:00:48.600 --> 00:00:51.240]  有些是殉道
[00:00:51.240 --> 00:00:53.840]  我們知道有一位約翰
[00:00:53.840 --> 00:00:58.520]  他晚年年老的時候在耳鬱所裡侍奉
[00:00:58.520 --> 00:01:03.520]  最後晚年高高壽壽離開
[00:01:03.520 --> 00:01:06.360]  另外一位就是猶太
[00:01:06.360 --> 00:01:08.000]  出賣主耶穌的門徒
[00:01:08.000 --> 00:01:09.720]  他自己吊死
[00:01:09.720 --> 00:01:12.160]  出賣主耶穌之後悔疚
[00:01:12.160 --> 00:01:19.480]  其他的下場也不是那麼容易
[00:01:19.480 --> 00:01:21.400]  我們看回教會的歷史
[00:01:21.400 --> 00:01:23.160]  其中一位是雅各
[00:01:23.160 --> 00:01:27.400]  他是被斬頭斬死的
[00:01:27.400 --> 00:01:31.080]  肥力是被吊死的
[00:01:31.080 --> 00:01:36.080]  巴多萊米是被硬生打死的
[00:01:36.080 --> 00:01:38.000]  每個人都不同
[00:01:38.000 --> 00:01:42.600]  我想大家也知道彼得是怎樣死的
[00:01:42.600 --> 00:01:45.040]  有沒有人聽過
[00:01:45.040 --> 00:01:46.080]  就是釘十字架
[00:01:46.080 --> 00:01:47.160]  不過是反過來的
[00:01:47.160 --> 00:01:50.440]  他說他不配這樣釘死
[00:01:50.440 --> 00:01:53.440]  這樣做門徒也很不容易
[00:01:53.440 --> 00:01:57.240]  接著主耶穌也不是很好過
[00:01:57.240 --> 00:02:01.880]  你想想主耶穌沒有叫所有門徒都要這樣犧牲
[00:02:01.880 --> 00:02:05.280]  但是福音的確好像一些早期的教父說
[00:02:05.280 --> 00:02:09.280]  殉道者的血是福音的種子
[00:02:09.280 --> 00:02:11.600]  我們看到這些很寶貴的生命
[00:02:11.600 --> 00:02:12.560]  這樣犧牲
[00:02:12.560 --> 00:02:16.360]  我們發覺做了很多神祝福的事情
[00:02:16.360 --> 00:02:17.520]  在世界各地
[00:02:17.520 --> 00:02:21.000]  很多的福音就是他們開始栽種
[00:02:21.000 --> 00:02:24.040]  譬如在東歐國家
[00:02:24.040 --> 00:02:25.400]  亞美尼亞
[00:02:25.400 --> 00:02:27.760]  又或者中東的地方
[00:02:27.760 --> 00:02:30.160]  伊朗
[00:02:30.160 --> 00:02:33.160]  又或者亞洲的印度等等這些地方
[00:02:33.160 --> 00:02:34.880]  都是這個時間
[00:02:34.880 --> 00:02:39.640]  這12位門徒其中有些就去那裡傳福音
[00:02:39.640 --> 00:02:40.760]  是負代價
[00:02:40.760 --> 00:02:43.040]  但是我們發覺很有果效
[00:02:43.040 --> 00:02:44.200]  直到今天的果效
[00:02:44.200 --> 00:02:48.120]  直到我們今天我們都會領受得到
[00:02:48.120 --> 00:02:50.400]  所以我們今天說做門徒
[00:02:50.400 --> 00:02:52.480]  我們未必好像要做殉道
[00:02:52.480 --> 00:02:54.200]  但是做見證
[00:02:54.200 --> 00:02:56.960]  這個是我們每個人都需要
[00:02:56.960 --> 00:02:58.720]  為主做見證
[00:02:58.720 --> 00:03:01.200]  我們不需要說很危險
[00:03:01.200 --> 00:03:05.600]  在香港我相信都有很多自由的傳講福音
[00:03:05.600 --> 00:03:09.000]  但是你可能都會負了一些的代價
[00:03:09.000 --> 00:03:10.920]  一些的不方便
