
[00:00:00.000 --> 00:00:02.000]  好,讓我們先聽神的奧義
[00:00:02.000 --> 00:00:03.400]  讓我們先同心同德
[00:00:03.400 --> 00:00:05.080]  好,弟弟們,讓我們先聽神的奧義
[00:00:05.080 --> 00:00:06.400]  先同心同德
[00:00:06.400 --> 00:00:09.200]  各位親愛的父神,多謝祢
[00:00:09.200 --> 00:00:13.160]  讓我們有機會再次打開祢的說話
[00:00:13.160 --> 00:00:17.400]  藉著祢愛治耶穌基督
[00:00:17.400 --> 00:00:20.080]  在地上所作的工作
[00:00:20.080 --> 00:00:23.280]  讓我們能夠重新得力
[00:00:23.280 --> 00:00:25.800]  也重新得到榮幸的生命
[00:00:25.800 --> 00:00:27.200]  我們再次獻上感謝
[00:00:28.880 --> 00:00:30.880]  而我們的主,祢的兒子
[00:00:30.880 --> 00:00:32.880]  亦都點掌去呼召祢的僕人
[00:00:32.880 --> 00:00:35.880]  去將祢的道理
[00:00:35.880 --> 00:00:37.880]  專心仰望在神祢的面前
[00:00:37.880 --> 00:00:42.880]  去施教給每一個願意追求主道的人
[00:00:42.880 --> 00:00:44.880]  祂的見證
[00:00:44.880 --> 00:00:46.880]  祂的工作
[00:00:46.880 --> 00:00:48.880]  祂的侍奉
[00:00:48.880 --> 00:00:50.880]  都成為我們今天做基督徒
[00:00:50.880 --> 00:00:52.880]  去學校怎樣去做一個
[00:00:52.880 --> 00:00:56.880]  合神心意的主的子民
[00:00:56.880 --> 00:00:57.880]  我們再次祈求祢
[00:00:57.880 --> 00:00:59.880]  讓今天的講章
[00:00:59.880 --> 00:01:01.880]  今天的經文
[00:01:01.880 --> 00:01:03.880]  能夠成為我們一個更重要的
[00:01:03.880 --> 00:01:05.880]  屬性生命的挑戰
[00:01:05.880 --> 00:01:07.880]  讓我們能夠真正的
[00:01:07.880 --> 00:01:09.880]  毀身在祢的裡面
[00:01:09.880 --> 00:01:11.880]  能夠成長起來
[00:01:11.880 --> 00:01:14.880]  活像祢的兒子耶穌基督一樣
[00:01:14.880 --> 00:01:17.880]  各位親愛的父神,多謝祢
[00:01:17.880 --> 00:01:20.880]  讓我們能夠有這份福祉
[00:01:20.880 --> 00:01:23.880]  能夠獻上主祢的話語
[00:01:23.880 --> 00:01:25.880]  打開當中
[00:01:25.880 --> 00:01:27.880]  祢獨守兒子耶穌基督
[00:01:27.880 --> 00:01:29.880]  所行,所做,所講的事
[00:01:29.880 --> 00:01:31.880]  我們再次獻上感謝
[00:01:31.880 --> 00:01:33.880]  也透過祂
[00:01:33.880 --> 00:01:37.880]  怎麼護照祢的僕人
[00:01:37.880 --> 00:01:39.880]  能夠專心仰望
[00:01:39.880 --> 00:01:42.880]  在侍奉主祢道上面的工作
[00:01:42.880 --> 00:01:44.880]  我們也再次獻上感恩
[00:01:44.880 --> 00:01:48.880]  願我們今天能夠延續
[00:01:48.880 --> 00:01:52.880]  這個佛法
[00:01:52.880 --> 00:01:55.880]  繼續把主的道延展出去
[00:01:55.880 --> 00:01:57.880]  我們再次獻上感謝
[00:01:57.880 --> 00:02:00.880]  透過祢的僕人保羅
[00:02:00.880 --> 00:02:02.880]  祂的侍奉
[00:02:02.880 --> 00:02:03.880]  讓我們也學習
