
[00:00:00.000 --> 00:00:05.000]  唱了一首詩歌的時候,那個是不是你的祈禱呢?
[00:00:05.000 --> 00:00:12.000]  最近我們也有弟兄姊妹學習用一個叫太宅的方式來祈禱
[00:00:12.000 --> 00:00:15.000]  其中很多東西我都不太明白,但最明白的就是
[00:00:15.000 --> 00:00:20.000]  用詩歌成為我們的祈禱,去跟神交往
[00:00:20.000 --> 00:00:25.000]  今早的權能時間我也有看,不過看了後半節
[00:00:25.000 --> 00:00:30.000]  他也是強調我們要常常祈禱,特別學聆聽
[00:00:30.000 --> 00:00:37.000]  特別需要把祈禱變成我們的呼吸一樣,去養育我們的靈性
[00:00:37.000 --> 00:00:42.000]  不斷地跟神交流傾談
[00:00:42.000 --> 00:00:47.000]  這個祈禱是不是你的祈禱呢?成為我的意象
[00:00:47.000 --> 00:00:54.000]  我們要重尋意象的時候,我們很多時候想的是要為神做些什麼事
[00:00:54.000 --> 00:00:57.000]  怎樣為神去拓展他的角度
[00:00:57.000 --> 00:01:02.000]  怎樣為神去帶來這個世界有多一些的公義
[00:01:02.000 --> 00:01:05.000]  多一些的憐憫,多一些的慈悲
[00:01:05.000 --> 00:01:09.000]  這個是關上我們重尋意象的內容
[00:01:09.000 --> 00:01:14.000]  但是很奇怪,這首詩歌重尋的意象是什麼意象呢?
[00:01:14.000 --> 00:01:19.000]  大家有看到是什麼意象嗎?
[00:01:19.000 --> 00:01:29.000]  不是一個doing,不是為神做些什麼事情的意象
[00:01:29.000 --> 00:01:39.000]  是怎樣跟神交往,以神成為自己生命的焦點
[00:01:39.000 --> 00:01:46.000]  去改變自己存在的形態
[00:01:46.000 --> 00:01:49.000]  我們要怎樣成為一個人呢?
[00:01:49.000 --> 00:01:53.000]  我們要怎樣在基督裡面成為一個何等樣式的人
[00:01:53.000 --> 00:01:59.000]  怎樣天上的君王,常常成為我們渴求的對象
[00:01:59.000 --> 00:02:04.000]  有志學家,我都記得不太清楚,好像是田雅克說
[00:02:04.000 --> 00:02:09.000]  什麼是我們的信仰,就是我們終極的關注
[00:02:09.000 --> 00:02:15.000]  究竟我們終極的關注,是關注要去做事,還是關注怎樣去做人
[00:02:15.000 --> 00:02:20.000]  要成為怎樣一個合乎神心意的人
[00:02:20.000 --> 00:02:25.000]  今日分派的教會最大的危機,其中一樣東西
[00:02:25.000 --> 00:02:29.000]  就是太強調為神去做事
[00:02:29.000 --> 00:02:34.000]  不是錯的,不過是一個危機
[00:02:34.000 --> 00:02:41.000]  正如馬大和瑪利亞,他們都在享受耶穌臨在他們的家庭裡面
[00:02:41.000 --> 00:02:45.000]  那份榮譽,那份喜悅
[00:02:45.000 --> 00:02:51.000]  但是用不同的心態,用不同的對自己自身的角色的理解
[00:02:51.000 --> 00:02:55.000]  去進入這種同在的享受裡面的時候
[00:02:55.000 --> 00:03:03.000]  它是引發完全不同的心情,情緒和回應的行動
[00:03:03.000 --> 00:03:06.000]  今日我自己曾經都這樣祈禱
[00:03:06.000 --> 00:03:09.000]  主啊,拿走我馬大的靈
[00:03:09.000 --> 00:03:12.000]  我也很喜歡工作,工作狂
[00:03:12.000 --> 00:03:18.000]  給我一個馬大,一個悔改更新的馬大的靈
[00:03:18.000 --> 00:03:23.000]  讓我像瑪利亞一樣,享受上好的福分
[00:03:23.000 --> 00:03:26.000]  這曾經都是我自己的祈禱
[00:03:26.000 --> 00:03:30.000]  不過人在江湖,大家都是在江湖,香港的大江湖裡面
[00:03:30.000 --> 00:03:32.000]  好像心不由己
[00:03:32.000 --> 00:03:36.000]  就給世界的氣氛,工作的需要,各樣的東西
[00:03:36.000 --> 00:03:40.000]  推動我們做,做,做,做,做,做,做,做,做,做
[00:03:40.000 --> 00:03:44.000]  做到失去了上好的福分
[00:03:44.000 --> 00:03:47.000]  那算了,馬大的福分都不少的
[00:03:47.000 --> 00:03:52.000]  低低地,逛街都拿回一份馬大的福分
[00:03:52.000 --> 00:03:54.000]  這個是不是我們的意象呢?
[00:03:54.000 --> 00:03:57.000]  究竟我們的意象是一個期盼
[00:03:57.000 --> 00:04:00.000]  我們的人生是被這個期盼的意象在推動著
[00:04:00.000 --> 00:04:04.000]  還是恐怕做得不夠的恐懼在推動著
[00:04:04.000 --> 00:04:06.000]  恐怕我們負責任不夠
[00:04:06.000 --> 00:04:08.000]  在推動著我們的人生
[00:04:08.000 --> 00:04:11.000]  去建立我們基督徒的生命
[00:04:11.000 --> 00:04:18.000]  大使命,我相信是每一個基督徒
[00:04:18.000 --> 00:04:21.000]  就對浸信的弟兄姊妹很清楚
[00:04:21.000 --> 00:04:25.000]  不是對使徒說,是對每一個弟兄姊妹說
[00:04:25.000 --> 00:04:26.000]  是不是?
[00:04:26.000 --> 00:04:29.000]  所以我們很強調信徒皆為祭司
[00:04:29.000 --> 00:04:32.000]  是每一個弟兄姊妹一起的
[00:04:32.000 --> 00:04:36.000]  去服侍,去構建基督的身體
[00:04:36.000 --> 00:04:41.000]  將神的臨在彰顯在這個世界的裏面
[00:04:41.000 --> 00:04:45.000]  讓我們的論社認識到神的愛和公義憐憫
[00:04:45.000 --> 00:04:47.000]  將榮耀歸給他
[00:04:47.000 --> 00:04:51.000]  這個是神對我們的期盼,大使命
[00:04:51.000 --> 00:04:56.000]  所以大使命除了馬太方二十八章,十八到二十節
[00:04:56.000 --> 00:05:05.000]  也有小行尊一章八節,傳到地極的內容當中
[00:05:05.000 --> 00:05:14.000]  Doing和Being,做甚麼和你存在的生命形態
[00:05:14.000 --> 00:05:16.000]  不是互相的排斥
[00:05:16.000 --> 00:05:18.000]  正如我們祈禱的時候
[00:05:18.000 --> 00:05:22.000]  我們不慣於去讚美神
[00:05:22.000 --> 00:05:24.000]  我們慣於去感謝神
[00:05:24.000 --> 00:05:28.000]  我們東方人容易看到神為我們做了甚麼
[00:05:28.000 --> 00:05:30.000]  所以我們去多謝祂
[00:05:30.000 --> 00:05:33.000]  但神做事和祂的屬性是不能完全分割的
[00:05:33.000 --> 00:05:38.000]  不過我們的習慣去回應去觀察去了解的時候
[00:05:38.000 --> 00:05:43.000]  會有不同的重點去體會
[00:05:43.000 --> 00:05:45.000]  所以有時候當我們要讚美的時候
[00:05:45.000 --> 00:05:47.000]  好像很概念化
[00:05:47.000 --> 00:05:50.000]  神的屬性是很哲學化很神學化
[00:05:50.000 --> 00:05:52.000]  那些字眼要出來的時候
[00:05:52.000 --> 00:05:57.000]  我們讚美的說話就顯得很有限制
[00:05:57.000 --> 00:06:02.000]  所以這些文化可能是造成一些特性
[00:06:02.000 --> 00:06:04.000]  令到我們都在拉扯當中
[00:06:04.000 --> 00:06:08.000]  但並不互相的排斥
[00:06:08.000 --> 00:06:12.000]  大使命我們多數都是用一個Doing
