
[00:00:00.000 --> 00:00:11.340]  今天很高興,即使面對嚴峻的疫情,我們仍然能夠透過科技去敬拜
[00:00:11.340 --> 00:00:15.760]  原來疫情無法阻撓我們去敬拜主
[00:00:15.760 --> 00:00:23.420]  我們有心智立志去敬拜主的時候,就一定有方法去解決
[00:00:23.420 --> 00:00:30.800]  我今天講到的經文是記載在《仕途行傳》第十九章一至二十節中
[00:00:30.800 --> 00:00:36.160]  剛剛提到的題目是無法被阻撓的聖靈
[00:00:36.160 --> 00:00:41.620]  不知道大家回想一下,不知道大家信主有多久了
[00:00:41.620 --> 00:00:43.620]  可能很長,可能很短
[00:00:43.620 --> 00:00:56.920]  但是在你信主的年日裡面,有沒有試過有一段時間真真實實去經歷與神同在、與神同行、與神同供的一段日子呢?
[00:00:56.920 --> 00:01:01.220]  被聖靈所引導的經歷是非常奇妙的
[00:01:01.220 --> 00:01:08.780]  我講一次我印象最深刻的經歷,就是我入神學院
[00:01:08.780 --> 00:01:16.660]  在我入神學院之前的報名的情況,其實是我面對著很多不同的困難
[00:01:16.660 --> 00:01:21.400]  第一樣很大的困難就是,其實我家人都還沒有信主
[00:01:21.400 --> 00:01:29.980]  他們就對著我說要去讀神學的這件事就感到很懷疑
[00:01:29.980 --> 00:01:39.640]  我那時候的年紀都很小,好像現在都很小,那時候二十三歲
[00:01:39.640 --> 00:01:45.620]  對於入讀神學的年紀來說都算是相當年輕的
[00:01:45.620 --> 00:01:53.640]  我想讀的那間神學院其實都很久沒有收過這個年紀的學生了
[00:01:53.640 --> 00:02:00.340]  其實年紀很小,又覺得自己沒有什麼工作經驗,很多事情都沒有什麼信心
[00:02:00.340 --> 00:02:08.720]  但是現在回看,其實上帝要去成就的事情,祂是無法被很多困難所阻撓的
[00:02:08.720 --> 00:02:15.060]  今天的經文正正是在講聖靈都無法被任何東西阻撓
[00:02:15.060 --> 00:02:19.160]  祂要去成就的事情,上帝必然會成就
[00:02:19.160 --> 00:02:25.100]  今天的經文就大概分為三個部分,可以check出powerpoint的
[00:02:25.100 --> 00:02:30.080]  第一個部分就是五重節的事件再重演
[00:02:30.080 --> 00:02:34.180]  第二個部分就是保羅去改變港獨的地方
[00:02:34.180 --> 00:02:37.740]  第三個部分就是史基雅的七個兒子去講鬼
[00:02:37.740 --> 00:02:43.240]  和這件事對於以弗所造成的影響
[00:02:43.240 --> 00:02:49.560]  接下來我們會逐個部分去了解這個經文所講的內容
[00:02:49.560 --> 00:02:54.560]  我們先祈禱,主祢賜下祢寶貴的話語
[00:02:54.560 --> 00:03:02.480]  更加賜下聖靈作我們的保衛師,讓我們能夠明白主祢自己要講的話語
[00:03:02.480 --> 00:03:07.280]  求主祢的亮光去光照我們,讓我們明白祢的道
[00:03:07.280 --> 00:03:14.940]  也讓我們有信心,有能力去進行主祢自己的訓誨和教導
[00:03:14.940 --> 00:03:20.880]  我們求主祢幫助,讓我們能夠在這段時間裡
[00:03:20.880 --> 00:03:25.460]  浸沉在主祢自己的話語裡,讓我們得著能力
[00:03:25.460 --> 00:03:27.680]  讓我們在生命裡作出改變
[00:03:27.680 --> 00:03:31.500]  我們這樣祈禱交託,奉主名求,阿們
[00:03:31.500 --> 00:03:40.360]  我們也要先讀讀經文,先讀《使徒行傳》第十九章一至七節
[00:03:40.360 --> 00:03:42.660]  就是我剛才要講的第一個部分
[00:03:42.660 --> 00:03:45.760]  我們一起讀,一二三
[00:03:45.760 --> 00:03:51.400]  阿波羅在哥林多的時候,保羅經過了內陸地區
[00:03:51.400 --> 00:03:56.000]  來到以弗所,在那裡他遇見幾個門徒
[00:03:56.000 --> 00:04:00.820]  問他們:你們信的時候領受了聖靈沒有?
[00:04:00.820 --> 00:04:02.560]  他們說:沒有
[00:04:02.560 --> 00:04:06.360]  我們連什麼是聖靈都沒有聽過
[00:04:06.360 --> 00:04:10.940]  保羅說:這樣你們受的是什麼洗?
[00:04:10.940 --> 00:04:14.220]  他們說:是受了約翰的洗
[00:04:14.220 --> 00:04:18.880]  保羅說:約翰所施的是悔改的洗禮
[00:04:18.880 --> 00:04:25.660]  他告訴百姓當信那在他以後要來的那位,就是耶穌
[00:04:25.660 --> 00:04:30.960]  他們聽見者說:以後就奉主耶穌的名受洗
[00:04:30.960 --> 00:04:36.020]  保羅給他們按手,聖靈就降在他們身上
[00:04:36.020 --> 00:04:39.540]  他們開始說方言和說預言
[00:04:39.540 --> 00:04:43.200]  他們約有十二個人
[00:04:43.200 --> 00:04:45.980]  經文暫時讀到這裡
[00:04:45.980 --> 00:04:48.620]  剛剛我也講了很多次
[00:04:48.620 --> 00:04:51.940]  這是五旬節事件的重演
[00:04:51.940 --> 00:05:01.540]  其實這段經文一定要講回《仕途行傳》第二章所提到的五旬節事件
[00:05:01.540 --> 00:05:04.440]  兩件事其實有高度的相似性
[00:05:04.440 --> 00:05:11.040]  雖然大家都聽過那天講《仕途行傳》第二章的道
[00:05:11.040 --> 00:05:15.380]  但我都唯恐大家會忘記,那就有一點重溫了
[00:05:15.380 --> 00:05:23.060]  《仕途行傳》第二章的時期剛剛以搖籤的方式揀選了馬提亞
[00:05:23.060 --> 00:05:28.120]  取代猶大作為門徒這個位置的人選
[00:05:28.120 --> 00:05:32.720]  接著十二個門徒在五旬節裡面領受聖靈
[00:05:32.720 --> 00:05:37.360]  他們領受完聖靈之後就開始說方言
[00:05:37.360 --> 00:05:43.080]  在《仕途行傳》第二章提及聖靈降臨的時候有響聲
[00:05:43.080 --> 00:05:47.880]  有大風吹過,有舌頭像火焰一樣向他們顯現
[00:05:47.880 --> 00:05:51.080]  分開落在每個人的身上
[00:05:51.080 --> 00:05:57.160]  基督的門徒十二個被聖靈所充滿
[00:05:57.160 --> 00:06:02.480]  按著聖靈所賜的口才講起其他國家的說話
[00:06:02.480 --> 00:06:10.020]  約翰門徒在五旬節的情景裡面有一個很高度的相似性
[00:06:10.020 --> 00:06:15.040]  其實他們基本上是重演了五旬節裡面所說的一些事件
[00:06:15.040 --> 00:06:20.880]  首先這十二個約翰門徒其實不太認識主耶穌基督
[00:06:20.880 --> 00:06:23.300]  他們沒聽過主耶穌的名字
[00:06:23.300 --> 00:06:25.460]  也沒受過聖靈的洗
[00:06:25.460 --> 00:06:29.520]  所以嚴格來說他們不算是基督徒
[00:06:29.520 --> 00:06:35.640]  他們這群人的情況就好像早前所說的阿波羅一樣
[00:06:35.640 --> 00:06:43.000]  但是其實對於福音不全面的形式沒有辦法成為他們信主的阻撓
[00:06:43.000 --> 00:06:46.220]  也不能成為聖靈的阻撓
[00:06:46.220 --> 00:06:52.060]  他們去明白和接受施洗約翰所傳的悔改的道
