
[00:00:00.000 --> 00:00:05.680]  在1938年2月 中國抗戰打了9個月的時候
[00:00:05.680 --> 00:00:11.760]  山東的臨沂就被日本最頑強的板垣兵團猛攻
[00:00:11.760 --> 00:00:17.040]  如果臨沂失守的話 整個華東戰線就會崩潰
[00:00:17.040 --> 00:00:23.120]  當時駐守臨沂的就是龐炳勳將軍的第40兵團
[00:00:23.120 --> 00:00:25.840]  雖然叫兵團 但其實軍力不足一萬人
[00:00:25.840 --> 00:00:28.320]  而且裝備非常壞
[00:00:28.320 --> 00:00:31.160]  而且裝備非常落後
[00:00:31.160 --> 00:00:32.800]  根本就無法打仗
[00:00:32.800 --> 00:00:36.400]  於是他就向第五區的司令官
[00:00:36.400 --> 00:00:42.160]  當時是李宗仁將軍 就是後來的副總統去求救
[00:00:42.160 --> 00:00:45.080]  第五戰區雖然有16萬兵力
[00:00:45.080 --> 00:00:49.160]  但大部分的軍隊都去了淮河一帶作戰
[00:00:49.160 --> 00:00:51.440]  如果要抽調的話
[00:00:51.440 --> 00:00:57.520]  最有可能的就是抽調張智忠的第59兵團
[00:00:57.520 --> 00:00:59.160]  但有一個大問題
[00:00:59.160 --> 00:01:04.520]  因為張智忠和龐炳勳是有很深的仇恨
[00:01:04.520 --> 00:01:10.120]  原來張智忠和龐炳勳都是來自西北軍的
[00:01:10.120 --> 00:01:14.360]  但自從1930年中原大戰之後
[00:01:14.360 --> 00:01:17.200]  西北軍土崩瓦解
[00:01:17.200 --> 00:01:20.360]  各自去發展自己的地盤
[00:01:20.360 --> 00:01:25.160]  當時龐炳勳為了壯大自己的勢力
[00:01:25.160 --> 00:01:29.680]  竟然出兵突襲張智忠軍隊
[00:01:29.680 --> 00:01:31.600]  自己突襲自己人
[00:01:31.600 --> 00:01:33.800]  張智忠的部隊死傷慘重
[00:01:33.800 --> 00:01:37.280]  而張智忠本身也是受了重傷
[00:01:37.280 --> 00:01:40.640]  你想想 今天叫他救龐炳勳
[00:01:40.640 --> 00:01:44.280]  有什麼事發生
[00:01:44.280 --> 00:01:48.160]  當時李宗仁將軍15-16 怎麼辦
[00:01:48.160 --> 00:01:51.320]  但手上沒有其他軍隊
[00:01:51.320 --> 00:01:54.240]  他唯有兵行險著
[00:01:54.240 --> 00:01:58.400]  抽調第59兵團直去臨沂
[00:01:58.400 --> 00:02:01.360]  當張逸忠收到這個命令之後
[00:02:01.360 --> 00:02:05.960]  他完全沒有想過任何的可能性
[00:02:05.960 --> 00:02:10.040]  即刻日夜兼程全速開去臨沂
[00:02:10.040 --> 00:02:12.600]  其實當時日本軍團
[00:02:12.600 --> 00:02:17.560]  已經掌握到張智忠第59軍的動向
[00:02:17.560 --> 00:02:20.320]  在他們的計算裏面他們認為
[00:02:20.320 --> 00:02:23.920]  59兵團最快要三天才去到臨沂
[00:02:23.920 --> 00:02:28.600]  當時這麼弱 這麼殘的
[00:02:28.600 --> 00:02:31.720]  龐炳勳軍團已經被我們消滅
[00:02:31.720 --> 00:02:36.840]  更好 三天之後59兵團送上門
[00:02:36.840 --> 00:02:39.440]  我們可以將他們全部殲滅
[00:02:39.440 --> 00:02:41.480]  但他們想不到
[00:02:41.480 --> 00:02:47.560]  張智忠軍隊已經用了一天一夜的時間去到臨沂
[00:02:47.560 --> 00:02:52.000]  正因為這個完全不是日軍的預期
[00:02:52.000 --> 00:02:55.800]  他們在日軍陣營的背後突然出現
[00:02:55.800 --> 00:02:58.720]  發動了一個很大的突襲
[00:02:58.720 --> 00:03:05.200]  而當時被包圍的龐炳勳軍團也是絕地反擊
[00:03:05.200 --> 00:03:08.240]  日本人他們想不到
[00:03:08.240 --> 00:03:11.320]  在他們眼裏面的一盤散沙的中國軍隊
[00:03:11.320 --> 00:03:14.480]  竟然可以內外夾擊他們
[00:03:14.480 --> 00:03:20.680]  結果日本這個精銳的反援兵團死傷慘重
[00:03:20.680 --> 00:03:28.120]  據說日軍的屍體用百多輛卡車都運不完
[00:03:28.120 --> 00:03:31.400]  而今次臨沂的勝利
[00:03:31.400 --> 00:03:35.440]  也造就了下一場戰爭
[00:03:35.440 --> 00:03:42.680]  李宗仁將軍在台兒莊能夠殲滅日軍的一個奇蹟
[00:03:42.680 --> 00:03:47.400]  所以在抗戰之後很多年
[00:03:47.400 --> 00:03:51.240]  李宗仁將軍親自在台兒莊拍了一張照片
[00:03:51.240 --> 00:03:53.720]  送給張志忠
[00:03:53.720 --> 00:03:57.800]  他說:若非張氏大義凜然
[00:03:57.800 --> 00:04:01.200]  摒棄前嫌及時復緩
[00:04:01.200 --> 00:04:05.040]  則龐氏所報已成甕中之別
[00:04:05.040 --> 00:04:09.040]  以致全軍覆沒
[00:04:09.040 --> 00:04:11.920]  古往今來在任何的情況下
[00:04:11.920 --> 00:04:15.200]  大敵當前
[00:04:15.200 --> 00:04:17.360]  人別無選擇
[00:04:17.360 --> 00:04:20.080]  只是合一
[00:04:20.080 --> 00:04:24.520]  今天我們讀這篇圖文
[00:04:24.520 --> 00:04:27.240]  就是耶穌離開世界之前
[00:04:27.240 --> 00:04:34.200]  祂預示了門徒在世上要面對的一個凶險的戰爭
[00:04:34.200 --> 00:04:41.040]  祂特別求顛覆、保守這班門徒和合一
