
[00:00:00.000 --> 00:00:04.720]  我今天的經文選擇了詩篇的經文
[00:00:04.720 --> 00:00:08.940]  是七十八篇一到七節
[00:00:08.940 --> 00:00:11.640]  我今天也會讀相當多的經文
[00:00:11.640 --> 00:00:14.000]  這是主要的經文
[00:00:14.000 --> 00:00:15.920]  我想大家一起讀
[00:00:15.920 --> 00:00:18.800]  讀的時候我想有些不同
[00:00:18.800 --> 00:00:22.880]  我們敬拜唱詩會是「站立讚美」
[00:00:22.880 --> 00:00:25.400]  我想試試讀經也試試站立
[00:00:25.400 --> 00:00:26.840]  宣讀整個話好嗎
[00:00:26.840 --> 00:00:28.600]  一起在整個電影當中
[00:00:28.600 --> 00:00:33.080]  站立、揚聲、大聲地宣讀整個話
[00:00:33.080 --> 00:00:35.320]  揚聲整個話充滿聖殿
[00:00:35.320 --> 00:00:37.640]  請大家再次起身
[00:00:37.640 --> 00:00:40.560]  詩篇七十八篇一到七節
[00:00:40.560 --> 00:00:41.800]  我們開始
[00:00:41.800 --> 00:00:46.000]  「我的民哪!你們要留心聽我的訓誨
[00:00:46.000 --> 00:00:48.400]  則以聽我口中的話
[00:00:48.400 --> 00:00:50.640]  我要開口說比喻
[00:00:50.640 --> 00:00:53.200]  我要說出古時的謎語
[00:00:53.200 --> 00:00:56.200]  是我們所聽見所知道的
[00:00:56.200 --> 00:00:59.560]  也是我們的祖宗告訴我們的
[00:00:59.560 --> 00:01:03.800]  我們不將這些事向他們的子孫隱瞞
[00:01:03.800 --> 00:01:07.080]  要將耶和華的美德和他的能力
[00:01:07.080 --> 00:01:09.000]  並差其妙的作為
[00:01:09.000 --> 00:01:11.800]  傳說給後代聽
[00:01:11.800 --> 00:01:15.320]  因為他在雅各宗立法道
[00:01:15.320 --> 00:01:17.640]  在司律宗設律法
[00:01:17.640 --> 00:01:22.160]  是他吩咐我們祖宗要傳給子孫的
[00:01:22.160 --> 00:01:26.280]  使將要生的後代子孫可以曉得
[00:01:26.280 --> 00:01:29.800]  他們也要起來告訴他們的子孫
[00:01:29.800 --> 00:01:32.080]  好叫他們仰望神
[00:01:32.080 --> 00:01:34.160]  不忘記神的作為
[00:01:34.160 --> 00:01:36.480]  唯要守他的命令」
[00:01:36.480 --> 00:01:38.080]  大家請坐
[00:01:38.080 --> 00:01:40.480]  我之後有五段經文
[00:01:40.480 --> 00:01:43.520]  我讀的時候請大家幫我一起讀
[00:01:43.520 --> 00:01:46.640]  我不提醒大家了
[00:01:46.640 --> 00:01:51.920]  詩言一開始在聖經的經文當中
[00:01:51.920 --> 00:01:55.760]  就要人專心聽他說的話
[00:01:55.760 --> 00:01:58.320]  在第一節經文說
[00:01:58.320 --> 00:02:01.360]  「你要留心聽我的訓誨
[00:02:01.360 --> 00:02:04.320]  則以聽我口中的話
[00:02:04.320 --> 00:02:07.120]  就像耶穌基督所說的
[00:02:07.120 --> 00:02:10.800]  有耳可聽的就應當聽」
