
[00:00:00.000 --> 00:00:06.000]  大兄姊妹,歡迎大家再次來到神的家一起去敬拜
[00:00:06.000 --> 00:00:12.000]  特別是在電視機面前,或者手機面前
[00:00:12.000 --> 00:00:15.000]  一齊和我們敬拜的大兄姊妹
[00:00:15.000 --> 00:00:19.000]  我們都帶著感恩的心來到神的面前
[00:00:19.000 --> 00:00:22.000]  希望很快這個日子可以過去
[00:00:22.000 --> 00:00:28.000]  最近的疫情也可以低一點
[00:00:28.000 --> 00:00:31.000]  我們希望多一兩個星期
[00:00:31.000 --> 00:00:37.000]  能夠重新在教會裡敬拜
[00:00:37.000 --> 00:00:40.000]  記得上次的講道
[00:00:40.000 --> 00:00:43.000]  我提及到香港的小朋友
[00:00:43.000 --> 00:00:48.000]  在未入學之前都懂得一個「爭」字
[00:00:48.000 --> 00:00:52.000]  現在都沒有再學,還爭什麼呢?
[00:00:52.000 --> 00:00:54.000]  原來還有得爭的
[00:00:54.000 --> 00:01:00.000]  因為有些準備入幼稚園的小朋友
[00:01:00.000 --> 00:01:05.000]  他們的家長因為幼稚園不可以面試
[00:01:05.000 --> 00:01:12.000]  所以他們就開始拍一些影片給那些學校
[00:01:12.000 --> 00:01:16.000]  看看他們的小朋友多麼的精靈
[00:01:16.000 --> 00:01:19.000]  多麼的活潑,多麼的可愛
[00:01:19.000 --> 00:01:23.000]  所以現在有很多家長要學製片
[00:01:23.000 --> 00:01:27.000]  要拍影片,要製片
[00:01:27.000 --> 00:01:31.000]  所以你看到其實香港人真的很厲害
[00:01:31.000 --> 00:01:36.000]  也有不少很精靈的家長
[00:01:36.000 --> 00:01:40.000]  他們不惜工本請一些專業的攝影
[00:01:40.000 --> 00:01:42.000]  現在沒有那麼公開
[00:01:42.000 --> 00:01:48.000]  請一些攝影的公司和他們的小朋友拍一輯
[00:01:48.000 --> 00:01:54.000]  真的可以媲美奧斯卡那樣的影片
[00:01:54.000 --> 00:01:58.000]  所以你看到都殺出了一條血路
[00:01:58.000 --> 00:02:00.000]  都未嘗不好
[00:02:00.000 --> 00:02:04.000]  所以有一個新行業就誕生了
[00:02:04.000 --> 00:02:06.000]  其實我們看到
[00:02:06.000 --> 00:02:10.000]  為什麼那麼辛苦都要去做那麼多呢?
[00:02:10.000 --> 00:02:14.000]  都是想入名牌的幼稚園
[00:02:14.000 --> 00:02:19.000]  接著幼稚園接著小學,小學接著中學
[00:02:19.000 --> 00:02:20.000]  一直都是這樣
[00:02:20.000 --> 00:02:24.000]  所以香港人是很相信名牌的
[00:02:24.000 --> 00:02:27.000]  我們今天講道的經民也都發現
