
[00:00:00.000 --> 00:00:06.000]  大家好 平安喜樂
[00:00:06.000 --> 00:00:09.000]  家中的弟兄姊妹都經歷上帝的祝福
[00:00:09.000 --> 00:00:11.000]  今天跟大家分享一個題目
[00:00:11.000 --> 00:00:13.000]  問你會否跟我走
[00:00:13.000 --> 00:00:17.000]  先問一問 誰有喝酒的?
[00:00:17.000 --> 00:00:19.000]  有喝酒的 懂得喝酒的 是不是?
[00:00:19.000 --> 00:00:21.000]  那行了 待會你出來說
[00:00:21.000 --> 00:00:24.000]  因為我酒就不懂了
[00:00:24.000 --> 00:00:26.000]  我都不喝酒的
[00:00:26.000 --> 00:00:28.000]  我喝不到酒的
[00:00:28.000 --> 00:00:33.000]  不過都嘗試在這個題目裏思考神給我們的學習
[00:00:33.000 --> 00:00:35.000]  我們一起祈禱
[00:00:35.000 --> 00:00:38.000]  天父我們去感謝你
[00:00:38.000 --> 00:00:40.000]  因為你話語是寶貴
[00:00:40.000 --> 00:00:45.000]  你所做的一切都成為我們生命裏的啟迪
[00:00:45.000 --> 00:00:47.000]  求主耶穌你親自幫助我們
[00:00:47.000 --> 00:00:50.000]  藉著你所顯的第一個神蹟
[00:00:50.000 --> 00:00:54.000]  去教導我們 幫助我們 建立我們
[00:00:54.000 --> 00:00:57.000]  成為主你合用喜悅的門徒
[00:00:57.000 --> 00:00:59.000]  求你帶領我們的時間
[00:00:59.000 --> 00:01:02.000]  祈禱奉耶穌名字而求 阿們
[00:01:02.000 --> 00:01:06.000]  所以今天跟大家分享這個題目
[00:01:06.000 --> 00:01:10.000]  這幅是現代一點的酒宴
[00:01:10.000 --> 00:01:13.000]  有個現代一點的耶穌在這裏
[00:01:13.000 --> 00:01:15.000]  這是AI幫我做的
[00:01:15.000 --> 00:01:18.000]  現代感覺大家投入感會多一點
[00:01:18.000 --> 00:01:21.000]  如果大家還記得
[00:01:21.000 --> 00:01:23.000]  在我們過去這兩三個月裏
[00:01:23.000 --> 00:01:27.000]  跟大家看的聖經是哪一卷
[00:01:27.000 --> 00:01:29.000]  馬拉基書
[00:01:29.000 --> 00:01:33.000]  事實上馬拉基書是舊約裏面
[00:01:33.000 --> 00:01:35.000]  最後的一卷書
[00:01:35.000 --> 00:01:39.000]  按照我們的研究
[00:01:39.000 --> 00:01:42.000]  在馬拉基書成為最後一卷書之後
[00:01:42.000 --> 00:01:44.000]  大約有四百年
[00:01:44.000 --> 00:01:48.000]  再沒有任何先知的書的記錄
