
[00:00:00.000 --> 00:00:02.000]  好 各位午安
[00:00:02.000 --> 00:00:05.500]  我們一起去學習上帝的話語
[00:00:05.500 --> 00:00:07.000]  用心同心的祈禱
[00:00:07.000 --> 00:00:10.000]  親愛的阿爸 父
[00:00:10.000 --> 00:00:13.000]  你是蒼天造地 掌管萬有的主
[00:00:13.000 --> 00:00:15.000]  當你面對一個不容易的世代
[00:00:15.000 --> 00:00:19.000]  我們更加要去聚焦在你的身上
[00:00:19.000 --> 00:00:22.000]  去看準上帝在這個世代
[00:00:22.000 --> 00:00:24.000]  你要伴屬你的子民
[00:00:24.000 --> 00:00:27.000]  怎樣去回應當下的需要
[00:00:27.000 --> 00:00:30.000]  主要求你加能賜力 讓祂同行同在
[00:00:30.000 --> 00:00:31.000]  用你的話語帶著能力
[00:00:31.000 --> 00:00:33.000]  執著聖靈的工作去激勵我們
[00:00:33.000 --> 00:00:36.000]  願意無論講的 聽的 和祂蒙福
[00:00:36.000 --> 00:00:38.000]  聽我們禱告 奉靠我們救主
[00:00:38.000 --> 00:00:40.000]  耶穌基督 寶貴的聖名去求
[00:00:40.000 --> 00:00:41.000]  Amen
[00:00:41.000 --> 00:00:47.000]  在家裏都很期盼用愛去建立
[00:00:47.000 --> 00:00:50.000]  我們和家人的一些關係
[00:00:50.000 --> 00:00:53.000]  但怎樣去詮釋愛和被愛呢
[00:00:53.000 --> 00:00:56.000]  可能有一些不一樣的理解
[00:00:57.000 --> 00:01:00.000]  和大家分享我家裏的一樁小插曲
[00:01:00.000 --> 00:01:03.000]  姐姐焗了蛋糕 剩下最後一片
[00:01:03.000 --> 00:01:04.000]  我盒裝著它
[00:01:04.000 --> 00:01:06.000]  姨甥女肚餓了
[00:01:06.000 --> 00:01:08.000]  她姐姐說 還有最後一塊蛋糕
[00:01:08.000 --> 00:01:10.000]  你拿來吃吧
[00:01:10.000 --> 00:01:13.000]  我馬上補充多一句
[00:01:13.000 --> 00:01:16.000]  吃完之後 把盒子洗掉
[00:01:16.000 --> 00:01:18.000]  你那個姨甥女怎樣回應呢
[00:01:18.000 --> 00:01:20.000]  我不吃了
[00:01:20.000 --> 00:01:22.000]  然後她媽媽說
[00:01:22.000 --> 00:01:24.000]  你吃完之後 把盒子放下
[00:01:24.000 --> 00:01:26.000]  讓我洗吧
[00:01:26.000 --> 00:01:30.000]  我和姐姐都在用不同的方法去表達
[00:01:30.000 --> 00:01:32.000]  我對姨甥女的愛
[00:01:32.000 --> 00:01:35.000]  明顯姨甥女比較受落我姐姐那一套
[00:01:35.000 --> 00:01:37.000]  對我的一些心意
[00:01:37.000 --> 00:01:39.000]  她可能不太理解
[00:01:39.000 --> 00:01:41.000]  我期待著她對愛的詮釋
