
[00:00:00.000 --> 00:00:08.840]  這次我跟大家分享貼殺來加後書二章十三到十七節
[00:00:08.840 --> 00:00:12.320]  先向大家問一聲安
[00:00:12.320 --> 00:00:16.440]  弟兄姊妹你們好 願你們平安
[00:00:16.440 --> 00:00:22.920]  這是聖經一貫經常向弟兄姊妹問安的一句說話
[00:00:22.920 --> 00:00:26.000]  今天我繼續門訓系列的訊息
[00:00:26.000 --> 00:00:30.000]  接著上一次的經文
[00:00:30.000 --> 00:00:32.560]  這次就說二章十三到十七節
[00:00:32.560 --> 00:00:35.000]  短短的五節經文
[00:00:35.000 --> 00:00:41.800]  其實保羅都需要提醒信徒
[00:00:41.800 --> 00:00:46.080]  他們需要在信仰上暫立
[00:00:46.080 --> 00:00:50.560]  我們先讀一讀五節的經文
[00:00:50.560 --> 00:00:58.440]  我們一起重讀 預備起
[00:00:58.440 --> 00:01:01.400]  主所愛的弟兄們
[00:01:01.400 --> 00:01:05.240]  我們本該常為你們感謝神
[00:01:05.240 --> 00:01:08.920]  因為祂從起初揀選了你們
[00:01:08.920 --> 00:01:13.600]  叫你們因信真道又被聖靈感動
[00:01:13.600 --> 00:01:16.880]  成為聖潔能以得救
[00:01:16.880 --> 00:01:22.240]  神職我們所傳的福音照你們到這地步
[00:01:22.240 --> 00:01:26.440]  好得著我們主耶穌基督的榮光
[00:01:26.440 --> 00:01:30.280]  所以弟兄們你們要暫立得穩
[00:01:30.280 --> 00:01:35.120]  凡所領受的教訓不拒是我們口傳的
[00:01:35.120 --> 00:01:38.560]  是信上寫的都要堅守
[00:01:38.560 --> 00:01:42.720]  但願我們主耶穌基督和那愛我們
[00:01:42.720 --> 00:01:47.680]  開恩將永遠的安慰並美好的盼望
[00:01:47.680 --> 00:01:52.000]  賜給我們的父神安慰你們的心
[00:01:52.000 --> 00:01:57.360]  並且在一切善行善言上堅固你們
[00:01:57.360 --> 00:01:59.920]  在這五節的經文裡
[00:01:59.920 --> 00:02:04.320]  其實大家讀完了都很簡單明白了
[00:02:04.320 --> 00:02:06.880]  知道說什麼了
[00:02:06.880 --> 00:02:10.640]  我繼續會說 當然要解釋一下
[00:02:10.640 --> 00:02:13.280]  為方便起見我不會那麼長寫
[00:02:13.280 --> 00:02:15.440]  貼上來現在的信徒
[00:02:15.440 --> 00:02:18.160]  我簡稱信徒就可以了
[00:02:18.160 --> 00:02:20.280]  在這五節的經文裡
[00:02:20.280 --> 00:02:23.120]  我想和大家短短去界定一下
[00:02:23.120 --> 00:02:26.160]  有三個重要的主題
[00:02:26.160 --> 00:02:27.560]  第一是感謝
[00:02:27.560 --> 00:02:29.080]  第二是勸勉
[00:02:29.080 --> 00:02:31.280]  第三是禱告
[00:02:31.280 --> 00:02:33.680]  為了保羅
[00:02:33.680 --> 00:02:35.800]  我們看到在十五節裡
[00:02:35.800 --> 00:02:37.400]  這個經文
[00:02:37.400 --> 00:02:41.360]  其實我們要問回如果這是一個重點的話
[00:02:41.360 --> 00:02:43.880]  你看到我的紅色圈面
[00:02:43.880 --> 00:02:48.040]  其實五節的經文最重要是在十五節裡
