
[00:00:00.000 --> 00:00:02.640]  好,我們先一起祈禱,好嗎?
[00:00:02.640 --> 00:00:05.040]  天父上帝多謝祢,招聚祢,重儀祿,
[00:00:05.040 --> 00:00:09.320]  回到祢的家,祢的殿,與祢的敬拜。
[00:00:09.320 --> 00:00:12.360]  願祢起我們對祢的稱頌和讚美,
[00:00:12.360 --> 00:00:16.040]  也讓真正的聖靈進入在我們當中,
[00:00:16.040 --> 00:00:18.480]  當我們打開神的說話的時候,
[00:00:18.480 --> 00:00:20.080]  讓我們能夠更加明白,
[00:00:20.080 --> 00:00:21.920]  神祢在這個世代,
[00:00:21.920 --> 00:00:24.280]  祢如何去吩咐教會,
[00:00:24.280 --> 00:00:27.480]  如何去實踐祢給教會的使命。
[00:00:27.480 --> 00:00:28.760]  求主帶領我們,
[00:00:28.760 --> 00:00:33.400]  讓我們能夠心地因感,
[00:00:33.400 --> 00:00:35.320]  去領受神祢的說話。
[00:00:35.320 --> 00:00:37.400]  多謝祢,遂聽祢的禱告,
[00:00:37.400 --> 00:00:39.840]  奉耶穌命吸,阿們。
[00:00:39.840 --> 00:00:42.160]  在世界進入紛亂的當中,
[00:00:42.160 --> 00:00:44.280]  過去幾年我們沒有想過,
[00:00:44.280 --> 00:00:47.080]  無論是疫情,還是政治的緊張,
[00:00:47.080 --> 00:00:48.440]  或是戰爭,
[00:00:48.440 --> 00:00:53.480]  帶來整個世界都一片混亂,是吧?
[00:00:53.480 --> 00:00:57.800]  政治、疫情、經濟都影響著
[00:00:57.800 --> 00:00:59.640]  我們每一個人,
[00:00:59.640 --> 00:01:02.960]  人心裏面好像持續了很多的不安,
[00:01:02.960 --> 00:01:06.200]  經濟的下滑。
[00:01:06.200 --> 00:01:09.840]  我們不知道這個寒冬會到什麼時候,
[00:01:09.840 --> 00:01:12.560]  但作為基督信仰的群體,
[00:01:12.560 --> 00:01:13.800]  在這個亂世當中,
[00:01:13.800 --> 00:01:16.480]  如何去實踐教會的使命,
[00:01:16.480 --> 00:01:18.520]  去關心有需要的人,
[00:01:18.520 --> 00:01:20.440]  以及見證基督。
[00:01:20.440 --> 00:01:21.960]  在這個仕途時代,
[00:01:21.960 --> 00:01:24.520]  同樣是面對很多的困難、挑戰,
[00:01:24.520 --> 00:01:26.880]  正如彼得和當時的人說,
[00:01:26.880 --> 00:01:31.160]  我們在一個彎曲的世代當中,
[00:01:31.160 --> 00:01:34.400]  但透過基督他們的生活的見證,
[00:01:34.400 --> 00:01:39.200]  就影響著當時的那個群體、社群,
[00:01:39.200 --> 00:01:42.480]  聖經形容他們是「得眾民的喜愛」,
[00:01:42.480 --> 00:01:45.400]  「得全民的喜愛」,聖經亦本說。
[00:01:45.400 --> 00:01:47.480]  至於今天我們教會,
[00:01:47.480 --> 00:01:49.440]  來作凡事,
[00:01:49.440 --> 00:01:52.160]  很想今天透過三個的共,
[00:01:52.160 --> 00:01:55.520]  跟大家去分享。
[00:01:55.520 --> 00:01:58.800]  第一個共,就是「眾願共享」。
[00:01:58.800 --> 00:02:01.800]  當「美德廣言道」帶領了三千人信主,
[00:02:01.800 --> 00:02:04.800]  當中有些住在二號煞行,
[00:02:04.800 --> 00:02:07.440]  但當中也有些從遠方來,
[00:02:07.440 --> 00:02:08.920]  因為彼得說,
[00:02:08.920 --> 00:02:13.080]  我們的福音是傳給遠處和近處。
[00:02:13.080 --> 00:02:16.160]  香港我們都成為一個過往很獨特的地方,
[00:02:16.160 --> 00:02:19.560]  昔日是殖民的地方,
[00:02:19.560 --> 00:02:23.360]  我們是一個移民社會所組成的。
[00:02:23.360 --> 00:02:26.480]  所以在我們福士裡面,也有很多移民社會。
[00:02:26.480 --> 00:02:30.080]  今天人口的流動也很大,
[00:02:30.080 --> 00:02:33.040]  我們知道有人移民,也有人移渡當。
[00:02:33.040 --> 00:02:34.520]  當中來到的時候,
[00:02:34.520 --> 00:02:38.040]  有很多是面對很多困難、適應的,
[00:02:38.040 --> 00:02:40.960]  但我們有沒有來關心他們,
[00:02:40.960 --> 00:02:43.680]  將神的愛帶給他們。
[00:02:43.680 --> 00:02:45.120]  第一個共是什麼呢?
[00:02:45.120 --> 00:02:50.680]  說到他們不單是遵守使徒的教訓,
[00:02:50.680 --> 00:02:52.800]  彼此交接、抹餅、祈禱,
[00:02:52.800 --> 00:02:57.360]  信的人也是一種繁物、公容,
