
[00:00:00.000 --> 00:00:06.000]  我們今天一起去聆聽上主的話語
[00:00:06.000 --> 00:00:11.000]  如果還記得上星期關永成執事講道
[00:00:11.000 --> 00:00:12.000]  大家還記得嗎
[00:00:12.000 --> 00:00:18.000]  他的題目就是在困境中的選擇
[00:00:18.000 --> 00:00:21.000]  那就是在《薩姆爾記》上
[00:00:21.000 --> 00:00:26.000]  《薩姆爾記》上八章一至二節
[00:00:26.000 --> 00:00:30.000]  如果還記得上星期講的是
[00:00:30.000 --> 00:00:35.000]  以色列人要求有個王出現
[00:00:35.000 --> 00:00:37.000]  如果按照《薩姆爾記》的發展
[00:00:37.000 --> 00:00:40.000]  後期就選擇了掃羅做王
[00:00:40.000 --> 00:00:44.000]  如果還記得我們一路講大衛的新評
[00:00:44.000 --> 00:00:49.000]  其實大衛就將要接續掃羅成為以色列的王
[00:00:49.000 --> 00:00:53.000]  所以我今天的講道就會講改朝換代
[00:00:53.000 --> 00:00:56.000]  意思就是說由掃羅的王朝
[00:00:56.000 --> 00:00:58.000]  怎樣轉變成大衛的王朝呢
[00:00:58.000 --> 00:01:03.000]  所以都謝謝領會Cindy
[00:01:03.000 --> 00:01:05.000]  幫我們讀了這麼長的經文
[00:01:05.000 --> 00:01:08.000]  我們要在大約五章裡面
[00:01:08.000 --> 00:01:11.000]  將這件事跟大家可以交代到
[00:01:11.000 --> 00:01:13.000]  但當然不是為了交代經文
[00:01:13.000 --> 00:01:15.000]  而是希望可以在當中
[00:01:15.000 --> 00:01:17.000]  我們可以找到一些
[00:01:17.000 --> 00:01:21.000]  值得我們在信仰上高反省學習的地方
[00:01:21.000 --> 00:01:23.000]  其實這次對於我來說只有一個挑戰
[00:01:23.000 --> 00:01:26.000]  我會連續五個星期
[00:01:26.000 --> 00:01:32.000]  會跟大家繼續去研讀《薩姆爾記》的下書
[00:01:32.000 --> 00:01:33.000]  《薩姆爾記》下
[00:01:33.000 --> 00:01:35.000]  總共有24章
[00:01:35.000 --> 00:01:37.000]  當然我不會逐章講的
