
[00:00:00.000 --> 00:00:03.280]  首先想問一下大家有沒有試過有這樣的情況
[00:00:03.280 --> 00:00:07.880]  你上了一件很偉大的事
[00:00:07.880 --> 00:00:14.000]  但最後發覺這件事還是被阻止
[00:00:14.000 --> 00:00:15.560]  或者做不到
[00:00:15.560 --> 00:00:19.600]  或者你看到神有更高
[00:00:19.600 --> 00:00:22.600]  更不同的計劃在裡面
[00:00:22.600 --> 00:00:24.560]  有沒有試過?
[00:00:24.560 --> 00:00:26.440]  或者不是很偉大
[00:00:26.440 --> 00:00:28.360]  一般可能都會有
[00:00:28.840 --> 00:00:31.800]  我記得比較深刻開始
[00:00:31.800 --> 00:00:33.600]  中三那一年
[00:00:33.600 --> 00:00:35.600]  有一個偉大的志向
[00:00:35.600 --> 00:00:37.720]  選讀理科
[00:00:37.720 --> 00:00:41.000]  將來可能做一些科學
[00:00:41.000 --> 00:00:42.520]  這些事情
[00:00:42.520 --> 00:00:44.120]  誰知道呢
[00:00:44.120 --> 00:00:47.080]  在南校裡面讀不到理科
[00:00:47.080 --> 00:00:48.000]  有一點點丟臉
[00:00:48.000 --> 00:00:50.960]  原來學校派了一個文科
[00:00:50.960 --> 00:00:52.720]  真的很不高興
[00:00:52.720 --> 00:00:55.080]  為什麼要讀文科呢?
[00:00:55.680 --> 00:00:59.120]  但是後來慢慢明白自己的成績不行
[00:00:59.120 --> 00:01:02.280]  可能理科的頭腦
[00:01:02.280 --> 00:01:04.920]  或者是數學不夠精算
[00:01:04.920 --> 00:01:07.880]  所以就唯有接受
[00:01:07.880 --> 00:01:09.240]  然後就讀文科
[00:01:09.240 --> 00:01:12.040]  開始對於讀書這件事
[00:01:12.040 --> 00:01:14.120]  我很信服神
[00:01:14.120 --> 00:01:15.840]  我自己也是這麼多
[00:01:15.840 --> 00:01:16.880]  就是這麼讀
[00:01:16.880 --> 00:01:19.680]  這個就覺得還可以
[00:01:19.680 --> 00:01:20.520]  神要我讀文科
[00:01:20.520 --> 00:01:22.320]  但是我發覺原來後來
[00:01:22.320 --> 00:01:25.160]  神第二年中四呼召我做傳道人
[00:01:25.760 --> 00:01:28.480]  我發覺原來讀文科有很多好處
[00:01:28.480 --> 00:01:30.920]  多一些去思想
[00:01:30.920 --> 00:01:33.600]  就是人民科學那些東西
[00:01:33.600 --> 00:01:36.160]  思想這類的事情
[00:01:36.160 --> 00:01:38.400]  給我一個不太喜歡思考的人
[00:01:38.400 --> 00:01:41.600]  多一些去從這些文學
[00:01:41.600 --> 00:01:43.800]  從這些詩詞
[00:01:43.800 --> 00:01:46.120]  或者從這些人民科學裡面
[00:01:46.120 --> 00:01:47.240]  多一些思想
[00:01:47.240 --> 00:01:49.760]  另一件事就是
[00:01:49.760 --> 00:01:53.840]  神學院讀到第二年的時候
[00:01:54.720 --> 00:01:58.920]  我們第一年就會回到舞會實習
[00:01:58.920 --> 00:01:59.960]  就是占占
[00:01:59.960 --> 00:02:02.880]  第二年就要派出面實習
[00:02:02.880 --> 00:02:07.520]  教會實在是實習裡面很開心
[00:02:07.520 --> 00:02:09.840]  有些年輕人
[00:02:09.840 --> 00:02:15.200]  各方面也很有發揮的感覺
[00:02:15.200 --> 00:02:18.840]  每個月都要講道
[00:02:18.840 --> 00:02:19.920]  實習
[00:02:19.920 --> 00:02:23.280]  甚至試過要派餐
[00:02:23.560 --> 00:02:25.240]  實習有這樣的機會
[00:02:25.240 --> 00:02:30.800]  一直在那裡的侍衛一直跟我說
[00:02:30.800 --> 00:02:32.600]  會不會留在那裡
[00:02:32.600 --> 00:02:35.240]  繼續在這間教會侍奉
[00:02:35.240 --> 00:02:37.680]  三年級繼續回來這裡
[00:02:37.680 --> 00:02:39.840]  我就心動了
[00:02:39.840 --> 00:02:42.440]  覺得挺好的
[00:02:42.440 --> 00:02:44.120]  一間不是很大的教會
[00:02:44.120 --> 00:02:48.040]  但是我相信對一個剛剛畢業的同學來說
[00:02:48.040 --> 00:02:50.080]  也是一個挺適合的地方
[00:02:50.080 --> 00:02:53.280]  一直的邀請我
[00:02:53.280 --> 00:02:56.120]  我心裡面就五十五十了
[00:02:56.120 --> 00:02:57.320]  開始想想
[00:02:57.320 --> 00:03:00.320]  準備要答應別人的時候
[00:03:00.320 --> 00:03:04.160]  我們這個舞會的廖志勤牧師就跟我說
