
[00:00:00.000 --> 00:00:02.000]  讓我們再一次的禱告吧
[00:00:02.000 --> 00:00:05.000]  等一下的這個道我們交給上帝
[00:00:05.000 --> 00:00:09.000]  現在主來到你面前
[00:00:09.000 --> 00:00:13.000]  我知道我們每個人心裡可能都有不一樣的感受
[00:00:13.000 --> 00:00:15.000]  但是主啊無論我們感受如何
[00:00:15.000 --> 00:00:19.000]  我們此刻把我們所有的這些的感受
[00:00:19.000 --> 00:00:21.000]  我們都擺在你的面前
[00:00:21.000 --> 00:00:23.000]  求你為我們來擔當
[00:00:23.000 --> 00:00:27.000]  此時此刻我們知道我們單單的要來定經向你
[00:00:27.000 --> 00:00:29.000]  我們單單要聆聽你的道
[00:00:29.000 --> 00:00:33.000]  願你幫助我們在你的道中得到你的鼓勵
[00:00:33.000 --> 00:00:36.000]  我們這樣禱告奉主耶穌基督的名求
[00:00:36.000 --> 00:00:37.000]  Amen
[00:00:37.000 --> 00:00:43.000]  我想給大家講一個故事啊
[00:00:43.000 --> 00:00:46.000]  話說在中世紀的時候
[00:00:46.000 --> 00:00:48.000]  在英格蘭有一位年輕人
[00:00:48.000 --> 00:00:50.000]  他非常的愛主
[00:00:50.000 --> 00:00:55.000]  當他看到教會有一些人的罪惡的時候
[00:00:55.000 --> 00:01:00.000]  還有就是看到傳道人有一些的缺點的時候
[00:01:00.000 --> 00:01:04.000]  他就發誓我要離開教會
[00:01:04.000 --> 00:01:07.000]  然後他就走遍了整個英格蘭
[00:01:07.000 --> 00:01:11.000]  找一間純淨的教會來聚會
[00:01:11.000 --> 00:01:12.000]  於是呢
[00:01:12.000 --> 00:01:17.000]  他就一間一間的去找去走遍了整個英格蘭
[00:01:17.000 --> 00:01:22.000]  可是卻沒有找到一間他認為純淨的教會
[00:01:22.000 --> 00:01:25.000]  然後有一天呢
[00:01:25.000 --> 00:01:30.000]  他就路過了一間教堂
[00:01:30.000 --> 00:01:32.000]  然後他想進去看一下
[00:01:32.000 --> 00:01:35.000]  他一進去就喜歡上這個教會了
[00:01:35.000 --> 00:01:38.000]  然後坐下來聽牧師講道
[00:01:38.000 --> 00:01:41.000]  一聽這個牧師還不錯啊
[00:01:41.000 --> 00:01:43.000]  然後他聚會了幾次
[00:01:43.000 --> 00:01:50.000]  就決定找牧師來談一下他留下來的這個事情
[00:01:50.000 --> 00:01:52.000]  他告訴牧師
[00:01:52.000 --> 00:01:55.000]  我幾乎找遍了整個英格蘭
[00:01:55.000 --> 00:01:58.000]  我終於找到一間完美的教會了
[00:01:58.000 --> 00:02:01.000]  然後那個牧師就對他說
[00:02:01.000 --> 00:02:04.000]  在這個地上根本沒有完美的教會
[00:02:04.000 --> 00:02:07.000]  連一間都沒有
[00:02:07.000 --> 00:02:09.000]  因為我們都不完美
[00:02:09.000 --> 00:02:13.000]  完美的教會只有在天上可以找到
[00:02:13.000 --> 00:02:15.000]  退一步說
[00:02:15.000 --> 00:02:17.000]  就算這間教會是完美的
[00:02:17.000 --> 00:02:23.000]  可是你一進來這間教會就不完美了
[00:02:23.000 --> 00:02:26.000]  所以他追求的是一間完美的教會
[00:02:26.000 --> 00:02:27.000]  可是呢
[00:02:27.000 --> 00:02:30.000]  這個世界根本沒有完美的教會
[00:02:30.000 --> 00:02:33.000]  即使在很興旺的初期教會的時代
[00:02:33.000 --> 00:02:36.000]  也沒有完美的教會
[00:02:36.000 --> 00:02:40.000]  在今天我們讀的這段經文之前的一章
[00:02:40.000 --> 00:02:42.000]  如果大家有留意的話
[00:02:42.000 --> 00:02:47.000]  發生了一對門徒夫婦他們欺哄聖靈的事情
[00:02:47.000 --> 00:02:50.000]  然後他們就被神擊殺
[00:02:50.000 --> 00:02:52.000]  到了使徒行傳的第六章
[00:02:52.000 --> 00:02:56.000]  這段的經文也出現了一些問題
[00:02:56.000 --> 00:02:58.000]  現在我們就詳細來看一下
[00:02:58.000 --> 00:03:02.000]  那這裡到底出了什麼問題呢
[00:03:02.000 --> 00:03:05.000]  經文裡面提到
[00:03:05.000 --> 00:03:08.000]  教會裡面有一些巴勒斯坦的猶太人
[00:03:08.000 --> 00:03:12.000]  他們與那些講希臘話的猶太人之間
[00:03:12.000 --> 00:03:15.000]  產生了一些衝突
[00:03:15.000 --> 00:03:19.000]  只會講希臘話的猶太人
[00:03:19.000 --> 00:03:22.000]  這裡也包括一些猶太教的外邦人
[00:03:22.000 --> 00:03:25.000]  他們的寡婦被生來
[00:03:25.000 --> 00:03:29.000]  就是被土生的希伯來猶太人忽略
[00:03:29.000 --> 00:03:31.000]  他們把他們當成外人
[00:03:31.000 --> 00:03:37.000]  在分派食物的時候就忽略了他們的份
[00:03:37.000 --> 00:03:39.000]  那些回到祖國居住的
[00:03:39.000 --> 00:03:42.000]  只說希臘文的猶太信徒
[00:03:42.000 --> 00:03:44.000]  當他們去世以後
[00:03:44.000 --> 00:03:47.000]  他們就留下妻子成為寡婦
[00:03:47.000 --> 00:03:48.000]  沒有人照顧
[00:03:48.000 --> 00:03:51.000]  本來猶太人的系統裡面
[00:03:51.000 --> 00:03:53.000]  他們有一些的制度
[00:03:53.000 --> 00:03:56.000]  去照顧一些社會上無依無靠的人
[00:03:56.000 --> 00:03:58.000]  包括一些的寡婦
[00:03:58.000 --> 00:04:01.000]  但是因為這群的寡婦
[00:04:01.000 --> 00:04:03.000]  他們只操希臘話
[00:04:03.000 --> 00:04:09.000]  所以就受到忽略得不到援助與周濟
[00:04:09.000 --> 00:04:13.000]  如果大家我們仔細的看
[00:04:13.000 --> 00:04:16.000]  使徒行傳的第三章開始
[00:04:16.000 --> 00:04:18.000]  一直往後看
[00:04:18.000 --> 00:04:22.000]  你會發現有一個不斷的循環
[00:04:22.000 --> 00:04:27.000]  那就是提到使徒他們行神跡騎士
[00:04:27.000 --> 00:04:30.000]  然後他們又為主來做見證
[00:04:30.000 --> 00:04:32.000]  接著他們就受到逼迫
[00:04:32.000 --> 00:04:35.000]  但是教會就以神為樂
[00:04:35.000 --> 00:04:37.000]  靠著主來得利
