
[00:00:00.000 --> 00:00:05.260]  一同讀一段聖經,在約瑟雅紀第一章第三節跟第九節,
[00:00:05.260 --> 00:00:06.760]  第三節,我們一同來念,來。
[00:00:06.760 --> 00:00:08.380]  凡你們腳掌所踏之地,
[00:00:08.380 --> 00:00:11.520]  我都照著我所應許摩西的話賜給你們了。
[00:00:11.520 --> 00:00:13.920]  第九節,我豈沒有吩咐你們,
[00:00:13.920 --> 00:00:17.440]  你當剛強壯膽,不要懼怕,也不要驚慌,
[00:00:17.440 --> 00:00:18.760]  因為你無論往哪裡去,
[00:00:18.760 --> 00:00:21.200]  耶和華你的神必與你同在。
[00:00:21.200 --> 00:00:23.380]  我們就讀到這裡。
[00:00:23.380 --> 00:00:26.360]  今年的三月二十八號是一個很重要的日子,
[00:00:26.360 --> 00:00:32.560]  因為中國的國務院授權國家發展改革委員會,
[00:00:32.560 --> 00:00:36.940]  外交部跟商務部聯合發展,
[00:00:36.940 --> 00:00:41.040]  表了一個中國的將來發展的計劃,
[00:00:41.040 --> 00:00:46.360]  全名叫做推動共建絲綢之路經濟帶,
[00:00:46.360 --> 00:00:52.200]  和二十一世紀海上絲綢之路的願景與行動,
[00:00:52.200 --> 00:00:55.920]  簡稱一帶一路,很多人可能聽過。
[00:00:55.920 --> 00:01:02.360]  有人說這是中國所推動最宏偉的一個旗艦工程,
[00:01:02.360 --> 00:01:07.400]  本來我對這些國家的計劃跟政策都不大注意的,
[00:01:07.400 --> 00:01:10.920]  但這條新聞卻是吸引我的注意力,
[00:01:10.920 --> 00:01:13.520]  因為我看見這似乎是神的手,
[00:01:13.520 --> 00:01:18.240]  在幕後的世代所工作的一個跡象。
[00:01:18.240 --> 00:01:19.800]  早在一九四二年,
[00:01:19.800 --> 00:01:24.440]  我們看見中國教會在西北地區的西北靈工團,
[00:01:24.440 --> 00:01:27.480]  他們就從神那裡領授了一個意象,
[00:01:27.480 --> 00:01:31.960]  要將福音言的思路傳回到耶路撒冷,
[00:01:31.960 --> 00:01:35.160]  英文叫Back to Jerusalem Movement,
