
[00:00:00.000 --> 00:00:05.000]  各位弟兄姐妹 朋友們 早安
[00:00:05.000 --> 00:00:10.000]  很高興今天有這個機會來跟各位來分享訊息
[00:00:10.000 --> 00:00:14.000]  今天我要分享什麼訊息呀
[00:00:14.000 --> 00:00:20.000]  今天我要分享的訊息名字叫五行冠帶新冠
[00:00:20.000 --> 00:00:22.000]  五行節要帶上新冠肺炎
[00:00:22.000 --> 00:00:25.000]  要對抗這個新冠肺炎
[00:00:25.000 --> 00:00:28.000]  那麼我要跟各位分享的是說
[00:00:28.000 --> 00:00:31.000]  第一 先要跟各位解釋一下
[00:00:31.000 --> 00:00:34.000]  耶和華三大節期
[00:00:34.000 --> 00:00:38.000]  那麼我們基督徒是不是應該也要過呀
[00:00:38.000 --> 00:00:41.000]  然後另外我要跟各位分享
[00:00:41.000 --> 00:00:46.000]  什麼叫做五行節 它的意義是什麼樣子
[00:00:46.000 --> 00:00:50.000]  還有 五行節又是領受律法的日子
[00:00:50.000 --> 00:00:53.000]  五行節又是聖靈降臨的日子
[00:00:53.000 --> 00:00:57.000]  五行節又是外邦人的五行節
[00:00:57.000 --> 00:00:59.000]  最後我的結論是
[00:00:59.000 --> 00:01:02.000]  五行節跟新冠疫情
[00:01:02.000 --> 00:01:06.000]  讓我們看中間好像有什麼關聯嗎
[00:01:06.000 --> 00:01:08.000]  好的 感謝神
[00:01:08.000 --> 00:01:10.000]  讓我們先來做一個禱告
[00:01:10.000 --> 00:01:13.000]  阿爸父我們感謝祢 讚美祢
[00:01:13.000 --> 00:01:15.000]  祢是偉大奇妙神
[00:01:15.000 --> 00:01:19.000]  我們在一切的事上都由祢帶領
[00:01:19.000 --> 00:01:23.000]  在這個每一個事情 每一天 每一秒
[00:01:23.000 --> 00:01:26.000]  神祢都在我們中間掌權作王
[00:01:26.000 --> 00:01:28.000]  為此我們獻上感恩
[00:01:28.000 --> 00:01:31.000]  這樣禱告是奉主耶穌基督的名
[00:01:31.000 --> 00:01:33.000]  好嗎
[00:01:33.000 --> 00:01:38.000]  各位有看到這個猶太人的棉栗嗎
[00:01:38.000 --> 00:01:40.000]  這個輪子
[00:01:40.000 --> 00:01:42.000]  這個最外圈呢
[00:01:42.000 --> 00:01:45.000]  是這個猶太人的棉栗
[00:01:45.000 --> 00:01:48.000]  裡面黑的那圈是洋栗
[00:01:48.000 --> 00:01:49.000]  好的
[00:01:49.000 --> 00:01:53.000]  所以你如果看這個外面這一圈呢
[00:01:53.000 --> 00:01:57.000]  這個它的一月份是在哪一月啊
[00:01:57.000 --> 00:02:00.000]  猶太人的真月
[00:02:00.000 --> 00:02:03.000]  如果你看得清楚它是彌撒月
[00:02:03.000 --> 00:02:04.000]  好的
[00:02:04.000 --> 00:02:07.000]  那麼在這個彌撒月呢
[00:02:07.000 --> 00:02:13.000]  十四號就是這個月節
[00:02:13.000 --> 00:02:15.000]  十五號是除孝節
[00:02:15.000 --> 00:02:18.000]  十六號就是出壽節
[00:02:18.000 --> 00:02:21.000]  因為在耶穌當時
[00:02:21.000 --> 00:02:24.000]  耶穌在月節的時候
[00:02:24.000 --> 00:02:27.000]  被釘死在十字架
[00:02:27.000 --> 00:02:30.000]  然後除孝節的時候在墳墓裡面
[00:02:30.000 --> 00:02:32.000]  祂在出壽節的時候
[00:02:32.000 --> 00:02:33.000]  祂復活了
[00:02:33.000 --> 00:02:36.000]  就是禮拜天
[00:02:36.000 --> 00:02:40.000]  然後跟著往後算
[00:02:40.000 --> 00:02:43.000]  就是七個安息日
[00:02:43.000 --> 00:02:46.000]  那跟著一天就叫做七夕節
[00:02:46.000 --> 00:02:48.000]  Shavuot
[00:02:48.000 --> 00:02:50.000]  那麼七夕節呢
[00:02:50.000 --> 00:02:53.000]  就是故其名就是七個七
[00:02:53.000 --> 00:02:54.000]  另外呢
[00:02:54.000 --> 00:02:57.000]  還有五星節也是在那時候
[00:02:57.000 --> 00:03:01.000]  還有一個叫做收割節
[00:03:01.000 --> 00:03:03.000]  第三個節期呢
[00:03:03.000 --> 00:03:07.000]  就是我們常常講的猶太新年吹角節
[00:03:07.000 --> 00:03:09.000]  就是在這個
[00:03:09.000 --> 00:03:12.000]  在這個洋栗的九十月之間
[00:03:12.000 --> 00:03:16.000]  就是猶太曆的七月
[00:03:16.000 --> 00:03:18.000]  它第一個節日
[00:03:18.000 --> 00:03:21.000]  七月一號叫做吹角節
[00:03:21.000 --> 00:03:22.000]  七月十號
[00:03:22.000 --> 00:03:25.000]  所以是七月十五號
[00:03:25.000 --> 00:03:27.000]  就是祝朋節
[00:03:27.000 --> 00:03:32.000]  所以這是猶太人的三個大節
[00:03:32.000 --> 00:03:33.000]  剛才我們說了
[00:03:33.000 --> 00:03:35.000]  我們應不應該要過
[00:03:35.000 --> 00:03:40.000]  應不應該要過啊
[00:03:40.000 --> 00:03:44.000]  那麼我個人是覺得是應該要過的
[00:03:44.000 --> 00:03:47.000]  因為這個不是猶太人的節氣
