
[00:00:00.000 --> 00:00:02.000]  不知道大家有沒有看新聞
[00:00:02.000 --> 00:00:04.000]  現在的人很多時候都不想看新聞
[00:00:04.000 --> 00:00:06.000]  因為沒有什麼好消息
[00:00:06.000 --> 00:00:09.000]  所以很多時候我們看新聞看得多
[00:00:09.000 --> 00:00:10.000]  會很depressed
[00:00:10.000 --> 00:00:12.000]  不過過去一個星期裡
[00:00:12.000 --> 00:00:15.000]  其中一個新聞比較特別的是什麼呢?
[00:00:15.000 --> 00:00:18.000]  就是政府的司法人員
[00:00:18.000 --> 00:00:23.000]  就在拜登總統迪勒威爾家中的車房裡
[00:00:23.000 --> 00:00:26.000]  找到很多國家機密的文件
[00:00:26.000 --> 00:00:28.000]  為什麼這麼特別呢?
[00:00:28.000 --> 00:00:32.000]  因為前總統川普立即發出聲明
[00:00:32.000 --> 00:00:35.000]  既然如此,為什麼不突擊檢查一下
[00:00:35.000 --> 00:00:40.000]  拜登總統在家裡有沒有國家機密文件呢?
[00:00:40.000 --> 00:00:44.000]  大家要記得,川普總統也是被人查他的
[00:00:44.000 --> 00:00:46.000]  突擊他的莊園
[00:00:46.000 --> 00:00:49.000]  找到很多國家機密的文件
[00:00:49.000 --> 00:00:52.000]  引起國家轟動,又要告他
[00:00:52.000 --> 00:00:56.000]  現在拜登總統又有這樣的事情出來
[00:00:56.000 --> 00:01:00.000]  事實上,國家的元首
[00:01:00.000 --> 00:01:03.000]  如何處理國家機密文件呢?
[00:01:03.000 --> 00:01:06.000]  在美國有很嚴格的規矩
[00:01:06.000 --> 00:01:09.000]  很謹慎的程序
[00:01:09.000 --> 00:01:12.000]  要求所有總統去遵守
[00:01:12.000 --> 00:01:16.000]  但是總統無論由於疏忽
[00:01:16.000 --> 00:01:19.000]  或者覺得這件事無所謂
[00:01:19.000 --> 00:01:21.000]  只是文件,無關痛癢
[00:01:21.000 --> 00:01:23.000]  輕視這些程序
[00:01:23.000 --> 00:01:26.000]  無論是什麼原因
[00:01:26.000 --> 00:01:28.000]  總之有這樣的情況出現
[00:01:28.000 --> 00:01:32.000]  其實都是我們不能夠接受的
[00:01:32.000 --> 00:01:34.000]  問題是什麼呢?
[00:01:34.000 --> 00:01:36.000]  嚴重的原因是
[00:01:36.000 --> 00:01:38.000]  因為他是國家總統
[00:01:38.000 --> 00:01:41.000]  一個是前總統,一個是現任總統
[00:01:41.000 --> 00:01:46.000]  當總統應該是全國人民的街毛
[00:01:46.000 --> 00:01:48.000]  以為是榜樣
[00:01:48.000 --> 00:01:49.000]  總統怎麼做呢?
[00:01:49.000 --> 00:01:50.000]  其實是很重要的
[00:01:50.000 --> 00:01:53.000]  為何會引起這麼大的波動呢?
[00:01:53.000 --> 00:01:58.000]  竟然犯了這些不應該犯的錯誤
[00:01:58.000 --> 00:02:01.000]  不知道大家心裡有什麼感覺呢?
[00:02:01.000 --> 00:02:03.000]  除了我們會感嘆什麼呢?
[00:02:03.000 --> 00:02:05.000]  天下污污,一樣黑
[00:02:05.000 --> 00:02:07.000]  有沒有這樣的想法?
[00:02:07.000 --> 00:02:09.000]  都是一樣的
[00:02:09.000 --> 00:02:11.000]  不過會否還有一個想法呢?
[00:02:11.000 --> 00:02:15.000]  如果總統對於這些重要的文件
[00:02:15.000 --> 00:02:21.000]  那麼輕率,那麼容易不守規矩
[00:02:21.000 --> 00:02:25.000]  當這些是沒問題的小事幹
[00:02:25.000 --> 00:02:28.000]  在處理國家的事情的時候
[00:02:28.000 --> 00:02:30.000]  立法的榜樣
[00:02:30.000 --> 00:02:33.000]  會否讓我們其他人覺得
[00:02:33.000 --> 00:02:36.000]  其實國家立法只是小事幹
[00:02:36.000 --> 00:02:38.000]  我們遵不遵行都無所謂
[00:02:38.000 --> 00:02:40.000]  視乎環境,視乎情況
[00:02:40.000 --> 00:02:42.000]  不重要
[00:02:42.000 --> 00:02:44.000]  總統覺得這些都無所謂
