
[00:00:00.000 --> 00:00:06.000]  選取的兩段經文是來自《古羅西書》四章十四節
[00:00:06.000 --> 00:00:11.000]  和《提摩太后書》四章九至十一節
[00:00:11.000 --> 00:00:17.000]  這兩段的說話其實都是保羅在兩封書信裏面的問候說話
[00:00:17.000 --> 00:00:19.000]  保羅幾乎他所寫的每一封信
[00:00:19.000 --> 00:00:21.000]  無論是給教會的信
[00:00:21.000 --> 00:00:23.000]  或者是給個人的信
[00:00:23.000 --> 00:00:25.000]  結尾很多時候都賦予一個很長的名單
[00:00:25.000 --> 00:00:27.000]  作為一個問候的名單
[00:00:27.000 --> 00:00:29.000]  這個我們了解的
[00:00:29.000 --> 00:00:31.000]  作為一個這麼重要的使徒
[00:00:31.000 --> 00:00:33.000]  在他一生裏面
[00:00:33.000 --> 00:00:35.000]  在歐亞大陸的地方
[00:00:35.000 --> 00:00:37.000]  四處的傳道
[00:00:37.000 --> 00:00:38.000]  建立很多的教會
[00:00:38.000 --> 00:00:40.000]  他認識的人一定很多
[00:00:40.000 --> 00:00:42.000]  關心的人一定很多
[00:00:42.000 --> 00:00:44.000]  所以在這些書信結尾裏面
[00:00:44.000 --> 00:00:48.000]  這些問候的說話是不足為奇的
[00:00:48.000 --> 00:00:50.000]  選這兩段經文
[00:00:50.000 --> 00:00:54.000]  作為這個問候說話的原因
[00:00:54.000 --> 00:00:56.000]  當然不純粹是問候說話
[00:00:56.000 --> 00:00:59.000]  也只能是問候各位,希望大家平安
[00:00:59.000 --> 00:01:04.000]  其實哥羅西書和提摩太后書
[00:01:04.000 --> 00:01:07.000]  這兩本書或者這兩封信
[00:01:07.000 --> 00:01:10.000]  彼此之間的確有一些共通處
[00:01:10.000 --> 00:01:12.000]  值得我們留意
[00:01:12.000 --> 00:01:18.000]  這兩本書其實都是寫於帝國的首都羅馬
[00:01:18.000 --> 00:01:20.000]  地點是一樣
[00:01:20.000 --> 00:01:25.000]  而且都是寫於一個相似的保羅的處境
[00:01:25.000 --> 00:01:28.000]  就是保羅當時也是在坐牢
[00:01:28.000 --> 00:01:32.000]  被囚的狀況當中
[00:01:32.000 --> 00:01:34.000]  不過我們知道這兩封信
[00:01:34.000 --> 00:01:38.000]  其實時間上相隔已經有七年的時間
[00:01:38.000 --> 00:01:41.000]  前者,即是哥羅西書
[00:01:41.000 --> 00:01:44.000]  其實是保羅因為要上訴該殺
[00:01:44.000 --> 00:01:46.000]  是關於四行轉末尾所說的事
[00:01:46.000 --> 00:01:48.000]  保羅要上訴於該殺
[00:01:48.000 --> 00:01:51.000]  所以他第一次到羅馬城
[00:01:51.000 --> 00:01:55.000]  從新左的書信中我們知道他第一次到那個地方
[00:01:55.000 --> 00:02:01.000]  他當時以囚犯的身份在羅馬地方租了一間房子
[00:02:01.000 --> 00:02:04.000]  他就在這個房子裏租到軟禁
[00:02:04.000 --> 00:02:08.000]  不過他可以自由地和探訪他的人來往
[00:02:08.000 --> 00:02:10.000]  只是他不可以離開這個房子
[00:02:10.000 --> 00:02:15.000]  在那裏等候上訴和上訴的結果
[00:02:15.000 --> 00:02:18.000]  那個時間約莫有兩年
[00:02:18.000 --> 00:02:23.000]  這個時間大概是公元57年左右
[00:02:23.000 --> 00:02:29.000]  事情我們可以在《四行轉二十八章》第38節讀到
[00:02:29.000 --> 00:02:33.000]  而後面的這本書,即是提摩太后書
[00:02:33.000 --> 00:02:37.000]  就是當保羅在上訴該殺事情
[00:02:37.000 --> 00:02:40.000]  他勝訴之後,他得到釋放
[00:02:40.000 --> 00:02:45.000]  之後相信保羅經歷了一輪新的傳道工作
[00:02:45.000 --> 00:02:48.000]  在羅馬書裏,他曾經提過他很有願望
[00:02:48.000 --> 00:02:52.000]  能夠去西班牙再向西的地方傳承上帝的話
[00:02:52.000 --> 00:02:55.000]  可能他真的去了西班牙的地方傳道
[00:02:55.000 --> 00:02:58.000]  之後他再返回羅馬
[00:02:58.000 --> 00:03:04.000]  這個時候,當時有一位著名的尼祿該殺當政
[00:03:04.000 --> 00:03:06.000]  在尼祿該殺當政的時候
[00:03:06.000 --> 00:03:11.000]  曾經發生過一件很嚴重的迫害基督徒的事
[00:03:11.000 --> 00:03:14.000]  這件事情在基督教的歷史裏都很出名
[00:03:14.000 --> 00:03:18.000]  因為是基督教歷史裏通常所說的十大逼迫
[00:03:18.000 --> 00:03:22.000]  在第一、第二世紀裏出現的十大逼迫的第一次
[00:03:22.000 --> 00:03:26.000]  其實主要都是牽涉到羅馬地區的基督徒
[00:03:26.000 --> 00:03:30.000]  尼祿對羅馬地區的基督徒進行很厲害的迫害
[00:03:30.000 --> 00:03:35.000]  保羅作為基督教當信使一個著名的首領人物
[00:03:35.000 --> 00:03:37.000]  固然不能倖免
[00:03:37.000 --> 00:03:41.000]  在這次的迫害當中,根據教會告訴我們
[00:03:41.000 --> 00:03:46.000]  保羅遭到殺害,被斬首致死
[00:03:46.000 --> 00:03:49.000]  同時我們也知道另一位著名的教會人物
[00:03:49.000 --> 00:03:51.000]  彼得當時也在羅馬
[00:03:51.000 --> 00:03:53.000]  當時也是羅馬地方的領袖
[00:03:53.000 --> 00:03:57.000]  他也遭到這個殺害
[00:03:57.000 --> 00:03:59.000]  《大摩太后書》正是保羅
[00:03:59.000 --> 00:04:02.000]  在第二次再反到羅馬這個地方
[00:04:02.000 --> 00:04:07.000]  當他被囚禁在一個不知何處的地方的時候
[00:04:07.000 --> 00:04:13.000]  他在殉教之前寫給我們的一封信
[00:04:13.000 --> 00:04:17.000]  當時大約是公元的六十四年
[00:04:17.000 --> 00:04:20.000]  其實細心來看這兩封信的時候
[00:04:20.000 --> 00:04:25.000]  我們也會發覺裡面的氣氛是很不同的
[00:04:25.000 --> 00:04:28.000]  在第一個時期寫的信中
[00:04:28.000 --> 00:04:29.000]  包括《國羅世書》
[00:04:29.000 --> 00:04:32.000]  我們看到保羅是很樂觀的
[00:04:32.000 --> 00:04:38.000]  對前途和前景也非常有希望
[00:04:38.000 --> 00:04:41.000]  不過到了他寫後書的時候
[00:04:41.000 --> 00:04:43.000]  情況就很不同了
[00:04:43.000 --> 00:04:46.000]  整封後書裡面我們可以看到
[00:04:46.000 --> 00:04:49.000]  保羅的心情是一種很抑郁的感情
[00:04:49.000 --> 00:04:54.000]  他感受到臨到他身邊的死亡的陰影
[00:04:54.000 --> 00:04:56.000]  他不斷地提醒提摩太
[00:04:56.000 --> 00:04:58.000]  當時當然也是直接提醒提摩太
[00:04:58.000 --> 00:05:00.000]  提醒教會
[00:05:00.000 --> 00:05:05.000]  身邊的危難將會越來越理想
[00:05:05.000 --> 00:05:09.000]  所以這兩封書的前後心境有很大的變化
[00:05:09.000 --> 00:05:14.000]  不過我們今天不是著重這兩封信的前後心境變化
[00:05:14.000 --> 00:05:21.000]  我反而想借這兩封信的問候連串的名單裡面
[00:05:21.000 --> 00:05:26.000]  其實兩個名單裡面有三個人是重複出現的
[00:05:26.000 --> 00:05:30.000]  在前一卷裡面有提及這三個人
[00:05:30.000 --> 00:05:33.000]  在後一卷裡面也有提及這三個人
[00:05:33.000 --> 00:05:36.000]  這三個人我們都知道曾經
[00:05:36.000 --> 00:05:41.000]  一度是保羅身邊非常非常重要的童工
[00:05:41.000 --> 00:05:45.000]  我想透過來思考這三個人和保羅的關係
[00:05:45.000 --> 00:05:49.000]  來看看保羅怎樣去看待他身邊的童工
[00:05:49.000 --> 00:05:52.000]  和他當時的感情變化會是怎樣
[00:05:52.000 --> 00:05:56.000]  第一個我們要看的這個人物很出名
[00:05:56.000 --> 00:05:58.000]  他就是盧迦醫生
[00:05:58.000 --> 00:06:03.000]  我給了這個段落一個分段的題目
[00:06:03.000 --> 00:06:08.000]  叫做「忠心的陪伴,盧迦醫生」
[00:06:08.000 --> 00:06:11.000]  分別在哥羅西書第四章第十四節
[00:06:11.000 --> 00:06:13.000]  和提摩太後書第四章第十一節
[00:06:13.000 --> 00:06:17.000]  都提及到盧迦醫生
[00:06:17.000 --> 00:06:21.000]  盧迦對我們來說必然不是一位陌生的人物
