
[00:00:00.000 --> 00:00:00.920]  丁子妹 早安
[00:00:00.920 --> 00:00:03.820]  很高興能夠再次在主日崇拜的時間
[00:00:03.820 --> 00:00:05.000]  和大家見面
[00:00:05.000 --> 00:00:07.840]  在崇拜的當中分享神的說話
[00:00:07.840 --> 00:00:10.060]  再次在這裡代表多倫多
[00:00:10.060 --> 00:00:11.640]  以馬來尼雲浸信會
[00:00:11.640 --> 00:00:14.200]  歡迎每一個今天來到崇拜的當中
[00:00:14.200 --> 00:00:15.900]  聆聽主的道理
[00:00:15.900 --> 00:00:18.700]  讓我們能夠在神的說話裡面
[00:00:18.700 --> 00:00:20.700]  能夠一同去建造
[00:00:20.700 --> 00:00:22.800]  再次在聆聽主道歉
[00:00:22.800 --> 00:00:24.800]  我們先一起低頭禱告
[00:00:24.800 --> 00:00:29.060]  讓我們主愛的神同心低頭禱告
[00:00:29.060 --> 00:00:30.520]  慈悲的天父 多謝祢
[00:00:30.520 --> 00:00:32.120]  讓我們能夠再次回來
[00:00:32.120 --> 00:00:35.120]  在祢寶貴的說話面前學習
[00:00:35.120 --> 00:00:36.520]  求祢的幫助
[00:00:36.520 --> 00:00:39.520]  讓我們在今天整個敬拜裡面
[00:00:39.520 --> 00:00:41.520]  能夠真是以祢的道理
[00:00:41.520 --> 00:00:44.320]  為我們整個敬拜的中心
[00:00:44.320 --> 00:00:47.120]  讓我們能夠真是在生命的上面
[00:00:47.120 --> 00:00:49.920]  更加學會怎樣與祢同行
[00:00:49.920 --> 00:00:51.920]  讓接下來的這個星期
[00:00:51.920 --> 00:00:53.920]  以及往後的日子當中
[00:00:53.920 --> 00:00:57.320]  我們能夠真是順應上帝祢的啟示
[00:00:57.320 --> 00:01:01.120]  活在這個彎曲薄膜的世代當中
[00:01:01.120 --> 00:01:06.320]  讓我們能夠仍然活出一個有神生命的人
[00:01:06.320 --> 00:01:07.320]  我們同心祈禱
[00:01:07.320 --> 00:01:08.320]  奉靠主耶穌
[00:01:08.320 --> 00:01:09.820]  獲得聖名至教
[00:01:09.820 --> 00:01:11.320]  阿門
[00:01:11.320 --> 00:01:13.320]  好 今天和大家來到
[00:01:13.320 --> 00:01:16.320]  《約爾書》的最後一章的經文
[00:01:16.320 --> 00:01:19.820]  是第三章的第十八節至第二十一節
[00:01:19.820 --> 00:01:22.320]  今天我們所看的主題就是
[00:01:22.320 --> 00:01:25.820]  耶和華日子下的拯救
[00:01:25.820 --> 00:01:29.320]  拯救日子下的拯救任務
[00:01:29.320 --> 00:01:32.320]  在我小時候
[00:01:32.320 --> 00:01:36.320]  曾經聽過一些長輩在家裡
[00:01:36.320 --> 00:01:37.820]  家常便飯的時候
[00:01:37.820 --> 00:01:39.320]  這樣去聊天
[00:01:39.320 --> 00:01:40.820]  他們曾經說過一句話
[00:01:40.820 --> 00:01:42.320]  我就很深刻的
[00:01:42.320 --> 00:01:44.820]  他說成王敗寇
[00:01:44.820 --> 00:01:48.820]  很多時候只不過是一線之差
[00:01:48.820 --> 00:01:50.320]  或者可以這樣說
[00:01:50.320 --> 00:01:53.320]  很多時候是我們自己怎樣去想
[00:01:53.320 --> 00:01:55.320]  和怎樣去接受
[00:01:55.320 --> 00:01:58.320]  如果對一件事情有些扭曲的話
[00:01:58.320 --> 00:02:01.820]  很容易我們就會墮入一個陷阱裡面
[00:02:01.820 --> 00:02:04.320]  其實當我想起這句話的時候
[00:02:04.320 --> 00:02:07.820]  與我們今天的屬靈生命的成長
[00:02:07.820 --> 00:02:11.320]  其實也是有些類似的地方
[00:02:11.320 --> 00:02:16.320]  一個人究竟他是不是在永恆當中能夠得救的呢?
[00:02:16.320 --> 00:02:20.320]  不是在乎於他知不知道上帝
[00:02:20.320 --> 00:02:23.320]  在今天這個世界裡面
[00:02:23.320 --> 00:02:24.320]  資訊發達
[00:02:24.320 --> 00:02:26.820]  我相信在今時今日裡面
[00:02:26.820 --> 00:02:29.320]  還有哪一個人他不認識
[00:02:29.320 --> 00:02:31.320]  或者不知道誰是耶和華
[00:02:31.320 --> 00:02:33.320]  還有哪一個人他不認識
[00:02:33.320 --> 00:02:34.820]  誰是耶穌呢?
[00:02:34.820 --> 00:02:38.320]  關鍵的是在於一個人
[00:02:38.320 --> 00:02:42.820]  究竟他能不能夠真的尊上帝為我們的主
[00:02:42.820 --> 00:02:43.820]  我們的神
[00:02:43.820 --> 00:02:47.320]  還是他決定否定這位上帝
[00:02:47.320 --> 00:02:52.320]  今天我們一起去看的這個約爾書最後的一段段落
[00:02:52.320 --> 00:02:54.320]  就是讓我們去看看
[00:02:54.320 --> 00:02:57.820]  究竟我們的主是如何去看待人
[00:02:57.820 --> 00:03:00.820]  也都在這個他的屬性裡面
[00:03:00.820 --> 00:03:03.320]  如何去真的盡他的能力
[00:03:03.320 --> 00:03:07.320]  去拯救今天每一個活在罪當中的人
[00:03:07.320 --> 00:03:09.820]  好了,不如我們在聆聽主導先
[00:03:09.820 --> 00:03:12.320]  我們也都再次打翻開這段聖經
[00:03:12.320 --> 00:03:15.820]  我們會先一起去讀這段經文一次
[00:03:15.820 --> 00:03:20.320]  約爾書第三章第十八節至第二十一節
[00:03:21.320 --> 00:03:25.320]  「到那日大山要滴甜酒
[00:03:25.320 --> 00:03:28.320]  小山要流奶子
[00:03:28.320 --> 00:03:31.320]  猶大溪河都有水流
[00:03:31.320 --> 00:03:36.320]  必有泉源從耶和華的殿中流出來
[00:03:36.320 --> 00:03:39.320]  滋潤雜情谷
[00:03:39.320 --> 00:03:42.320]  埃及必然荒涼
[00:03:42.320 --> 00:03:45.320]  以東變為淒涼的曠野
[00:03:45.320 --> 00:03:49.320]  都因向猶大人所行的強暴
[00:03:49.320 --> 00:03:53.320]  又因在本地流無辜人的血
[00:03:53.320 --> 00:03:56.320]  但猶大必存到永遠
[00:03:56.320 --> 00:04:00.320]  耶路撒冷必存到萬代
[00:04:00.320 --> 00:04:03.320]  我未曾報復流血的罪
[00:04:03.320 --> 00:04:05.320]  現在我要報復
[00:04:05.320 --> 00:04:09.320]  因為耶和華住在錫安」
