
[00:00:00.000 --> 00:00:02.360]  主要讓我們進入祢的同在
[00:00:02.360 --> 00:00:03.900]  打開我們的心
[00:00:03.900 --> 00:00:05.480]  打開我們的耳
[00:00:05.480 --> 00:00:07.980]  打開我們屬靈的眼
[00:00:07.980 --> 00:00:14.280]  讓主祢跟我們說話
[00:00:14.280 --> 00:00:19.820]  祢跟我們說祢如何等的寶貴我們
[00:00:19.820 --> 00:00:23.100]  何等的痛錫我們
[00:00:23.100 --> 00:00:24.440]  主祢的愛 祢的恩典
[00:00:24.440 --> 00:00:26.440]  就在我們頂尖的當中
[00:00:26.440 --> 00:00:29.240]  讓我們毫無保留的去親近祢
[00:00:29.240 --> 00:00:31.520]  我奉耶穌基督明宣告一切不屬於祢
[00:00:31.520 --> 00:00:33.520]  難阻我們親近祢都要離開我們
[00:00:33.520 --> 00:00:36.520]  主要帶領我們進入祢的同在
[00:00:36.520 --> 00:00:38.000]  聽我們禱告
[00:00:38.000 --> 00:00:40.000]  奉耶穌基督得誠行明
[00:00:40.000 --> 00:00:42.000]  Amen 請坐
[00:00:42.000 --> 00:00:45.800]  傳祖的智慧告訴我們
[00:00:45.800 --> 00:00:47.800]  出色的領袖都會選擇一些
[00:00:47.800 --> 00:00:51.640]  最有才幹 最有學識的人去幫助他
[00:00:51.640 --> 00:00:53.640]  去實現他的理想
[00:00:53.640 --> 00:00:57.400]  最近手機遊戲有很多廣告
[00:00:57.400 --> 00:01:00.640]  包括古天樂的春秋戰國賊
[00:01:00.640 --> 00:01:03.240]  吳宇森都拍廣告
[00:01:03.240 --> 00:01:07.400]  三國志的戰略版
[00:01:07.400 --> 00:01:12.200]  吳宇森的三國志戰略版裡面提到的時代就是三國時代
[00:01:12.200 --> 00:01:14.760]  三國時代有一個領袖
[00:01:14.760 --> 00:01:17.080]  可能大家都知道叫做劉備
[00:01:17.080 --> 00:01:19.080]  劉備究竟有什麼手下呢
[00:01:19.080 --> 00:01:20.600]  很多手下
[00:01:20.600 --> 00:01:22.800]  第一個就是關羽
[00:01:22.800 --> 00:01:24.800]  過五關斬六將
[00:01:24.800 --> 00:01:26.800]  勇猛無比
[00:01:26.800 --> 00:01:28.800]  第二個就是張飛
[00:01:28.800 --> 00:01:30.800]  看他的樣子都嚇死你
[00:01:30.800 --> 00:01:32.800]  長板波之戰他大了一聲
[00:01:32.800 --> 00:01:35.800]  追殺曹操其中一個猛將
[00:01:35.800 --> 00:01:37.800]  聽到這麼大聲突然跌下來
[00:01:37.800 --> 00:01:39.800]  就死了 不知道跌死還是嚇死
[00:01:39.800 --> 00:01:41.800]  另外第三個
[00:01:41.800 --> 00:01:44.800]  趙雲 大家熟悉的趙子龍
[00:01:44.800 --> 00:01:46.800]  超級好打
[00:01:46.800 --> 00:01:48.800]  幾百萬人圍住他 單人匹馬
[00:01:48.800 --> 00:01:51.800]  殺出重圍 還救了劉備的兒子一命
[00:01:51.800 --> 00:01:57.800]  諸葛亮就更加運籌帷幄 神機妙算
[00:01:57.800 --> 00:01:59.800]  幫助劉備建立蜀國
[00:01:59.800 --> 00:02:01.800]  三分天下
[00:02:01.800 --> 00:02:03.800]  到今天世界各地的領袖
[00:02:03.800 --> 00:02:06.800]  元首 總統 國家領導人都好
[00:02:06.800 --> 00:02:09.800]  都找自己的幕僚 找自己的內閣
[00:02:09.800 --> 00:02:11.800]  找一班很出色的人
[00:02:11.800 --> 00:02:13.800]  幫助他達成他們的使命
[00:02:13.800 --> 00:02:15.800]  但是
[00:02:15.800 --> 00:02:17.800]  看回聖經
[00:02:17.800 --> 00:02:19.800]  耶穌又怎麼選擇他的手下呢
[00:02:19.800 --> 00:02:21.800]  耶穌怎麼選擇他的內閣呢
[00:02:21.800 --> 00:02:23.800]  他的幕僚呢
[00:02:23.800 --> 00:02:25.800]  似乎不是這樣玩的
[00:02:25.800 --> 00:02:27.800]  耶穌選擇的人是怎樣呢
[00:02:27.800 --> 00:02:29.800]  讓我們一起看馬太福音
[00:02:29.800 --> 00:02:31.800]  第十章一至四節
[00:02:31.800 --> 00:02:33.800]  讀一二三
[00:02:33.800 --> 00:02:36.800]  耶穌叫了十二個門徒來
[00:02:36.800 --> 00:02:38.800]  給他們權柄
[00:02:38.800 --> 00:02:40.800]  能趕逐污鬼
[00:02:40.800 --> 00:02:43.800]  並醫治各樣的病症
[00:02:43.800 --> 00:02:45.800]  這十二仕徒的名
[00:02:45.800 --> 00:02:47.800]  頭一個叫西門
[00:02:47.800 --> 00:02:49.800]  還有他的兄弟安德烈
[00:02:49.800 --> 00:02:52.800]  西比太的兒子瓦國
[00:02:52.800 --> 00:02:55.800]  和瓦國的兄弟約翰
[00:02:55.800 --> 00:02:58.800]  肥力和巴多羅馬
[00:02:58.800 --> 00:03:01.800]  多瑪和瑞利馬太
[00:03:01.800 --> 00:03:05.800]  阿勒肥的兒子瓦國和達泰
[00:03:05.800 --> 00:03:08.800]  粉瑞黨的西門
[00:03:08.800 --> 00:03:12.800]  還有買耶穌的加略人猶大
[00:03:12.800 --> 00:03:15.800]  門徒和使徒有什麼分別呢
[00:03:15.800 --> 00:03:17.800]  使徒親眼見到耶穌
[00:03:17.800 --> 00:03:18.800]  被耶穌選擇
[00:03:18.800 --> 00:03:19.800]  包括保羅也是
[00:03:19.800 --> 00:03:21.800]  他在異象中見到耶穌
[00:03:21.800 --> 00:03:25.800]  使徒親眼見到耶穌
[00:03:25.800 --> 00:03:28.800]  代表傳達耶穌的訊息
[00:03:28.800 --> 00:03:32.800]  而門徒希臘文是跟從耶穌的人
[00:03:32.800 --> 00:03:35.800]  所以門徒和使徒都是跟從耶穌的人
[00:03:35.800 --> 00:03:37.800]  本質上是一樣
[00:03:37.800 --> 00:03:39.800]  我們呢
[00:03:39.800 --> 00:03:41.800]  我們每一個都是跟從耶穌的人
[00:03:41.800 --> 00:03:44.800]  所以你和我都是門徒
[00:03:44.800 --> 00:03:45.800]  好了
[00:03:45.800 --> 00:03:47.800]  這12個人
[00:03:47.800 --> 00:03:49.800]  究竟是什麼人呢
[00:03:49.800 --> 00:03:52.800]  他們究竟是怎樣的呢
[00:03:52.800 --> 00:03:54.800]  這12個人裡面
[00:03:54.800 --> 00:03:56.800]  有些不同的分別
[00:03:56.800 --> 00:03:58.800]  西門就是彼得
[00:03:58.800 --> 00:03:59.800]  大家認識的彼得
[00:03:59.800 --> 00:04:03.800]  彼得、安德烈、瓦國、約翰、肥力
[00:04:03.800 --> 00:04:05.800]  巴多羅馬就是
[00:04:05.800 --> 00:04:07.800]  其他書卷裡面叫拿彈葉
[00:04:07.800 --> 00:04:09.800]  多瑪這7個人
[00:04:09.800 --> 00:04:12.800]  其實用現在的眼光去看
[00:04:12.800 --> 00:04:14.800]  連史烏都還沒畢業
[00:04:14.800 --> 00:04:17.800]  這些普通到不普通的打魚佬
[00:04:17.800 --> 00:04:19.800]  我們再看看其他人
[00:04:19.800 --> 00:04:21.800]  另外一個瓦國和達泰
[00:04:21.800 --> 00:04:24.800]  普通到連詳細資料都沒有
[00:04:24.800 --> 00:04:25.800]  不知道是誰
[00:04:25.800 --> 00:04:26.800]  是誰是誰
[00:04:26.800 --> 00:04:27.800]  還有呢
[00:04:27.800 --> 00:04:29.800]  那個馬泰
[00:04:29.800 --> 00:04:31.800]  有些書卷叫利未
[00:04:31.800 --> 00:04:33.800]  馬泰之前說過
[00:04:33.800 --> 00:04:34.800]  就是一個稅吏
[00:04:34.800 --> 00:04:35.800]  稅吏是什麼
[00:04:35.800 --> 00:04:39.800]  幫助當時的外邦人羅馬政府
[00:04:39.800 --> 00:04:41.800]  收稅的收帳佬
[00:04:41.800 --> 00:04:44.800]  給當時的猶太人覺得是賣國賊的人
[00:04:44.800 --> 00:04:48.800]  這個人剛剛遇上另外一個人
[00:04:48.800 --> 00:04:49.800]  西門
[00:04:49.800 --> 00:04:52.800]  是當時激進極端的
[00:04:52.800 --> 00:04:55.800]  猶太人民族主義的
[00:04:55.800 --> 00:04:58.800]  組織的黨員
[00:04:58.800 --> 00:04:59.800]  西門
[00:04:59.800 --> 00:05:01.800]  這班人用現代的眼光
[00:05:01.800 --> 00:05:03.800]  其實是恐怖分子
[00:05:03.800 --> 00:05:05.800]  常常想發動恐怖襲擊
[00:05:05.800 --> 00:05:07.800]  去推翻羅馬帝國
[00:05:07.800 --> 00:05:09.800]  去復興猶太國
[00:05:09.800 --> 00:05:11.800]  這兩個人見到會不會大打出手
[00:05:11.800 --> 00:05:12.800]  聖經沒有記載
[00:05:12.800 --> 00:05:14.800]  我們可以想像
[00:05:14.800 --> 00:05:15.800]  打在一起
[00:05:15.800 --> 00:05:18.800]  最後那個嘉略人猶太
[00:05:18.800 --> 00:05:20.800]  其實嘉略不是一個地方
[00:05:20.800 --> 00:05:22.800]  嘉略是一個阿蘭文
[00:05:22.800 --> 00:05:24.800]  意思是什麼呢
[00:05:24.800 --> 00:05:25.800]  假冒者
[00:05:25.800 --> 00:05:30.800]  會不會耶穌揀選猶太的時候
[00:05:30.800 --> 00:05:34.800]  已經知道他是一個假冒跟從耶穌的人
[00:05:34.800 --> 00:05:35.800]  可能另有所圖
[00:05:35.800 --> 00:05:37.800]  但一樣招收他
[00:05:37.800 --> 00:05:38.800]  一樣招揀他
[00:05:38.800 --> 00:05:40.800]  想像下這班人是什麼人
[00:05:40.800 --> 00:05:41.800]  再講下
[00:05:41.800 --> 00:05:43.800]  這班人的性格
[00:05:43.800 --> 00:05:45.800]  都三尖八角
[00:05:45.800 --> 00:05:46.800]  首席大徒弟
[00:05:46.800 --> 00:05:48.800]  彼得
[00:05:48.800 --> 00:05:50.800]  彼得有個綽號我們叫
[00:05:50.800 --> 00:05:51.800]  吹水王
[00:05:51.800 --> 00:05:53.800]  為什麼吹水王
[00:05:53.800 --> 00:05:54.800]  他常常跟耶穌說
[00:05:54.800 --> 00:05:55.800]  耶穌
[00:05:55.800 --> 00:05:57.800]  我幾時都撐你
[00:05:57.800 --> 00:05:58.800]  你死
[00:05:58.800 --> 00:06:00.800]  我就第一個跟你一起死
[00:06:00.800 --> 00:06:01.800]  一句話
[00:06:01.800 --> 00:06:03.800]  講就天下無敵
[00:06:03.800 --> 00:06:05.800]  做就無能為力
[00:06:05.800 --> 00:06:06.800]  最後遇到危險的時候
[00:06:06.800 --> 00:06:10.800]  大家都知道彼得三次不認主
[00:06:10.800 --> 00:06:12.800]  另外一個多瑪
[00:06:12.800 --> 00:06:14.800]  多瑪就出名多疑
[00:06:14.800 --> 00:06:15.800]  異惑王
[00:06:15.800 --> 00:06:17.800]  就算耶穌站在他旁邊
[00:06:17.800 --> 00:06:19.800]  如果不是耶穌伸手出來
[00:06:19.800 --> 00:06:21.800]  讓我看看你的釘痕
[00:06:21.800 --> 00:06:23.800]  讓我摸摸你的肋旁
[00:06:23.800 --> 00:06:25.800]  有沒有被茅廁穿過的痕跡
[00:06:25.800 --> 00:06:27.800]  我怎樣都不信你復活了
[00:06:27.800 --> 00:06:28.800]  這樣
[00:06:28.800 --> 00:06:29.800]  還有兩個人
[00:06:29.800 --> 00:06:31.800]  是超過火爆的
[00:06:31.800 --> 00:06:33.800]  是雅各和約翰
[00:06:33.800 --> 00:06:34.800]  有一次耶穌帶著他們
[00:06:34.800 --> 00:06:36.800]  向村裡傳福音
[00:06:36.800 --> 00:06:38.800]  那條村不接納耶穌
[00:06:38.800 --> 00:06:39.800]  不接待他
[00:06:39.800 --> 00:06:40.800]  這兩個人怎樣
[00:06:40.800 --> 00:06:41.800]  耶穌
[00:06:41.800 --> 00:06:45.800]  這條村的人離譜
[00:06:45.800 --> 00:06:47.800]  有沒有搞錯
[00:06:47.800 --> 00:06:48.800]  不如我們
[00:06:48.800 --> 00:06:49.800]  吩咐
[00:06:49.800 --> 00:06:50.800]  烈火從天降
[00:06:50.800 --> 00:06:52.800]  燒掉整條村
