
[00:00:00.000 --> 00:00:04.480]  一開始想問問大家一個問題
[00:00:04.480 --> 00:00:10.440]  不知道大家記不記得自己何時開始返回教會
[00:00:10.440 --> 00:00:15.760]  在座看看,有些可能很多年都不記得自己何時返回
[00:00:15.760 --> 00:00:20.160]  有些可能是較新的也未定,想大家想一想
[00:00:20.160 --> 00:00:24.200]  然後又再想,今天你坐在這裏
[00:00:24.200 --> 00:00:29.680]  大部份都已經在這裏受了浸的訊徒
[00:00:29.680 --> 00:00:37.760]  你又會覺得當日有甚麼吸引到你留在這裏呢?
[00:00:37.760 --> 00:00:40.040]  可以想一想
[00:00:40.040 --> 00:00:43.320]  當然可能說不是,我第一間教會不是在這裏
[00:00:43.320 --> 00:00:46.480]  我轉會過來,可能搬了屋等等原因
[00:00:46.480 --> 00:00:50.680]  也不出奇的,像我這樣也不是在柴浸長大的
[00:00:50.680 --> 00:00:54.600]  我也是神的帶領呼召來這裏服事
[00:00:54.600 --> 00:00:59.600]  不過也不要緊的,你也想一想,當初柴浸也好
[00:00:59.600 --> 00:01:03.760]  究竟甚麼原因令到你,可能是一個未認識神的人
[00:01:03.760 --> 00:01:07.080]  卻留在教會裏面
[00:01:07.080 --> 00:01:11.160]  甚至到這一刻已經信了很多年
[00:01:11.160 --> 00:01:13.640]  我也想大家想一想之餘
[00:01:13.640 --> 00:01:21.200]  甚至可以寫下來,有甚麼東西會吸引到我們呢?
[00:01:21.200 --> 00:01:25.600]  我想起以前也回過好幾間教會
[00:01:25.600 --> 00:01:31.320]  為甚麼呢?純粹是因為我要進神學院受訓練
[00:01:31.320 --> 00:01:35.080]  做神學生又要去幾間不同的教會實習
[00:01:35.080 --> 00:01:38.760]  所以加上我自己沒有回到柴浸,也好像有很多間
[00:01:38.760 --> 00:01:41.960]  其實我也有接觸過不同的宗派
[00:01:41.960 --> 00:01:45.400]  但是也會發覺,就算是同一個宗派
[00:01:45.400 --> 00:01:48.200]  也有它獨特的文化
[00:01:48.200 --> 00:01:51.480]  所以也蠻有趣的
[00:01:51.480 --> 00:01:56.360]  不過有些特性,大家也是相同的
[00:01:56.360 --> 00:01:57.880]  也是一致的
[00:01:57.880 --> 00:02:02.360]  因為大家都是屬於神的教會
[00:02:02.360 --> 00:02:05.400]  也是有一樣的特質
[00:02:05.400 --> 00:02:09.800]  因為也是由屬神的群體所組成的
[00:02:09.800 --> 00:02:13.160]  今天這一段小道行傳二章
[00:02:13.160 --> 00:02:17.040]  我們從37節看到47節裏面
[00:02:17.040 --> 00:02:20.880]  我們記載了一個初期教會的生活
[00:02:20.880 --> 00:02:24.200]  不知道呢,對於大家來說
