
[00:00:00.000 --> 00:00:05.660]  今天和大家繼續思想這個題目叫做
[00:00:05.660 --> 00:00:09.240]  基督徒行事為人的準則二
[00:00:09.240 --> 00:00:12.460]  其實這個訊息曾經講過一次
[00:00:12.460 --> 00:00:17.200]  我記得上次講的時候是講到第六點
[00:00:17.200 --> 00:00:20.660]  我今天會由第一點很簡單的
[00:00:20.660 --> 00:00:22.660]  是溫述那個大題目
[00:00:22.660 --> 00:00:27.960]  然後就深入一點和大家繼續由這個第七點去講起
[00:00:27.960 --> 00:00:29.460]  第七至十四
[00:00:29.460 --> 00:00:31.460]  我就很開心
[00:00:31.460 --> 00:00:35.460]  因為我們教會就會印這個港獨的
[00:00:35.460 --> 00:00:37.460]  你叫他大綱也好
[00:00:37.460 --> 00:00:39.460]  其實都不是一個大綱
[00:00:39.460 --> 00:00:42.460]  我都是跟著他去講的
[00:00:42.460 --> 00:00:45.460]  但是我上個星期去那個教會
[00:00:45.460 --> 00:00:47.460]  他們沒有印這些東西
[00:00:47.460 --> 00:00:50.460]  其實我又覺得
[00:00:50.460 --> 00:00:54.960]  有時你聽了一些經文講到
[00:00:54.960 --> 00:00:56.960]  回去想溫習的時候
[00:00:56.960 --> 00:00:59.960]  變了都沒有一些東西可以看回
[00:00:59.960 --> 00:01:02.960]  就是做不到這個東西
[00:01:02.960 --> 00:01:04.960]  不過一個教會的做法不同
[00:01:04.960 --> 00:01:08.960]  可能他覺得不想浪費太多紙張
[00:01:08.960 --> 00:01:10.960]  OK 好
[00:01:10.960 --> 00:01:14.960]  這個題目叫做基督徒行事為人的準則
[00:01:14.960 --> 00:01:20.960]  我們作為一個主耶穌基督的門徒
[00:01:20.960 --> 00:01:22.960]  信徒門徒
[00:01:22.960 --> 00:01:26.960]  我們應該在我們的生活裏面言語行為
[00:01:26.960 --> 00:01:28.960]  是怎樣做人的呢
[00:01:28.960 --> 00:01:32.960]  所以我在早前思考這個問題的時候
[00:01:32.960 --> 00:01:36.960]  我就從聖經的角度去看了
[00:01:36.960 --> 00:01:39.960]  這裏總共有十四樣東西和大家分享
[00:01:39.960 --> 00:01:42.960]  第一樣東西就是要榮耀神
[00:01:42.960 --> 00:01:45.960]  所以不榮耀神的事我們不要做
[00:01:45.960 --> 00:01:49.960]  你跟著人家就問什麼叫榮耀神
[00:01:49.960 --> 00:01:51.960]  什麼叫不榮耀神呢
[00:01:51.960 --> 00:01:55.960]  因為我不會將頭六點再詳細和大家分享
[00:01:55.960 --> 00:01:58.960]  如果想聽回上次那邊的訊息
[00:01:58.960 --> 00:02:03.960]  你可以在我們教會的一個網頁聽到
[00:02:03.960 --> 00:02:05.960]  我曾經試過在紐西蘭
[00:02:05.960 --> 00:02:07.960]  有一個不知道是弟兄還是姐妹
[00:02:07.960 --> 00:02:09.960]  他曾經聽過我講啟示錄
[00:02:09.960 --> 00:02:12.960]  他寫了一個postcard給我
[00:02:12.960 --> 00:02:15.960]  正正是那個時候有人跟我說
[00:02:15.960 --> 00:02:16.960]  你不要再講啟示錄了
[00:02:16.960 --> 00:02:17.960]  經常講啟示錄
