
[00:00:00.000 --> 00:00:02.060]  今天是中國年的除夕
[00:00:02.060 --> 00:00:05.380]  首先在這裡恭賀大家新春蒙大福
[00:00:05.380 --> 00:00:06.660]  心靈有喜樂
[00:00:06.660 --> 00:00:08.440]  生活有能力
[00:00:08.440 --> 00:00:09.480]  身體有健康
[00:00:09.480 --> 00:00:10.240]  Amen
[00:00:10.240 --> 00:00:11.520]  Hallelujah
[00:00:11.520 --> 00:00:13.320]  面對這新的一年
[00:00:13.320 --> 00:00:17.400]  我相信我們每一個人都有不同的期望
[00:00:17.400 --> 00:00:19.720]  無論過去一年是如何
[00:00:19.720 --> 00:00:21.240]  我們總是渴望
[00:00:21.240 --> 00:00:25.080]  在未來一年當中會有新的開始
[00:00:25.080 --> 00:00:26.620]  特別是今年
[00:00:26.620 --> 00:00:28.920]  神界的先知的話語
[00:00:28.920 --> 00:00:32.760]  給我們教會有多少的祝福跟應許
[00:00:32.760 --> 00:00:34.300]  我們相信
[00:00:34.300 --> 00:00:35.840]  也期待
[00:00:35.840 --> 00:00:38.400]  神必定要在我們中間
[00:00:38.400 --> 00:00:41.220]  成就超過我們所求所想的事
[00:00:41.220 --> 00:00:42.500]  Amen
[00:00:42.500 --> 00:00:45.560]  但是每一次當我們準備要
[00:00:45.560 --> 00:00:48.380]  憑信心來跟隨神的時候
[00:00:48.380 --> 00:00:51.700]  我們總是會遇到一個掙扎
[00:00:51.700 --> 00:00:53.760]  什麼樣的掙扎呢
[00:00:53.760 --> 00:00:58.880]  那就是在應許跟現實之間的掙扎
[00:00:58.880 --> 00:01:02.120]  一方面我們看見神的應許是這樣的寶貴
[00:01:02.120 --> 00:01:03.480]  這樣的豐富
[00:01:03.480 --> 00:01:05.280]  令人興奮
[00:01:05.280 --> 00:01:08.360]  但另一方面當你看見現實的環境
[00:01:08.360 --> 00:01:11.420]  總讓我們寸步難行
[00:01:11.420 --> 00:01:13.480]  就好像約書亞一樣
[00:01:13.480 --> 00:01:16.280]  當約書亞要帶領以色列進入迦南地的時候
[00:01:16.280 --> 00:01:18.600]  一方面是應許之地
[00:01:18.600 --> 00:01:20.380]  迦南美地
[00:01:20.380 --> 00:01:22.940]  要帶領以色列進去
[00:01:22.940 --> 00:01:24.220]  很興奮
[00:01:24.220 --> 00:01:25.760]  但另一方面呢
[00:01:25.760 --> 00:01:26.780]  也看見
[00:01:26.780 --> 00:01:31.380]  他們進入迦南美地每一個腳步走前去
[00:01:31.380 --> 00:01:33.440]  都是一場戰爭
[00:01:33.440 --> 00:01:35.220]  而且每一場戰爭
[00:01:35.220 --> 00:01:37.780]  都是要人命的戰爭
[00:01:37.780 --> 00:01:39.320]  特別是當他們
[00:01:39.320 --> 00:01:40.780]  在特別年紀
[00:01:40.780 --> 00:01:43.680]  約書亞年紀老邁的時候你還記得
[00:01:43.680 --> 00:01:45.220]  神對約書亞說
[00:01:45.220 --> 00:01:49.060]  你年紀老邁還有許多未得之地
[00:01:49.060 --> 00:01:52.120]  這多麼令人洩氣的話說真的
[00:01:52.120 --> 00:01:54.420]  不但讓約書亞很洩氣
[00:01:54.420 --> 00:01:59.280]  但整個以色列也很洩氣還有很多未得之地
[00:01:59.280 --> 00:02:01.340]  可見的應許
[00:02:01.340 --> 00:02:03.380]  跟現實之間
[00:02:03.380 --> 00:02:06.460]  的確有很大的差距在這裡
[00:02:06.460 --> 00:02:09.020]  第二點今天在你生命當中
[00:02:09.020 --> 00:02:12.340]  你是否也面對這樣一種掙扎
[00:02:12.340 --> 00:02:17.980]  你是不是也面對很多在你生命當中的未得之地
[00:02:17.980 --> 00:02:20.780]  好像過去你覺得是應許之地
[00:02:20.780 --> 00:02:24.620]  現在卻好像成為一個未得之地
[00:02:24.620 --> 00:02:28.980]  在你的工作上你是不是覺得好像不再能夠突破呢
[00:02:28.980 --> 00:02:30.760]  在你的家庭生活當中
[00:02:30.760 --> 00:02:34.600]  你是不是覺得好像關係不再能夠恢復呢
[00:02:34.600 --> 00:02:37.940]  在你的服飾當中你是不是覺得很疲倦呢
[00:02:37.940 --> 00:02:41.780]  你好像覺得侍奉不大會有果效呢
[00:02:41.780 --> 00:02:46.900]  第二點今天無論你所面對的未得之地是什麼
[00:02:46.900 --> 00:02:49.200]  神的話語今天說
[00:02:49.200 --> 00:02:54.580]  這是你要勇敢向前得地為業的時刻
[00:02:54.580 --> 00:02:59.440]  剛才我們所讀的經文我們看見有一個人就是迦勒
[00:02:59.440 --> 00:03:01.240]  他是我們的榜樣
[00:03:01.240 --> 00:03:07.380]  在當時所有的以色列人面對未得之地心灰意冷的時候
[00:03:07.380 --> 00:03:09.680]  只有他一個人
[00:03:09.680 --> 00:03:12.240]  還是勇敢的起來
[00:03:12.240 --> 00:03:16.840]  去得著了神所應許他的三弟
[00:03:16.840 --> 00:03:18.900]  從未得之地
[00:03:18.900 --> 00:03:21.460]  成為一個必得之地
[00:03:21.460 --> 00:03:24.540]  我們要從今天這段經文當中一同來看
[00:03:24.540 --> 00:03:27.600]  這樣得地為業的一個原則
[00:03:27.600 --> 00:03:29.400]  三方面第一個
[00:03:29.400 --> 00:03:32.220]  要相信神有應許之地為你預備
[00:03:32.220 --> 00:03:37.080]  跟你們說要相信神有應許之地為你預備跟他說
[00:03:37.080 --> 00:03:40.400]  迦勒是一個相信神應許的人
[00:03:40.400 --> 00:03:43.220]  所以十二節裡面雖然當時的
[00:03:43.220 --> 00:03:46.300]  好像整個光景很灰心的光景
[00:03:46.300 --> 00:03:52.700]  十二節他怎麼說求你將耶華那日應許給我的三弟給我
