
[00:00:00.000 --> 00:00:04.000]  我看過一位靈修導師的經驗分享
[00:00:04.000 --> 00:00:10.400]  我現在正在進修一位老師的經驗分享
[00:00:10.400 --> 00:00:13.600]  過程是很受感動的
[00:00:13.600 --> 00:00:17.600]  他說一位姊妹 我簡稱她做ML
[00:00:17.600 --> 00:00:22.000]  每個月都去見她做一個靈修的指導
[00:00:22.000 --> 00:00:24.800]  期望可以在每一天生活裏面
[00:00:24.800 --> 00:00:28.800]  去發現、留意上帝祂自己的同在
[00:00:28.800 --> 00:00:30.800]  有一年的時間
[00:00:30.800 --> 00:00:35.600]  在期間那位姊妹有來見他
[00:00:35.600 --> 00:00:40.000]  告訴他 她的哥哥診斷了有癌症
[00:00:40.000 --> 00:00:42.400]  三個月之後就離世
[00:00:42.400 --> 00:00:44.800]  由於這位姊妹跟哥哥的關係很好
[00:00:44.800 --> 00:00:47.200]  這個突如其來的噩耗
[00:00:47.200 --> 00:00:50.800]  令他很傷心、難過 很難接受
[00:00:50.800 --> 00:00:54.000]  也不忍心看到哥哥的太太
[00:00:54.000 --> 00:00:55.600]  還有三個子女
[00:00:55.600 --> 00:00:59.200]  遺留下來的那種淒涼、孤單
[00:00:59.200 --> 00:01:01.600]  還要陷在經濟的困難裏面
[00:01:01.600 --> 00:01:03.200]  三個月以來
[00:01:03.200 --> 00:01:06.400]  這位姊妹很努力幫助自己
[00:01:06.400 --> 00:01:10.400]  並且幫助哥哥一家去度過哀傷的日子
[00:01:10.400 --> 00:01:13.600]  但沒多久 他又收到另一個噩耗
[00:01:13.600 --> 00:01:18.800]  就是他姊姊一個十歲大的兒子患了血癌
[00:01:18.800 --> 00:01:23.200]  這個消息為他帶來很沉重的擔子
[00:01:23.200 --> 00:01:26.800]  所以一個星期之後 他又來見這位老師
[00:01:26.800 --> 00:01:29.200]  他哭著在問
[00:01:29.200 --> 00:01:32.400]  「上帝為何容讓這些事發生?」
[00:01:32.400 --> 00:01:36.800]  「上帝為何一而再地容讓這些事發生?」
[00:01:36.800 --> 00:01:39.200]  之後在很多次的靈修指導裏面
[00:01:39.200 --> 00:01:42.400]  他都是保持靜默
[00:01:42.400 --> 00:01:48.000]  對著這位姊妹老師的心頭都被壓著
[00:01:48.000 --> 00:01:49.600]  不知道可以說些甚麼
[00:01:49.600 --> 00:01:53.200]  或者很多時選擇不說些甚麼
[00:01:53.200 --> 00:01:56.400]  甚至往往眼有淚水
[00:01:56.400 --> 00:01:59.200]  他很同情這位姊妹
[00:01:59.200 --> 00:02:02.600]  並且很同情他的家人
[00:02:02.600 --> 00:02:05.600]  特別是掙扎求存的家人
[00:02:05.600 --> 00:02:09.200]  要努力生存下去很不容易
