
[00:00:00.000 --> 00:00:06.260]  所以今天來到看到紀錄圖的起落
[00:00:06.260 --> 00:00:08.780]  我們已經講了兩次
[00:00:08.780 --> 00:00:09.580]  第三次
[00:00:09.580 --> 00:00:12.800]  今天是從歷代至上
[00:00:12.800 --> 00:00:13.920]  第十二章
[00:00:13.920 --> 00:00:16.000]  上一次我們看過的是
[00:00:16.000 --> 00:00:18.540]  生命記和歷代至上
[00:00:18.540 --> 00:00:19.520]  二十九章
[00:00:19.520 --> 00:00:22.200]  今天也是另一段經文
[00:00:22.200 --> 00:00:24.480]  在歷代至上的經文
[00:00:24.480 --> 00:00:26.480]  是第十二章
[00:00:26.480 --> 00:00:29.840]  在中間那一篇
[00:00:29.840 --> 00:00:32.000]  我們看這一句金句
[00:00:32.000 --> 00:00:35.500]  "The joy of the Lord is our strength"
[00:00:35.500 --> 00:00:39.180]  《利器迷記》第八章的經文提醒我們
[00:00:39.180 --> 00:00:45.400]  我們有一些現代的統計
[00:00:45.400 --> 00:00:49.360]  認為一個人快不快樂
[00:00:49.360 --> 00:00:52.640]  有一些因素影響他
[00:00:52.640 --> 00:00:56.800]  有很大部份和性格有關
[00:00:56.800 --> 00:00:59.700]  從genetic的影響
[00:00:59.700 --> 00:01:04.180]  因為有些人天生多愁善感
[00:01:04.180 --> 00:01:06.180]  有沒有認識這種人?
[00:01:06.180 --> 00:01:09.040]  他怎麼也不是很開心
[00:01:09.040 --> 00:01:12.900]  經常見到他都很憂愁
[00:01:12.900 --> 00:01:17.880]  有些人天生很樂觀
[00:01:17.880 --> 00:01:23.440]  經常見到他都很開心
[00:01:23.440 --> 00:01:27.200]  當然這些是比較兩面極端化
[00:01:27.200 --> 00:01:29.680]  大部份我們的人
[00:01:29.680 --> 00:01:31.480]  有時開心些有時不開心
[00:01:31.480 --> 00:01:34.800]  有時性格比較偏向含蓄些
[00:01:34.800 --> 00:01:37.600]  有些人性格比較樂天些
[00:01:37.600 --> 00:01:40.680]  但通常都不會太極端
[00:01:40.680 --> 00:01:42.680]  所以這個因素是有
[00:01:42.680 --> 00:01:45.040]  但因人而異
[00:01:45.040 --> 00:01:48.020]  但差距亦不會太大
[00:01:48.020 --> 00:01:50.020]  當然有些人特別好些
[00:01:50.020 --> 00:01:52.020]  有些人性格比較偏向這樣
[00:01:52.020 --> 00:01:55.460]  但另外一些因素就是環境因素
[00:01:55.460 --> 00:01:58.960]  環境因素就是他人生有很多困難
[00:01:58.960 --> 00:02:01.960]  或者他面對當時的艱難
[00:02:01.960 --> 00:02:04.960]  或者疾病等等環境因素
[00:02:04.960 --> 00:02:08.960]  外在的因素影響我們可不可以快樂
[00:02:08.960 --> 00:02:13.960]  這個原來測出來大概只有10%
[00:02:13.960 --> 00:02:16.960]  另外一個很大的因素
[00:02:16.960 --> 00:02:18.960]  差不多有四成的因素
[00:02:18.960 --> 00:02:21.960]  就是他個人的選擇
[00:02:21.960 --> 00:02:23.960]  所以不可以賴性格
[00:02:23.960 --> 00:02:25.960]  亦不可以賴環境
[00:02:25.960 --> 00:02:29.960]  是在乎我們要不要去選擇和決定
[00:02:29.960 --> 00:02:32.960]  所以我們可以決定不去優秀
[00:02:32.960 --> 00:02:35.960]  可以決定多些快樂
[00:02:35.960 --> 00:02:39.960]  當然這個用人的意志去決定
[00:02:39.960 --> 00:02:41.960]  是一個很重要的因素
[00:02:41.960 --> 00:02:45.960]  但我們也知道我們人的力量
[00:02:45.960 --> 00:02:47.960]  我們的意志薄弱
[00:02:47.960 --> 00:02:51.960]  有時不是那麼容易想就去做到
[00:02:51.960 --> 00:02:53.960]  感謝神讓我們看到
[00:02:53.960 --> 00:02:55.960]  在這些因素當中
[00:02:55.960 --> 00:02:58.960]  這個具體這麼重要的因素是我們自己的決定
[00:02:58.960 --> 00:03:00.960]  所以在聖經裏也提到
[00:03:00.960 --> 00:03:04.960]  我們能夠在基督裏靠主
[00:03:04.960 --> 00:03:07.960]  能夠常常喜樂
[00:03:07.960 --> 00:03:11.960]  「要」是選擇,「要」是一個命令
[00:03:11.960 --> 00:03:13.960]  「要」是一個神的吩咐
[00:03:13.960 --> 00:03:16.960]  所以這個真的在乎我們的選擇
[00:03:16.960 --> 00:03:18.960]  在乎我們要不要
[00:03:18.960 --> 00:03:22.960]  但問題不是我們要不要
[00:03:22.960 --> 00:03:25.960]  他說我們要靠著主
[00:03:25.960 --> 00:03:30.960]  來有這麼美好的聖靈所結出來的果子
[00:03:30.960 --> 00:03:33.960]  就是其中一個的喜樂
[00:03:33.960 --> 00:03:38.960]  這裏在舊約聖經也有這樣的意思
[00:03:38.960 --> 00:03:40.960]  是靠著耶和華
[00:03:40.960 --> 00:03:43.960]  或者是屬於耶和華的喜樂
[00:03:43.960 --> 00:03:45.960]  是我們的力量
[00:03:45.960 --> 00:03:50.960]  所以原來這個真的在乎我們選不選擇
[00:03:50.960 --> 00:03:53.960]  靠不靠著主,要不要
