
[00:00:00.000 --> 00:00:15.300]  主席:在寒冷的冬天裏面,弟兄姊妹要多穿衣服保暖,求主特別祝福一群長者身體健康。
[00:00:15.300 --> 00:00:34.300]  主席:我知道在座許多弟兄姊妹,非常有興趣到聖地學習,期待可以穿越時光的隧道,回到聖經記載不同的場景,
[00:00:34.300 --> 00:00:51.300]  或者可以體驗聖經記載的真實性。一般去聖地有兩條主要路線,第一條是以耶路撒冷為中心,
[00:00:51.300 --> 00:01:09.300]  就是我們追隨昔日耶穌曾經走過的腳踪,另一條是以亞細亞一帶為主,特別是《啟示錄》記載的七間教會,
[00:01:09.300 --> 00:01:28.300]  就是追隨使徒保羅的腳踪。剛剛過去的月底我去了土耳其,有機會去到以弗所和別加摩兩個遺跡,
[00:01:28.300 --> 00:01:48.300]  有另一個相關和老弟家的遺跡,就是很著名的景點棉花堡,有機會可以跟大家分享。
[00:01:48.300 --> 00:02:04.300]  去到以弗所和別加摩已經是一片頹垣敗瓦,你見到建築的宏偉仍然可以賞到昔日的光輝,
[00:02:04.300 --> 00:02:22.300]  今天早上我想跟大家分享《啟示錄》記載的七所教會,第一所叫以弗所教會,
[00:02:22.300 --> 00:02:34.300]  我們說的以弗所教會不是指一間特定的教會,而是指擅居在以弗所一群基督徒的群體。
[00:02:34.300 --> 00:02:52.300]  以弗所書提到基督愛教會,為教會舍命,我每次讀到這段經文,心裏面都有一個很大的觸動,有一份無名的敬畏。
[00:02:52.300 --> 00:03:07.300]  基督愛教會愛到一個地步是願意犧牲自己的性命,但有時細心想,教會又不是那麼可愛。
[00:03:07.300 --> 00:03:24.300]  特別當你讀到《啟示錄》七教會,基督對教會的愛不是一種盲目的溺愛,而是一種愛之深責之切,恨鐵不成鋼的愛。
[00:03:24.300 --> 00:03:40.300]  如果按照聖經的啟示,教會是地上實踐完成天國使命的群體,我相信任何一間教會,包括尖閣教會,
[00:03:40.300 --> 00:04:02.300]  如果我們偏離主的道,上帝一樣會愛之深責之切地責備我們。求主幫助我們,按照聖經所說,凡有耳應當聽的就當聽。
[00:04:02.300 --> 00:04:20.300]  以弗所是當時羅馬在亞洲的首府,是當時三大名城之一,與敘利亞的安提阿和埃及的亞歷山大齊名。
[00:04:20.300 --> 00:04:44.300]  以弗所的古城大概在公元一千年前,由當時在愛琴海沿岸的一種奧尼亞人所興建,由於靠近愛琴海,又是昔日的主要航道的其中一個關鍵城市,
[00:04:44.300 --> 00:05:04.300]  是來往歐洲和亞洲中間一個很重要的港口,慢慢成為一個非常繁盛,甚至成為亞洲的首都,那裏開始有很大型的建設,
[00:05:04.300 --> 00:05:19.300]  比港臺更大的雲石鋪在那裏的路上,還有很多石的雕刻和希臘的建築,
[00:05:19.300 --> 00:05:39.300]  由於以弗所得盡天時地利之便,船隻經過他們要在那裏補給,甚至當時的羅馬政府就訂了一條例,
[00:05:39.300 --> 00:06:04.300]  如果有任何官員要出外,先要經過以弗所,種種因素造成以弗所成為一個官商混雜的大都會,一些重要的節旗、宗教、政治和文化活動都在當地舉行,
[00:06:04.300 --> 00:06:22.300]  以弗所除了經濟發達之外,當地很盛產一個叫阿底米的神像,甚至成為一個龐大的生意,
[00:06:22.300 --> 00:06:39.300]  如果你讀史太平傳,就曾經記載保羅在以弗所工作的時候,因為大量的帶領人皈信基督,影響做這盤生意的人是受到迫害的,
[00:06:39.300 --> 00:06:53.300]  另外城裏有一個阿底米神廟,被譽為世界七大建築奇蹟。
[00:06:53.300 --> 00:07:09.300]  這個廟有120條雲石的圓柱,每條高60尺,其中有36條是雙滿寶石,另外一個出名的就是以弗所靈符,
[00:07:09.300 --> 00:07:31.300]  它遠近馳名,古代人都迷信,到了以弗所就買這些靈符來防身,傳說能治百病,護身驅邪,生意興隆,
[00:07:31.300 --> 00:07:45.300]  即是家宅平安,連生貴子,什麼好處都有,連同所有的大都會在經濟發達的背後衍生很多社會問題,
[00:07:45.300 --> 00:07:55.300]  以弗所當時是一個罪惡和迷信的中心,
[00:07:55.300 --> 00:08:02.300]  新的學者說,如果要證明基督德性的力量,再沒有比以弗所能見證,
[00:08:02.300 --> 00:08:15.300]  據一些研究,世界上第一個正式的廣告就在以弗所出現,
[00:08:15.300 --> 00:08:25.300]  這不是一個太好的廣告,這個廣告是什麼呢?真是我拍的,
[00:08:25.300 --> 00:08:46.300]  這裏有一隻左腳,表示在一條大通道轉左,上面有一個女士的像,下面有一個心,其實是一個嫖妓的廣告,
[00:08:46.300 --> 00:08:59.300]  是服務那些停泊在以弗所的船員或做生意的人,到以弗所尋芳問柳的一個廣告,
[00:08:59.300 --> 00:09:06.300]  你可以想像當時他們那種經濟繁榮的背後充斥著罪惡,
[00:09:06.300 --> 00:09:16.300]  以弗所除了自己本身的地理環境得天獨厚之外,
[00:09:16.300 --> 00:09:23.300]  你剛才讀聖經,耶穌基督是稱讚這間教會的,
[00:09:23.300 --> 00:09:38.300]  在二章二至三節裏說他們以勞碌忍耐見稱,他們都嫉惡如仇,不能容許惡人在他們中間,
[00:09:38.300 --> 00:09:53.300]  他們有屬靈辨識的能力,能夠分別處理那些假的師傅或假的教師,
[00:09:53.300 --> 00:10:08.300]  他又為基督的名忍受了誓言和患難,勞碌不戒,從以上的描述我們可以看到,
[00:10:08.300 --> 00:10:29.300]  至少在以弗所這個罪惡充斥的城市裏,他們持守自己的信仰,在第四節裏提出了他們最致命的關鍵,
[00:10:29.300 --> 00:10:42.300]  最可悲的地方是他們是離棄了起初的愛心,好像一種火熱的愛情冷卻了,
[00:10:42.300 --> 00:10:56.300]  初期對上帝對主的那種愛心也沒有了,離棄起初的愛心是整個以弗所教會倒退的關鍵,
[00:10:56.300 --> 00:11:08.300]  所以要理解、研究以弗所教會,要從這句說話做一個入手,這句說話有兩個不同的解釋,
[00:11:08.300 --> 00:11:27.300]  起初不單是指時間,意思是說你以前是怎樣,現在是怎樣,特別是妻子對丈夫的形容就充分反映這句說話,
[00:11:27.300 --> 00:11:49.300]  你追求我的時候就當我是寶貝,現在就當我是草,你追求我的時候就像李連英,現在就隔幾條街,
[00:11:49.300 --> 00:12:14.300]  這個起初也是指在本質上,起初是在浪子的故事裏面,父親把上好的袍給兒子穿上,上好這個字就是起初,
[00:12:14.300 --> 00:12:31.300]  換句話說,以弗所教會將原本給上帝最美好的放棄了,離棄是一個很強烈的用詞,
[00:12:31.300 --> 00:12:51.300]  通常是說丈夫貪新忘舊,疑情別戀,拋棄自己的妻子,拋棄自己的家庭,人世間最難忍受的就是這種見義思遷的愛情,
[00:12:51.300 --> 00:13:06.300]  人對人已經是難以忍受,何況我們對上帝,就好像先知耶利米講述以色列民對神的忠誠,
[00:13:06.300 --> 00:13:22.300]  上帝形容自己好像一個被遺棄的婦人,思念自己的百姓,他說我幼年的恩愛,婚姻的愛情我都記得,
[00:13:22.300 --> 00:13:39.300]  這種已經失去愛情的婚姻未同焦辣的關係,好像以弗所整個教會的光景,失去對主那份熱誠,失去對主那份起初的愛,
