
[00:00:00.000 --> 00:00:03.380]  已經隔了一段相當長的時間
[00:00:03.380 --> 00:00:06.460]  沒有講傳道書
[00:00:06.460 --> 00:00:09.700]  而今天再跟大家講傳道書
[00:00:09.700 --> 00:00:12.660]  上一次講到第五章尾的時候
[00:00:12.660 --> 00:00:17.040]  是四個月之前 我去短孫之前
[00:00:17.040 --> 00:00:19.820]  隔了這麼久
[00:00:19.820 --> 00:00:21.820]  平時我們說隔了一個星期
[00:00:21.820 --> 00:00:23.820]  已經不記得講什麼了
[00:00:23.820 --> 00:00:25.080]  隔了四個月
[00:00:25.080 --> 00:00:28.140]  上一次講傳道書第五章是講什麼呢
[00:00:28.140 --> 00:00:30.560]  或者前面那幾章會講什麼呢
[00:00:30.560 --> 00:00:33.580]  相信不會有很多人記得
[00:00:33.580 --> 00:00:38.680]  所以我想先跟大家簡單的溫習一下
[00:00:38.680 --> 00:00:42.160]  前面那兩章 特別前面那兩章
[00:00:42.160 --> 00:00:44.660]  四章 五章 究竟講些什麼呢
[00:00:44.660 --> 00:00:46.620]  以致接下來第六章
[00:00:46.620 --> 00:00:48.620]  接著講什麼呢
[00:00:48.620 --> 00:00:52.640]  大家容易一點聽得明白
[00:00:52.640 --> 00:00:54.900]  從第四章開始
[00:00:54.900 --> 00:01:00.740]  傳道者講述世上有各種不同的人
[00:01:00.740 --> 00:01:05.060]  他也有各種不同的人生遭遇
[00:01:05.060 --> 00:01:09.780]  那些人生遭遇是人不能自己去控制的
[00:01:09.780 --> 00:01:15.760]  也解釋不了各種的原因
[00:01:15.760 --> 00:01:18.180]  比如在第四章裡面
[00:01:18.180 --> 00:01:21.620]  提到有被人欺壓的人
[00:01:21.620 --> 00:01:23.820]  有被人嫉妒的人
[00:01:23.820 --> 00:01:25.820]  懶惰的人
[00:01:25.820 --> 00:01:30.860]  一生孤獨勞碌 不知道為了什麼的人
[00:01:30.860 --> 00:01:35.480]  有些不能夠承受時代變遷的人
[00:01:35.480 --> 00:01:39.240]  沒有解決問題 或者沒有答案
[00:01:39.240 --> 00:01:43.700]  但是那些人就過去了
[00:01:43.700 --> 00:01:46.700]  或者就這樣過去了
[00:01:46.700 --> 00:01:48.980]  到了第五章
[00:01:48.980 --> 00:01:51.700]  又講到有那些輕視神
[00:01:51.700 --> 00:01:58.140]  即是說奪取神應得一份榮耀的那些人
[00:01:58.140 --> 00:02:01.060]  另外又講到那些
[00:02:01.060 --> 00:02:08.900]  他奪取別人應得的那一份的人
[00:02:08.900 --> 00:02:15.220]  這些人也慢慢就過去了
[00:02:15.220 --> 00:02:17.100]  到了第五章尾的時候
[00:02:17.100 --> 00:02:20.540]  傳道者提到一個比較特別的地方
[00:02:20.540 --> 00:02:23.220]  他說有些人他就會明白
[00:02:23.220 --> 00:02:28.500]  和他會享受到勞碌得來
[00:02:28.500 --> 00:02:32.380]  是神所賜的恩典
[00:02:32.380 --> 00:02:34.860]  他又明白 他又會享受到
[00:02:34.860 --> 00:02:36.220]  這些是很難得的
[00:02:36.220 --> 00:02:42.580]  不過這些人也都會過去了
[00:02:42.580 --> 00:02:45.260]  來到第六章
[00:02:45.260 --> 00:02:52.580]  傳道者他繼續再去講另外一些人的遭遇
[00:02:52.580 --> 00:02:55.860]  這次他用一些很誇張的筆法
[00:02:55.860 --> 00:03:00.380]  來描寫那些人的情況
[00:03:00.380 --> 00:03:05.540]  是故意將它誇張 將它極端化
[00:03:05.540 --> 00:03:11.860]  這樣我們比較容易去分析 容易去理解
[00:03:11.860 --> 00:03:15.780]  那些人的遭遇雖然是各個不同
[00:03:15.780 --> 00:03:20.180]  但是他們的人的心底裡
[00:03:20.180 --> 00:03:26.620]  或者所有這些遭遇的最終的那一件事
[00:03:26.620 --> 00:03:29.460]  他們有一個共同點
[00:03:29.460 --> 00:03:31.260]  就是在人生裏面
[00:03:31.260 --> 00:03:39.540]  在世上是找不到真正能夠令人喜樂滿足
[00:03:39.540 --> 00:03:47.660]  因為只有神才可以使人喜樂滿足
[00:03:47.660 --> 00:03:50.860]  今日主要的訊息就是
[00:03:50.860 --> 00:03:56.180]  得到神所賜的物質未必能夠使我們喜樂滿足
[00:03:56.180 --> 00:04:00.500]  唯有得到賜恩典能力的神
[00:04:00.500 --> 00:04:02.500]  得到神自己
[00:04:02.500 --> 00:04:05.940]  人才能夠喜樂滿足
[00:04:05.940 --> 00:04:10.460]  這個就是今日我們大家一起要學的功課
[00:04:10.460 --> 00:04:16.140]  我們看傳道書六章一節
[00:04:16.140 --> 00:04:21.580]  「我見日光之下有一宗禍患重壓在人身上」
[00:04:21.580 --> 00:04:28.220]  「重壓在人身上」這句話的意思是表達
[00:04:28.220 --> 00:04:30.980]  有一種困局
[00:04:30.980 --> 00:04:34.540]  那個困局是沒有答案的
[00:04:34.540 --> 00:04:37.660]  也沒有出路 沒有解決辦法的
[00:04:37.660 --> 00:04:40.620]  因此一直都成為人的
[00:04:40.620 --> 00:04:47.220]  特別是在心靈裏面的一個重擔和壓抑
[00:04:47.220 --> 00:04:51.740]  這個困局是什麼呢?
[00:04:51.740 --> 00:04:53.540]  我們看第二節
[00:04:53.540 --> 00:04:55.980]  這個困局就是
[00:04:55.980 --> 00:04:57.780]  有某一個人
[00:04:57.780 --> 00:05:00.940]  神賜給他名利財物
[00:05:00.940 --> 00:05:04.980]  真是想那樣就有那樣
[00:05:04.980 --> 00:05:14.580]  但是神沒有賜給他能夠享用他所有的恩典
[00:05:14.580 --> 00:05:19.540]  他有了所有能夠幸福快樂的條件
[00:05:19.540 --> 00:05:25.580]  但是他就是不能夠享受到一個幸福快樂的生活
[00:05:25.580 --> 00:05:31.540]  這個真是很可惜 也很諷刺
[00:05:31.540 --> 00:05:32.940]  我們很多人都會說
