
[00:00:00.000 --> 00:00:02.240]  口、嘴、唇、舌頭
[00:00:02.240 --> 00:00:05.160]  如果大家一直有看聖經
[00:00:05.160 --> 00:00:06.520]  信了一段日子
[00:00:06.520 --> 00:00:11.080]  你都知道這幾個名詞
[00:00:11.080 --> 00:00:12.760]  聖經是有講的
[00:00:12.760 --> 00:00:16.360]  而且講的頻率都不少
[00:00:16.360 --> 00:00:19.080]  很多地方都講到我們的口要怎樣
[00:00:19.080 --> 00:00:20.520]  我們的嘴唇要怎樣
[00:00:20.520 --> 00:00:21.600]  我們的舌頭要怎樣
[00:00:21.600 --> 00:00:23.320]  其實三個有什麼分別呢
[00:00:23.320 --> 00:00:24.720]  有沒有分別呢?大家覺得
[00:00:24.720 --> 00:00:26.280]  都有的
[00:00:26.280 --> 00:00:28.880]  但是你其實答有是對的
[00:00:28.880 --> 00:00:30.200]  你答沒有也是對的
[00:00:30.200 --> 00:00:31.440]  都是差不多的
[00:00:31.440 --> 00:00:33.160]  聖經裡面所講的
[00:00:33.160 --> 00:00:36.720]  主要不是講這個器官
[00:00:36.720 --> 00:00:39.720]  就是有什麼外形上的不同
[00:00:39.720 --> 00:00:45.960]  主要是想講這個口、嘴唇、舌頭
[00:00:45.960 --> 00:00:47.680]  所做出來的事情
[00:00:47.680 --> 00:00:48.680]  是什麼事情
[00:00:48.680 --> 00:00:50.680]  應該要做什麼
[00:00:50.680 --> 00:00:52.320]  不應該做什麼
[00:00:52.320 --> 00:00:55.120]  其實看聖經一直下來
[00:00:55.120 --> 00:00:56.440]  都是差不多的
[00:00:56.440 --> 00:00:58.320]  所以你也可以說
[00:00:58.320 --> 00:01:00.160]  這三個其實在聖經裡面
[00:01:00.160 --> 00:01:02.880]  講口、講嘴唇、講舌頭
[00:01:02.880 --> 00:01:04.520]  都是講那一類的事情
[00:01:04.520 --> 00:01:05.720]  都是對的
[00:01:05.720 --> 00:01:09.160]  只不過有時候在記載
[00:01:09.160 --> 00:01:12.200]  在文筆、在那個地方
[00:01:12.200 --> 00:01:13.640]  他喜歡用口就用口
[00:01:13.640 --> 00:01:15.160]  喜歡用嘴唇就用嘴唇
[00:01:15.160 --> 00:01:19.800]  粗略地你可以當它都是那一樣東西
[00:01:19.800 --> 00:01:20.600]  都可以的
[00:01:20.600 --> 00:01:24.880]  這個口、嘴唇和舌頭
[00:01:24.880 --> 00:01:26.880]  主要的功能是什麼呢
[00:01:27.680 --> 00:01:30.280]  所做的工作是什麼呢
[00:01:30.280 --> 00:01:32.440]  大家都應該其實知道了
[00:01:32.440 --> 00:01:33.920]  口就講嘢囉
[00:01:33.920 --> 00:01:39.400]  我們想從這個講話的入手
[00:01:39.400 --> 00:01:44.440]  來講述今天的信息
[00:01:44.440 --> 00:01:46.720]  如果大家記得在《馬太福音》
[00:01:46.720 --> 00:01:49.720]  耶穌講過一句話
[00:01:49.720 --> 00:01:52.560]  就是有些人去挑戰他
[00:01:52.560 --> 00:01:54.560]  因為耶穌帶著門徒
[00:01:54.560 --> 00:01:57.160]  有些事情做出來
[00:01:57.160 --> 00:02:00.360]  特別是法尼塞人看不順眼
[00:02:00.360 --> 00:02:02.720]  就說他的門徒
[00:02:02.720 --> 00:02:05.080]  為什麼你吃飯之前不洗手
[00:02:05.080 --> 00:02:06.960]  不是為了衛生的緣故
[00:02:06.960 --> 00:02:08.160]  好像現在這樣
[00:02:08.160 --> 00:02:10.920]  吃飯之前洗完手再吃飯
[00:02:10.920 --> 00:02:12.880]  或者一會兒去小吃的時候
[00:02:12.880 --> 00:02:14.880]  有些人都習慣先洗洗手
[00:02:14.880 --> 00:02:16.000]  都是好事來的
[00:02:16.000 --> 00:02:17.920]  衛生的原因
[00:02:17.920 --> 00:02:20.520]  但是當時的人去挑戰耶穌和門徒
[00:02:20.520 --> 00:02:22.520]  不是因為衛生的緣故
[00:02:22.520 --> 00:02:25.000]  是因為他們的傳統
[00:02:25.000 --> 00:02:29.320]  他們認為聖潔與污穢
[00:02:29.320 --> 00:02:33.160]  就是聖與濁的分別
[00:02:33.160 --> 00:02:34.680]  就是你不洗手
[00:02:34.680 --> 00:02:36.000]  你的手是濁手
[00:02:36.000 --> 00:02:37.480]  但是又聚污
[00:02:37.480 --> 00:02:39.760]  你吃東西就不可以
[00:02:39.760 --> 00:02:40.960]  是犯罪的
[00:02:40.960 --> 00:02:42.720]  是這樣的意念
[00:02:42.720 --> 00:02:47.200]  看到耶穌的門徒不洗手就吃東西
[00:02:47.200 --> 00:02:48.840]  就挑戰耶穌
[00:02:48.840 --> 00:02:51.240]  為什麼你的門徒是這樣的
[00:02:51.240 --> 00:02:53.400]  因為耶穌一路出來都教導人們
[00:02:53.400 --> 00:02:55.560]  應該要怎樣行神的道
[00:02:55.560 --> 00:02:57.120]  神的說話是怎樣解釋
[00:02:57.120 --> 00:02:58.400]  你們要怎樣遵循
[00:02:58.400 --> 00:03:00.520]  怎樣的行為才是正確
[00:03:00.520 --> 00:03:03.840]  一路都是朝這個方向來教導人們
[00:03:03.840 --> 00:03:07.160]  嘩!你的門徒跟你的不洗手
[00:03:07.160 --> 00:03:09.160]  用濁手就吃東西
