
[00:00:00.000 --> 00:00:02.000]  「大興姐妹」早安
[00:00:02.000 --> 00:00:06.000]  記得幾年前
[00:00:06.000 --> 00:00:08.000]  是一間教會實習
[00:00:08.000 --> 00:00:10.840]  我和一個傳道人帶著
[00:00:10.840 --> 00:00:13.580]  一群「大興姐妹」去台灣短算
[00:00:13.580 --> 00:00:16.340]  其中一站我們就去這裡
[00:00:16.340 --> 00:00:18.340]  去一些Food Court就跟
[00:00:18.340 --> 00:00:20.340]  那些人聊天報導
[00:00:20.340 --> 00:00:22.340]  我們就幾個人
[00:00:22.340 --> 00:00:24.340]  一組三四個人一組
[00:00:24.340 --> 00:00:25.340]  我們想著
[00:00:25.340 --> 00:00:26.340]  有一條橋
[00:00:26.340 --> 00:00:27.840]  不過這條是屎橋來的
[00:00:27.840 --> 00:00:29.840]  我們就拿著
[00:00:29.840 --> 00:00:31.840]  大家看到
[00:00:31.840 --> 00:00:33.840]  我左上角的
[00:00:33.840 --> 00:00:35.840]  這條鑰匙其實是
[00:00:35.840 --> 00:00:37.840]  五色珠
[00:00:37.840 --> 00:00:39.840]  代表著不同的
[00:00:39.840 --> 00:00:41.840]  救恩的狀態
[00:00:41.840 --> 00:00:43.840]  如果大家有用過五色珠應該會知道
[00:00:43.840 --> 00:00:44.840]  去報導
[00:00:44.840 --> 00:00:46.840]  我們就是這樣的
[00:00:46.840 --> 00:00:47.840]  拿著鑰匙
[00:00:47.840 --> 00:00:49.840]  掉在地上
[00:00:49.840 --> 00:00:51.840]  踢過去
[00:00:51.840 --> 00:00:53.840]  我們想著
[00:00:53.840 --> 00:00:55.840]  來幫我維持這條鑰匙
[00:00:57.840 --> 00:00:59.840]  做一些動作
[00:00:59.840 --> 00:01:00.840]  抬一下
[00:01:00.840 --> 00:01:02.840]  或者附近的年輕人應該會幫忙撿的
[00:01:02.840 --> 00:01:06.840]  我們看到一個年輕人
[00:01:06.840 --> 00:01:09.840]  很興奮地在打機
[00:01:09.840 --> 00:01:11.840]  我們就想著順理成章
[00:01:11.840 --> 00:01:13.840]  把鑰匙踢過去就說
[00:01:13.840 --> 00:01:15.840]  「年輕人」
[00:01:15.840 --> 00:01:16.840]  「我叫Ken」
[00:01:16.840 --> 00:01:20.840]  「謝謝你幫我們撿起這個鑰匙」
[00:01:20.840 --> 00:01:22.840]  「你有興趣了解一下」
[00:01:22.840 --> 00:01:24.840]  「這把鑰匙的意思嗎」
[00:01:24.840 --> 00:01:27.840]  誰知這個年輕人一點都不理我們
[00:01:27.840 --> 00:01:29.840]  我講國語已經算很標準了
[00:01:29.840 --> 00:01:32.840]  他一點都不理我們
[00:01:32.840 --> 00:01:34.840]  不斷地在打機
[00:01:34.840 --> 00:01:36.840]  我猜新的世代都可能是這樣
[00:01:36.840 --> 00:01:39.840]  接著我們就
[00:01:39.840 --> 00:01:40.840]  很尷尬
[00:01:40.840 --> 00:01:42.840]  你知道我們踢了一條鑰匙出去
[00:01:42.840 --> 00:01:43.840]  怎麼辦呢
[00:01:43.840 --> 00:01:44.840]  我們唯有
[00:01:44.840 --> 00:01:46.840]  用點地氣走下台
[00:01:46.840 --> 00:01:48.840]  撿起這條鑰匙
[00:01:48.840 --> 00:01:50.840]  接著我們就
[00:01:50.840 --> 00:01:52.840]  眼眯愁眯
[00:01:52.840 --> 00:01:54.840]  看看隔壁有沒有其他人
[00:01:54.840 --> 00:01:55.840]  有沒有其他目標
[00:01:55.840 --> 00:01:57.840]  我們就看到
[00:01:57.840 --> 00:01:59.840]  這個
[00:01:59.840 --> 00:02:01.840]  這是AI圖
[00:02:01.840 --> 00:02:03.840]  有一個
[00:02:03.840 --> 00:02:07.840]  滿身大汗
[00:02:07.840 --> 00:02:08.840]  滿身都是汗
[00:02:08.840 --> 00:02:10.840]  不斷地自言自語
[00:02:10.840 --> 00:02:12.840]  在爆粗
[00:02:12.840 --> 00:02:14.840]  我們就
[00:02:14.840 --> 00:02:15.840]  你眼睛看著我
[00:02:15.840 --> 00:02:16.840]  我就看著
[00:02:16.840 --> 00:02:18.840]  去吧
[00:02:18.840 --> 00:02:19.840]  去去去
[00:02:20.840 --> 00:02:22.840]  大家都覺得
[00:02:22.840 --> 00:02:24.840]  這個男士
[00:02:24.840 --> 00:02:26.840]  有點難接觸
[00:02:26.840 --> 00:02:28.840]  表面上他很粗獷
[00:02:28.840 --> 00:02:31.840]  很unapproachable
[00:02:31.840 --> 00:02:33.840]  都令我們覺得
[00:02:33.840 --> 00:02:35.840]  我們跟這個男士當中
