
[00:00:00.000 --> 00:00:01.080]  各位朋友,早晨
[00:00:01.080 --> 00:00:05.080]  開車的時候也是用一個問題問大家
[00:00:05.080 --> 00:00:07.960]  你有沒有說過要我傳遞一些東西給別人?
[00:00:07.960 --> 00:00:10.160]  或者接受別人傳遞一些東西給你?
[00:00:10.160 --> 00:00:15.640]  問題是,當你傳遞的時候,你需要些什麼?
[00:00:15.640 --> 00:00:16.680]  來想一想
[00:00:16.680 --> 00:00:20.160]  想一想你現在需要傳遞一些東西給別人,你需要些什麼?
[00:00:20.160 --> 00:00:26.760]  我不知道你見到這張照片,一手交些錢給另一個人的時候
[00:00:26.760 --> 00:00:30.760]  傳遞錢也要交錢,有人傳單給你找數,你就要交錢給他
[00:00:30.760 --> 00:00:33.240]  一手交錢,一手交貨
[00:00:33.240 --> 00:00:36.240]  傳遞金錢的時候,有一個效果
[00:00:36.240 --> 00:00:37.920]  傳了錢之後,那些錢會去哪裡?
[00:00:37.920 --> 00:00:42.120]  代代平安,是吧?會不會再把錢傳給別人?
[00:00:42.120 --> 00:00:44.840]  通常都不會,有錢過手,會怎樣?
[00:00:44.840 --> 00:00:50.480]  傳遞是需要有些什麼?
[00:00:50.480 --> 00:00:56.320]  傳遞的兩個人,或者兩方,是需要有合作
[00:00:57.200 --> 00:00:58.920]  要快而準確
[00:00:58.920 --> 00:01:01.800]  意思是,一個人傳遞給另一個人,兩個人要合作,是吧?
[00:01:01.800 --> 00:01:03.560]  如果你不合作,傳不傳得到?
[00:01:03.560 --> 00:01:06.240]  你遞給他的,交來交去都交不到,要合作
[00:01:06.240 --> 00:01:12.160]  又要快而準確,特別是用一個接力賽的圖畫來表達這個意思
[00:01:12.160 --> 00:01:18.400]  就是說,當你要把接力棒交給下一個人的時候
[00:01:18.400 --> 00:01:22.760]  是要彼此合作,快而準確
[00:01:22.760 --> 00:01:25.160]  還要在指定的區域裡面來傳遞,是吧?
