
[00:00:00.000 --> 00:00:01.900]  各位電影姊妹早晨
[00:00:01.900 --> 00:00:03.760]  平安嗎?
[00:00:03.760 --> 00:00:05.420]  感謝主
[00:00:05.420 --> 00:00:08.420]  今天和大家繼續看我們
[00:00:08.420 --> 00:00:10.080]  與虎奇的主題
[00:00:10.080 --> 00:00:12.900]  今天是與虎奇第二個的主日
[00:00:12.900 --> 00:00:15.160]  上一個禮拜我們
[00:00:15.160 --> 00:00:18.320]  看說我們是天父名下的子民
[00:00:18.320 --> 00:00:21.340]  不知道在過去六天裡
[00:00:21.340 --> 00:00:24.400]  你和天父靈修裡有什麼經歷
[00:00:24.400 --> 00:00:27.240]  今天我們再看看第二個禮拜的主題
[00:00:27.240 --> 00:00:29.180]  是謙卑自己
[00:00:29.420 --> 00:00:32.240]  如果你記得我們上個禮拜分享的題目
[00:00:32.240 --> 00:00:34.820]  是天父名下的子民
[00:00:34.820 --> 00:00:36.700]  我們的經文是
[00:00:36.700 --> 00:00:38.140]  我稱為名下
[00:00:38.140 --> 00:00:39.680]  者稱為我名下的子民
[00:00:39.680 --> 00:00:42.980]  若是自卑、禱告、尋求我的面
[00:00:42.980 --> 00:00:44.440]  轉來他們的惡行
[00:00:44.440 --> 00:00:46.440]  我必從天上垂聽
[00:00:46.440 --> 00:00:48.220]  赦免他們的罪
[00:00:48.220 --> 00:00:50.360]  醫治他們的地
[00:00:50.360 --> 00:00:52.200]  所以其實這六個禮拜裡
[00:00:52.200 --> 00:00:54.340]  我們都會圍繞著這一節的經文
[00:00:54.340 --> 00:00:55.380]  去看看
[00:00:55.380 --> 00:00:57.580]  上個禮拜看我名下的子民
[00:00:57.580 --> 00:01:00.680]  這個禮拜是看謙卑自己
[00:01:00.680 --> 00:01:02.680]  讓我們去到神面前
[00:01:02.680 --> 00:01:06.000]  怎樣能夠真真正正的謙卑自己
[00:01:06.000 --> 00:01:08.000]  由聖靈去帶領我們一起
[00:01:08.000 --> 00:01:11.460]  聽道之前一起去祈禱
[00:01:11.460 --> 00:01:17.680]  真愛天父求祢
