
[00:00:00.000 --> 00:00:03.000]  兩位弟兄姊妹平安
[00:00:03.000 --> 00:00:09.000]  看到卓榮覺得天作之合
[00:00:09.000 --> 00:00:13.000]  和我今天講的題目非常吻合
[00:00:13.000 --> 00:00:16.000]  一個女人仔
[00:00:16.000 --> 00:00:19.000]  應該剛才他都這樣形容
[00:00:19.000 --> 00:00:24.000]  在座很多朋友都比他好像巨大
[00:00:24.000 --> 00:00:26.000]  他看到自己微小
[00:00:26.000 --> 00:00:31.000]  大家同不同意這個小女子
[00:00:31.000 --> 00:00:33.000]  都很有威力
[00:00:33.000 --> 00:00:36.000]  她要建立基督的身體
[00:00:36.000 --> 00:00:39.000]  跑到愛爾蘭
[00:00:39.000 --> 00:00:45.000]  今天我和大家分享這個題目
[00:00:45.000 --> 00:00:48.000]  弱點的力量
[00:00:48.000 --> 00:00:53.000]  大家不妨用自己的預警
[00:00:53.000 --> 00:00:56.000]  弱點或者微小
[00:00:56.000 --> 00:01:02.000]  又或者聖經保羅都提到誇軟弱
[00:01:02.000 --> 00:01:07.000]  剛才卓榮都道出了我的心情
[00:01:07.000 --> 00:01:12.000]  有時你不要看我們這些人
[00:01:12.000 --> 00:01:15.000]  每天都好像要改變世界
[00:01:15.000 --> 00:01:18.000]  大言不慚
[00:01:18.000 --> 00:01:21.000]  其實都是心慌慌的
[00:01:21.000 --> 00:01:25.000]  尤其最近在香港社會
[00:01:25.000 --> 00:01:29.000]  其實經濟我的板塊挑戰都很大
[00:01:29.000 --> 00:01:33.000]  所以最近我都開始和同事講
[00:01:33.000 --> 00:01:36.000]  我說其實我是沒有辦法的
[00:01:36.000 --> 00:01:39.000]  其實內心都很多恐懼
[00:01:39.000 --> 00:01:43.000]  因為未經歷過這麼多的挑戰
[00:01:43.000 --> 00:01:46.000]  於是有同事這麼窩心的跟我說
[00:01:46.000 --> 00:01:48.000]  不是看著她
[00:01:48.000 --> 00:01:51.000]  同事跟我說怕一起怕
[00:01:51.000 --> 00:01:54.000]  你會發現其實
[00:01:54.000 --> 00:01:57.000]  如果我們講我們每一個人
[00:01:57.000 --> 00:01:59.000]  就算你覺得自己多麼偉大
[00:01:59.000 --> 00:02:04.000]  但其實你都有心慌慌弱點那一刻
[00:02:04.000 --> 00:02:09.000]  大家如果未看《九龍城寨》
[00:02:09.000 --> 00:02:11.000]  不一定要看的
[00:02:11.000 --> 00:02:12.000]  不過我看了
[00:02:12.000 --> 00:02:14.000]  我入場看的時候
[00:02:14.000 --> 00:02:16.000]  我和我老婆說
