
[00:00:00.000 --> 00:00:05.680]  弟兄姊妹平安 我們先開始一起祈禱
[00:00:05.680 --> 00:00:08.060]  親愛的天父 我們感謝祢的恩典
[00:00:08.060 --> 00:00:12.560]  讓我們在主日的清晨可以在這裡一同聚集敬拜
[00:00:12.560 --> 00:00:17.760]  我們見不到現在疫情仍然是嚴重的
[00:00:17.760 --> 00:00:22.640]  但是我們已經可以恢復實體敬拜 我們感謝祢
[00:00:22.640 --> 00:00:25.600]  求祢的聖靈在我們當中帶領我們
[00:00:25.600 --> 00:00:29.300]  幫助我們在祢的裏面可以坦然無懼
[00:00:29.300 --> 00:00:32.320]  一同聆聽聖靈的聲音
[00:00:32.320 --> 00:00:35.840]  幫助我們可以與主建立親密的關係
[00:00:35.840 --> 00:00:39.440]  奉主耶穌基督的名 祈禱 阿們
[00:00:39.440 --> 00:00:45.780]  我相信現在由於新冠病毒引起的疫情
[00:00:45.780 --> 00:00:50.120]  是一個熱門的話題 每晚新聞都有報導
[00:00:50.120 --> 00:00:52.240]  不單止報導本地的情況
[00:00:52.240 --> 00:00:55.960]  也報導了一些中招人數多的地方
[00:00:55.960 --> 00:00:58.800]  前一段時間是意大利、西班牙
[00:00:58.800 --> 00:01:01.560]  現在是美國和巴西
[00:01:01.560 --> 00:01:06.680]  上個星期是維省 維省要發居家令
[00:01:06.680 --> 00:01:10.780]  紐省就要採取行動 封鎖邊界
[00:01:10.780 --> 00:01:16.140]  不准維省的人隨便進入紐省
[00:01:16.140 --> 00:01:19.960]  我們對瘟疫有什麼看法呢?
[00:01:19.960 --> 00:01:27.320]  有些人會想 瘟疫是不是上帝對人類的懲罰呢?
[00:01:27.320 --> 00:01:30.720]  聖經不是說上帝愛世人的嗎?
[00:01:30.720 --> 00:01:35.900]  為什麼會有這麼可怕的瘟疫發生呢?
[00:01:35.900 --> 00:01:40.060]  我想先指出 在舊約聖經當中
[00:01:40.060 --> 00:01:47.920]  我們的確可以看見上帝是使用瘟疫去懲罰人的
[00:01:47.920 --> 00:01:51.040]  在《出拉及記》九章三節
[00:01:51.040 --> 00:01:55.240]  上帝藉著摩西向法老王宣告說
[00:01:55.240 --> 00:01:59.120]  我要降一個可怕的災難來懲罰你
[00:01:59.120 --> 00:02:05.440]  你所有的生畜都要遭受嚴重的瘟疫
[00:02:05.440 --> 00:02:09.840]  由於法老王固執 不肯放以色列人走
[00:02:09.840 --> 00:02:15.300]  結果上帝就降瘟疫懲罰法老王
[00:02:15.300 --> 00:02:20.460]  上帝也曾經用瘟疫懲罰以色列人
[00:02:20.460 --> 00:02:27.440]  他們雖然是上帝的子民 也同樣被上帝用瘟疫懲罰
[00:02:27.440 --> 00:02:31.300]  在《文素記》十六章記載了一件事
[00:02:31.300 --> 00:02:34.540]  我讀一節經文 十六章四十六節說
[00:02:34.540 --> 00:02:38.000]  摩西對亞倫說 你的香爐來
[00:02:38.000 --> 00:02:40.900]  把祭壇上的炭火放在裏面
[00:02:40.900 --> 00:02:43.200]  再放一些香在炭火上
[00:02:43.200 --> 00:02:47.480]  趕快帶到人民那裏 為他們行結盛禮
[00:02:47.480 --> 00:02:50.700]  趕快去 上主的怒氣已經發作
[00:02:50.700 --> 00:02:55.660]  瘟疫開始蔓延了
[00:02:55.660 --> 00:02:58.440]  上帝也曾經警告以色列人
[00:02:58.440 --> 00:03:02.500]  假如他們違背誓言 離棄上主
[00:03:02.500 --> 00:03:06.400]  上主是會使用瘟疫懲罰他們的
[00:03:06.400 --> 00:03:09.440]  在《新命紀》二十八章二十一節說
