
[00:00:00.000 --> 00:00:02.720]  今天和大家分享的焦點
[00:00:02.720 --> 00:00:05.960]  或者那個訊息的焦點
[00:00:05.960 --> 00:00:07.520]  是和壓力有關的
[00:00:07.520 --> 00:00:08.640]  因為這段經文
[00:00:08.640 --> 00:00:10.200]  今天輪到的那段經文
[00:00:10.200 --> 00:00:14.200]  都是和這個主題有相關性
[00:00:14.200 --> 00:00:15.520]  我不知道你同不同意
[00:00:15.520 --> 00:00:18.360]  人生是有壓力的
[00:00:18.360 --> 00:00:20.640]  無論你是什麼年紀也好
[00:00:20.640 --> 00:00:22.120]  無論你是學生
[00:00:22.120 --> 00:00:24.120]  無論你是在職人士
[00:00:24.120 --> 00:00:26.320]  無論你是家裡的父親
[00:00:26.320 --> 00:00:27.880]  你是家庭主婦
[00:00:27.880 --> 00:00:30.520]  甚至你是祖父祖母
[00:00:30.520 --> 00:00:36.120]  人生都會有不同時候遇到壓力
[00:00:36.120 --> 00:00:41.120]  有些壓力是來自家庭
[00:00:41.120 --> 00:00:42.640]  有些壓力是來自工作
[00:00:42.640 --> 00:00:45.680]  經濟 學業 人際關係
[00:00:45.680 --> 00:00:51.120]  感情等等 時風都會有的
[00:00:51.120 --> 00:00:56.640]  其實如果我們說壓力是人難所避免的
[00:00:56.640 --> 00:00:58.760]  我覺得一個重要的問題就是
[00:00:58.760 --> 00:01:00.480]  一個有信仰的人
[00:01:00.480 --> 00:01:01.720]  有耶穌同行的人
[00:01:01.720 --> 00:01:03.480]  剛剛我唱開這句話
[00:01:03.480 --> 00:01:05.160]  和一個沒有信仰的人
[00:01:05.160 --> 00:01:09.840]  差別在哪裡呢
[00:01:09.840 --> 00:01:11.760]  特別當壓力的出現
[00:01:11.760 --> 00:01:14.880]  往往都是因為可能時間很緊迫
[00:01:14.880 --> 00:01:17.200]  可能我們沒有把握
[00:01:17.200 --> 00:01:19.840]  或者我們覺得資源不足夠
[00:01:19.840 --> 00:01:21.920]  我們很難控制某些場面
[00:01:21.920 --> 00:01:23.680]  或者面對一些衝突
[00:01:23.680 --> 00:01:28.080]  往往都會帶來壓力
[00:01:28.080 --> 00:01:32.320]  所以面對今天社會的現況
[00:01:32.320 --> 00:01:33.880]  我不知道你有沒有壓力
