
[00:00:00.000 --> 00:00:02.600]  各位兄姊妹 大家平安
[00:00:02.600 --> 00:00:07.400]  又是《生命樹宣教》網絡愛靈修的時候了
[00:00:07.400 --> 00:00:11.000]  鼓勵你敬拜 讀經 禱告 默想
[00:00:11.000 --> 00:00:15.600]  為主而活 傳道宣教 拓展天國
[00:00:15.600 --> 00:00:19.600]  不要忽略 不要忘記 等候主耶穌再來
[00:00:19.600 --> 00:00:26.000]  祂真的很快就會再來審判世界
[00:00:26.000 --> 00:00:30.800]  在《2025年裕福期靈修》40篇裏面
[00:00:30.800 --> 00:00:34.600]  主吩咐我用「我主我神」做一個題目
[00:00:34.600 --> 00:00:36.000]  於是我就用這個題目
[00:00:36.000 --> 00:00:39.400]  由40個角度來看主耶穌
[00:00:39.400 --> 00:00:41.400]  今天來到第18日
[00:00:41.400 --> 00:00:46.200]  主耶穌第一段我們講耶穌你是誰
[00:00:46.200 --> 00:00:50.600]  第二段就講主耶穌祂生平的經歷
[00:00:50.600 --> 00:00:59.200]  有些什麼大事 受洗等等 受試探 行神蹟
[00:00:59.200 --> 00:01:03.200]  第三個主耶穌生平大事我會選擇
[00:01:03.200 --> 00:01:07.800]  亦都是臨近裕福期 臨近壽苦節
[00:01:07.800 --> 00:01:13.000]  我選擇了聖週 或者叫壽難週 或者叫Holy Week
[00:01:13.000 --> 00:01:20.400]  第二講是趕出電壘的買賣
[00:01:20.400 --> 00:01:26.200]  俗稱一般叫「潔淨聖殿」
[00:01:26.200 --> 00:01:28.600]  我都可以用這個名字
[00:01:28.600 --> 00:01:30.800]  不過我再看一些字
[00:01:30.800 --> 00:01:34.000]  主耶穌是「趕出電壘的買賣」
[00:01:34.000 --> 00:01:39.800]  是正式的字來的 我們禱告
[00:01:39.800 --> 00:01:42.200]  主耶穌在讀這兩段
[00:01:42.200 --> 00:01:47.600]  你趕出聖殿裏面做買賣的人的經文
[00:01:47.600 --> 00:01:50.400]  求聖靈親自幫助
[00:01:50.400 --> 00:01:54.400]  幫助我們有不同的仕途的記載裏面
[00:01:54.400 --> 00:01:57.200]  更清楚你的心意
[00:01:57.200 --> 00:02:01.000]  主你講你的殿是一個禱告的殿
[00:02:01.000 --> 00:02:04.800]  不要把它變成一個做買賣的地方
[00:02:04.800 --> 00:02:08.200]  不要把它變成一個賊窩
[00:02:08.200 --> 00:02:10.200]  讚美我們的主
