
[00:00:00.000 --> 00:00:02.000]  帶領我們,讓我們開啓我們的心
[00:00:02.000 --> 00:00:06.000]  讓我們有一個聆聽的耳朵
[00:00:06.000 --> 00:00:08.000]  我們去聽你的說話
[00:00:08.000 --> 00:00:10.000]  去明白你的說話
[00:00:10.000 --> 00:00:11.000]  求主,你幫助我們
[00:00:11.000 --> 00:00:12.000]  聽我們祈禱
[00:00:12.000 --> 00:00:14.000]  是奉耶穌的名字而求
[00:00:14.000 --> 00:00:15.000]  阿們
[00:00:15.000 --> 00:00:17.000]  不知道各位家長
[00:00:17.000 --> 00:00:21.000]  是不是已經收到
[00:00:21.000 --> 00:00:26.000]  今個學期的訊息
[00:00:26.000 --> 00:00:30.000]  是不是已經收到
[00:00:30.000 --> 00:00:33.000]  今個學年的時間表
[00:00:33.000 --> 00:00:35.000]  剛剛這一年
[00:00:35.000 --> 00:00:38.000]  二四至二五年的上學時間表
[00:00:38.000 --> 00:00:40.000]  你看到這個時間表
[00:00:40.000 --> 00:00:43.000]  不知道你有什麼感覺
[00:00:43.000 --> 00:00:45.000]  都很令人興奮
[00:00:45.000 --> 00:00:48.000]  因為原來讀書都偶爾有假期
[00:00:48.000 --> 00:00:49.000]  偶爾有假期
[00:00:49.000 --> 00:00:51.000]  這裡有很多假期
[00:00:51.000 --> 00:00:54.000]  都令人可以休息一下
[00:00:54.000 --> 00:00:55.000]  其中一個特別
[00:00:55.000 --> 00:00:57.000]  我自己一邊看這個時間表的時候
[00:00:57.000 --> 00:00:58.000]  最特別的地方就是
[00:00:58.000 --> 00:01:02.000]  原來六月初已經放暑假
[00:01:02.000 --> 00:01:03.000]  我從來沒有想過
[00:01:03.000 --> 00:01:05.000]  六月初已經可以放暑假
[00:01:05.000 --> 00:01:07.000]  放暑假代表什麼呢
[00:01:07.000 --> 00:01:09.000]  又要計劃一下行程
[00:01:09.000 --> 00:01:10.000]  就好像計劃一下
[00:01:10.000 --> 00:01:13.000]  怎樣去過兩個月的暑假
[00:01:13.000 --> 00:01:15.000]  要想一下什麼安排
[00:01:15.000 --> 00:01:18.000]  當然通常就想起去旅行
[00:01:18.000 --> 00:01:20.000]  不知道大家
[00:01:20.000 --> 00:01:21.000]  想起旅行
[00:01:21.000 --> 00:01:25.000]  想起最喜歡最想去的國家
[00:01:25.000 --> 00:01:26.000]  會在哪裡呢
[00:01:26.000 --> 00:01:28.000]  昨天都問了一些弟兄姊妹
[00:01:28.000 --> 00:01:30.000]  都有不同的取向
[00:01:30.000 --> 00:01:32.000]  有些選擇歐洲的地方
[00:01:32.000 --> 00:01:34.000]  有些選擇亞洲的地方
[00:01:34.000 --> 00:01:37.000]  也有選擇美洲的地方
[00:01:37.000 --> 00:01:40.000]  不知道在這麼多的國家裡面
[00:01:40.000 --> 00:01:45.000]  你知道在這麼多的國家裡面
[00:01:45.000 --> 00:01:50.000]  全球最佳的旅遊國家是哪一個嗎
[00:01:50.000 --> 00:01:52.000]  全球最佳的旅遊國家
[00:01:52.000 --> 00:01:55.000]  當你說在哪裡玩的時候
[00:01:55.000 --> 00:01:57.000]  知道是哪一個國家嗎
[00:01:57.000 --> 00:01:58.000]  瑞士
[00:01:58.000 --> 00:02:00.000]  這個人很想去瑞士的
[00:02:00.000 --> 00:02:02.000]  日本
[00:02:02.000 --> 00:02:06.000]  還有什麼地方
[00:02:06.000 --> 00:02:07.000]  意大利
[00:02:07.000 --> 00:02:09.000]  意大利就是歐洲的地方
[00:02:09.000 --> 00:02:10.000]  我揭曉一下
[00:02:10.000 --> 00:02:13.000]  根據世界經濟論壇裡面
[00:02:13.000 --> 00:02:16.000]  公佈了2024年
[00:02:16.000 --> 00:02:19.000]  全球最佳的旅遊國家
[00:02:19.000 --> 00:02:21.000]  就是這幾個
[00:02:21.000 --> 00:02:24.000]  排第一的就是美國
[00:02:24.000 --> 00:02:28.000]  所以你身在福中不知福
