
[00:00:00.000 --> 00:00:03.900]  對我們店中的還有我們線上的弟兄姐妹
[00:00:03.900 --> 00:00:05.640]  平安早安
[00:00:05.640 --> 00:00:08.880]  今年呢
[00:00:08.880 --> 00:00:11.400]  這個疫情一開始的時候呢
[00:00:11.400 --> 00:00:18.960]  我們就傳就聽到說那個很有個很著名的演員湯漢湯漢跟他的太太瑞塔
[00:00:18.960 --> 00:00:23.520]  他們兩個在澳洲就被傳染上了新冠狀病毒
[00:00:23.520 --> 00:00:24.680]  那結果呢
[00:00:24.680 --> 00:00:29.720]  九月他們在他們在澳洲拍戲的時候傳染了新冠狀病毒
[00:00:29.720 --> 00:00:31.160]  所以到九月份的時候呢
[00:00:31.160 --> 00:00:33.560]  他們演的那齣電影呢
[00:00:33.560 --> 00:00:34.720]  就可以看得到了
[00:00:34.720 --> 00:00:36.840]  拿那個那個電影的名字叫Grenthal
[00:00:36.840 --> 00:00:41.680]  Grenthal翻譯成Grenthal翻譯成中文
[00:00:41.680 --> 00:00:44.480]  就是灰狗巴士那個灰狗的意思
[00:00:44.480 --> 00:00:47.160]  那那個這個電影的大概的內容呢
[00:00:47.160 --> 00:00:49.880]  是在講第二次世界大戰初期的時候
[00:00:49.880 --> 00:00:51.840]  在一九四二年的時候呢
[00:00:51.840 --> 00:00:59.760]  有一支有由聯軍差不多三十七個的聯軍組成的一個艦隊
[00:00:59.760 --> 00:01:03.160]  他們就在大西洋的那個地方防衛
[00:01:03.160 --> 00:01:04.320]  那其中呢
[00:01:04.320 --> 00:01:06.160]  有一艘美國的艦隊
[00:01:06.160 --> 00:01:07.080]  美國的艦隊
[00:01:07.080 --> 00:01:12.120]  的艦長叫做Ernest Cosa
[00:01:12.120 --> 00:01:15.040]  那他率領了一支美國的艦隊
[00:01:15.040 --> 00:01:17.720]  那就要從從美國
[00:01:17.720 --> 00:01:21.120]  那要跨過大西洋到英國的利物浦去
[00:01:21.120 --> 00:01:23.960]  那在這個那一場戰爭呢
[00:01:23.960 --> 00:01:26.560]  那那個時候是戰火連連
[00:01:26.560 --> 00:01:29.160]  而且是很緊張的一部戰爭片
[00:01:29.160 --> 00:01:32.200]  他那部片子是一部戰爭片
[00:01:32.200 --> 00:01:34.640]  那最最吸引我的
[00:01:34.640 --> 00:01:36.560]  在那個電影裏面最深深吸引我的
[00:01:36.560 --> 00:01:40.800]  是一部好萊塢拍的電影
[00:01:40.800 --> 00:01:43.360]  一開始片子一開始的時候
[00:01:43.360 --> 00:01:44.880]  我們就看到那個艦長
[00:01:44.880 --> 00:01:46.280]  他是跪在地上
[00:01:46.280 --> 00:01:53.040]  跪在地上他求求主讓天使來與他同在
[00:01:53.040 --> 00:01:57.560]  保護他不受到邪惡的仇敵的擺佈
[00:01:57.560 --> 00:02:04.040]  那這是一部第二次世界大戰中的一個電影
[00:02:04.040 --> 00:02:07.640]  那美國的這個電影是演這個護航艦
[00:02:07.640 --> 00:02:12.720]  他要保護那個商船經過大西洋到要去的地方去
[00:02:12.720 --> 00:02:20.120]  那這個克拉薩呢他是被任命帶領那個他的這個美國的艦艇來過大西洋
[00:02:20.120 --> 00:02:25.120]  那那一場戰爭克拉薩面對的那一場戰爭是有史以來
[00:02:25.120 --> 00:02:29.000]  最長最大也最複雜的戰役
[00:02:29.000 --> 00:02:30.360]  而且在那個戰役中
[00:02:30.360 --> 00:02:34.080]  他的船他的艦隊就被這個
[00:02:34.080 --> 00:02:38.160]  這個德國的軍隊一個優質艇一直不停的追趕他
[00:02:38.160 --> 00:02:43.280]  所以整個過程是非常的辛苦的很緊張的
[00:02:43.280 --> 00:02:46.600]  但是那個克拉薩就一直都站立在那裏
[00:02:46.600 --> 00:02:54.120]  而且在那個電影裏面好幾個場景裏面看到克拉薩他會泄發禱告
[00:02:54.120 --> 00:02:58.080]  然後在最緊張的時候他在裏面就默默的向主禱告呼求
[00:02:58.080 --> 00:03:05.920]  而且那一場戰役是克拉薩他第一次擔任美國戰艦的艦長
[00:03:05.920 --> 00:03:08.960]  那所以呢他這樣一經過這場戰役之後
[00:03:08.960 --> 00:03:12.240]  哇他就在國際中揚名了
[00:03:12.240 --> 00:03:13.520]  大家就很知道
