
[00:00:00.000 --> 00:00:02.760]  希望這首歌都成為我們一個提醒
[00:00:02.760 --> 00:00:04.320]  英文就是 "How can it be"
[00:00:04.320 --> 00:00:05.840]  怎麼可能是這樣呢?
[00:00:05.840 --> 00:00:07.160]  怎能如此?
[00:00:07.160 --> 00:00:11.720]  有時候我們太容易經歷到神的愛
[00:00:11.720 --> 00:00:13.760]  甚至以為這是必然的
[00:00:13.760 --> 00:00:18.480]  所以我們會先來看聖靈果子的第一個特質
[00:00:18.480 --> 00:00:19.840]  在《迦勒太書》裡面
[00:00:19.840 --> 00:00:21.280]  就是人愛
[00:00:21.280 --> 00:00:22.320]  神是愛
[00:00:22.320 --> 00:00:23.240]  我們很熟悉
[00:00:23.240 --> 00:00:25.600]  但是很多時候我們有誤解
[00:00:25.600 --> 00:00:29.560]  為什麼人愛是聖靈的果子呢?
[00:00:29.560 --> 00:00:32.640]  原來《羅馬書》第五章第五節裡面
[00:00:32.640 --> 00:00:36.320]  是很清楚地解釋了這個原因
[00:00:36.320 --> 00:00:38.640]  它說 "盼望不至於羞恥
[00:00:38.640 --> 00:00:40.920]  因為所賜給我們的聖靈
[00:00:40.920 --> 00:00:44.280]  將神的愛囂灌在我們的心裡面"
[00:00:44.280 --> 00:00:45.560]  今天
[00:00:45.560 --> 00:00:46.520]  幾個圖案
[00:00:46.520 --> 00:00:48.480]  你會想到聖靈有什麼工作呢?
[00:00:48.480 --> 00:00:51.440]  聖靈就會給我們有力量去釋放
[00:00:51.440 --> 00:00:52.720]  有不同的恩賜
[00:00:52.720 --> 00:00:55.160]  甚至有時候我們會去追求一些
[00:00:55.160 --> 00:00:57.560]  很不尋常、很突發的事情
[00:00:57.560 --> 00:01:01.480]  忘記了原來聖靈
[00:01:01.480 --> 00:01:04.480]  是將神的愛囂灌在我們身上
[00:01:04.480 --> 00:01:08.760]  這個囂灌是很有意思的
[00:01:08.760 --> 00:01:11.360]  大家很熟悉
[00:01:11.360 --> 00:01:13.960]  哥林多前書第十三章
[00:01:13.960 --> 00:01:14.720]  是什麼?
[00:01:14.720 --> 00:01:17.000]  是愛的一篇
[00:01:17.000 --> 00:01:18.320]  就是講到
[00:01:18.320 --> 00:01:19.840]  我們凡事要相信
[00:01:19.840 --> 00:01:20.920]  凡事要忍耐
[00:01:20.920 --> 00:01:22.960]  愛是永不止息
[00:01:22.960 --> 00:01:25.640]  但是我們忽略了前文後理
[00:01:25.640 --> 00:01:27.400]  請你記住
[00:01:27.400 --> 00:01:30.280]  原來聖經的章節是後期分的
[00:01:30.280 --> 00:01:32.520]  大家看看這張圖案
[00:01:32.520 --> 00:01:36.440]  我特意將和合本聖經拍出來給大家看
[00:01:36.440 --> 00:01:38.360]  大家如果熟悉的時候
[00:01:38.360 --> 00:01:39.680]  第十二章是講到
[00:01:39.680 --> 00:01:42.680]  聖靈是將不同的恩賜賜給人
[00:01:42.680 --> 00:01:43.960]  所以他說
[00:01:43.960 --> 00:01:45.400]  得恩賜的有醫病的
[00:01:45.400 --> 00:01:46.280]  有幫助人的
[00:01:46.280 --> 00:01:47.360]  有治理事的
[00:01:47.360 --> 00:01:48.800]  有說謊言的
[00:01:48.800 --> 00:01:52.280]  你留意到一直說著很多不同的恩賜
[00:01:52.280 --> 00:01:54.600]  神是按照祂自己的智慧
[00:01:54.600 --> 00:01:56.560]  透過聖靈來給我們
[00:01:56.560 --> 00:01:58.000]  但是留意最後一節
[00:01:58.000 --> 00:01:59.040]  第31節
[00:01:59.040 --> 00:02:02.760]  我請二汪和我讀出第12章的第31節
[00:02:02.760 --> 00:02:07.080]  你們要切切地求那更大的恩賜
[00:02:07.080 --> 00:02:10.000]  我現今把最妙的道指示你們
[00:02:10.000 --> 00:02:10.480]  好了
[00:02:10.480 --> 00:02:12.280]  但是保羅提醒我們
[00:02:12.280 --> 00:02:15.120]  他說我們都需要追求一些的恩賜
[00:02:15.120 --> 00:02:17.000]  而最大的恩賜是什麼呢?
[00:02:17.000 --> 00:02:18.560]  原來不是去講道
[00:02:18.560 --> 00:02:20.520]  原來不是去醫病
[00:02:20.520 --> 00:02:21.920]  不是去趕鬼
[00:02:21.920 --> 00:02:23.160]  不是去幫助人
[00:02:23.160 --> 00:02:24.360]  這些不是不重要
[00:02:24.360 --> 00:02:26.440]  但是他說最大的恩賜是什麼呢?
