
[00:00:00.000 --> 00:00:04.240]  我們今天會講士徒行傳第十五章
[00:00:04.240 --> 00:00:09.160]  第一至十六章的第五節
[00:00:09.160 --> 00:00:16.120]  士徒行傳十五章一至十六章五節
[00:00:16.120 --> 00:00:22.400]  讓我們一起低頭禱告
[00:00:22.400 --> 00:00:25.320]  這段聖經是比較難講的
[00:00:25.320 --> 00:00:30.760]  尤其是在第一部分是比較難講的
[00:00:30.760 --> 00:00:33.600]  不過願上帝自己親自講
[00:00:33.600 --> 00:00:36.080]  其實我只是一個器皿
[00:00:36.080 --> 00:00:40.840]  上帝自己的話語才是真正能力的出口
[00:00:40.840 --> 00:00:42.840]  好,我們低頭祈禱
[00:00:42.840 --> 00:00:46.600]  神多謝你讓我們今天有機會思想你的話語
[00:00:46.600 --> 00:00:49.000]  神多謝你留下你的話語
[00:00:49.000 --> 00:00:51.640]  讓我們在短暫的人生
[00:00:51.640 --> 00:00:54.320]  在無常變幻的人生
[00:00:54.320 --> 00:00:57.000]  好像剛才敬拜所講的
[00:00:57.000 --> 00:01:00.600]  我們都不知道前面是怎樣的時候
[00:01:00.600 --> 00:01:05.040]  我們都不知道我們有沒有明天的時候
[00:01:05.040 --> 00:01:08.760]  但是我們的人生每一刻仍然有你的話語
[00:01:08.760 --> 00:01:09.600]  多謝你
[00:01:09.600 --> 00:01:11.120]  上帝求你讓我們
[00:01:11.120 --> 00:01:15.040]  既然知道這個生命是渺小是短暫的時候
[00:01:15.040 --> 00:01:17.000]  就知道怎樣依靠你
[00:01:17.000 --> 00:01:19.680]  來作出合神心意的抉擇
[00:01:19.680 --> 00:01:21.560]  以致我們行事為人
[00:01:21.560 --> 00:01:23.080]  能夠對得起主
[00:01:23.080 --> 00:01:24.640]  能夠討你喜悅
[00:01:24.640 --> 00:01:25.800]  能夠穎臣
[00:01:25.800 --> 00:01:26.920]  能夠益人
[00:01:26.920 --> 00:01:31.080]  能夠跟我們的群體一起建立在主的面前
[00:01:31.080 --> 00:01:33.120]  多謝你聽我們的祈禱
[00:01:33.120 --> 00:01:35.760]  奉基督耶穌的名
[00:01:35.760 --> 00:01:42.280]  今天的經文是《司徒行傳》第十五章一至十六章五節
[00:01:42.280 --> 00:01:44.040]  其實來到這裡
[00:01:44.040 --> 00:01:46.040]  《司徒行傳》的經文
[00:01:46.040 --> 00:01:51.760]  已經進入到《司徒行傳》一個很重要的段落
[00:01:51.760 --> 00:01:58.120]  就是十五章三十六至十八章二十三節
[00:01:58.120 --> 00:02:02.960]  就是講到保羅第二次宣教旅程
[00:02:02.960 --> 00:02:05.400]  如果大家熟悉《司徒行傳》
[00:02:05.400 --> 00:02:11.280]  就知道十三、十四章是保羅第一次宣教旅程
[00:02:11.280 --> 00:02:14.480]  接著因為遇到一些辯論
[00:02:14.480 --> 00:02:19.200]  他們要去耶路撒冷一個會議裡面做一個裁決
[00:02:19.200 --> 00:02:23.320]  這個裁決對我們影響十分之大
[00:02:23.320 --> 00:02:25.640]  在裁決完結之後
[00:02:25.640 --> 00:02:31.480]  三十六至十八章二十三節
[00:02:31.480 --> 00:02:35.320]  就是保羅根據耶路撒冷的裁決
[00:02:35.320 --> 00:02:40.640]  把耶路撒冷教會寫給宗教會的信
[00:02:40.640 --> 00:02:43.360]  和提摩泰西拉他們
[00:02:43.360 --> 00:02:45.320]  後來加入路加
[00:02:45.320 --> 00:02:49.120]  在裡面帶出去宗教會
[00:02:49.120 --> 00:02:51.480]  是第二次的旅程
[00:02:51.480 --> 00:02:55.720]  所以十五章三十六是十分有意義的
[00:02:55.720 --> 00:02:59.320]  而我們要記住一點
[00:02:59.320 --> 00:03:02.000]  十五章其實在《司徒行傳》
[00:03:02.000 --> 00:03:04.640]  是有它獨特的重要意義的
[00:03:04.640 --> 00:03:09.640]  十五章的第一至第三十五節上次所講的
[00:03:09.640 --> 00:03:13.920]  如果你要我把十五章第一節
[00:03:13.920 --> 00:03:16.200]  到十六章的第五節
[00:03:16.200 --> 00:03:18.120]  這一大段的經文
