
[00:00:00.000 --> 00:00:02.080]  鳳子明問大號,底星姐妹平安
[00:00:02.080 --> 00:00:04.080]  鳳子問我底星姐妹平安
[00:00:04.080 --> 00:00:07.880]  大家記不記得今天是什麼日子?
[00:00:07.880 --> 00:00:09.880]  大家記不記得今天是什麼日子?
[00:00:09.880 --> 00:00:13.480]  11月22號
[00:00:13.480 --> 00:00:16.080]  1963年今天發生什麼事?
[00:00:16.080 --> 00:00:18.680]  1963年今天發生什麼事情?
[00:00:18.680 --> 00:00:20.680]  啊,很晚了
[00:00:20.680 --> 00:00:23.680]  你出生了嗎?
[00:00:30.680 --> 00:00:32.680]  其實這個是一個電影歷史
[00:00:32.680 --> 00:00:34.680]  因為美國人說
[00:00:34.680 --> 00:00:36.680]  美國人說
[00:00:36.680 --> 00:00:40.680]  每一個人都知道12月21號
[00:00:40.680 --> 00:00:42.680]  那天他在做什麼
[00:00:42.680 --> 00:00:45.680]  他要知道12月21號做什麼
[00:00:45.680 --> 00:00:46.680]  等於911
[00:00:46.680 --> 00:00:48.680]  相當於911
[00:00:48.680 --> 00:00:50.680]  發生了什麼事,你在做什麼?
[00:00:50.680 --> 00:00:52.680]  你在做什麼?
[00:00:52.680 --> 00:00:53.680]  附近是一個很大的日子
[00:00:53.680 --> 00:00:54.680]  這是一個很大的日子
[00:00:54.680 --> 00:00:57.680]  我這個人是Kennedy被殺
[00:00:58.680 --> 00:00:59.680]  Kennedy被殺
[00:00:59.680 --> 00:01:01.680]  為時46歲
[00:01:01.680 --> 00:01:02.680]  為時46歲
[00:01:02.680 --> 00:01:04.680]  52年後今天
[00:01:04.680 --> 00:01:06.680]  52年後的今天
[00:01:06.680 --> 00:01:07.680]  我有沒有算錯數?
[00:01:07.680 --> 00:01:10.680]  我有沒有算錯數?
[00:01:10.680 --> 00:01:12.680]  我也沒算錯
[00:01:12.680 --> 00:01:14.680]  如果他沒死,多少歲?
[00:01:14.680 --> 00:01:16.680]  他如果沒死,應該多少歲?
[00:01:16.680 --> 00:01:18.680]  46+52,多少?
[00:01:18.680 --> 00:01:23.680]  是啦,48
[00:01:23.680 --> 00:01:25.680]  數學很簡單
[00:01:25.680 --> 00:01:27.680]  如果他沒死,今天應該是98歲
[00:01:29.680 --> 00:01:31.680]  為什麼一個在位的君王
[00:01:31.680 --> 00:01:33.680]  這麼早就去世了?
[00:01:33.680 --> 00:01:37.680]  為什麼在位的君王這麼早就去世了?
[00:01:37.680 --> 00:01:39.680]  他好與壞
[00:01:39.680 --> 00:01:42.680]  死了50年,應該可以改觀定論
[00:01:42.680 --> 00:01:43.680]  他已經死了50年
[00:01:43.680 --> 00:01:45.680]  應該可以改觀定論的嗎?
[00:01:45.680 --> 00:01:48.680]  他是第一個天主教徒
[00:01:48.680 --> 00:01:50.680]  做美國總統的
[00:01:50.680 --> 00:01:53.680]  他是第一個天主教徒做美國總統的
[00:01:53.680 --> 00:01:54.680]  因為美國從來以來
[00:01:54.680 --> 00:01:56.680]  不是基督教的人
[00:01:56.680 --> 00:01:58.680]  做不了總統的
[00:01:58.680 --> 00:02:00.680]  因為在美國不是基督教的人
[00:02:00.680 --> 00:02:01.680]  他好多個第一
[00:02:01.680 --> 00:02:02.680]  他好多個第一
[00:02:02.680 --> 00:02:03.680]  他也是第一個
[00:02:03.680 --> 00:02:06.680]  在學校裡面每天念主禱文
[00:02:06.680 --> 00:02:10.680]  這個規則廢除
[00:02:10.680 --> 00:02:12.680]  他也是第一個
[00:02:12.680 --> 00:02:15.680]  每天早上要念主禱文的總統
[00:02:15.680 --> 00:02:17.680]  將其廢除
[00:02:17.680 --> 00:02:20.680]  這個第一很重要
[00:02:20.680 --> 00:02:21.680]  這個第一很重要
[00:02:21.680 --> 00:02:24.680]  為什麼今天的成人
