
[00:00:00.000 --> 00:00:05.000]  好 請姐妹平安 我們再一次低頭禱告
[00:00:05.000 --> 00:00:07.760]  天父我們感謝祢 因為祢愛我們
[00:00:07.760 --> 00:00:10.940]  因為祢的揀選 因為祢的愛
[00:00:10.940 --> 00:00:14.040]  祢讓我們知道 我們活在世上的時候
[00:00:14.040 --> 00:00:17.720]  有更高的選擇 有更高的目標
[00:00:17.720 --> 00:00:19.920]  我們可以為榮耀祢而活
[00:00:19.920 --> 00:00:22.240]  願祢將今天的崇拜
[00:00:22.240 --> 00:00:24.480]  親自地顯現祢自己的面
[00:00:24.480 --> 00:00:26.000]  讓我們聽到祢的聲音
[00:00:26.000 --> 00:00:30.920]  也在當中更多明白祢的心意
[00:00:30.920 --> 00:00:32.920]  決心地去跟從
[00:00:32.920 --> 00:00:34.920]  奉耶穌基督的名祈求 阿們
[00:00:57.000 --> 00:01:00.600]  上一次講得比較多是脫去舊人的方面
[00:01:00.600 --> 00:01:04.560]  今天就講到是穿上新人的方面
[00:01:04.560 --> 00:01:07.640]  當一路看到這一段聖經的時候
[00:01:07.640 --> 00:01:13.240]  剛才也讀過 其實也是一路讀的時候
[00:01:13.240 --> 00:01:16.720]  初初讀 你知道這些說話
[00:01:16.720 --> 00:01:19.200]  憐憫 恩慈 謙虛 溫柔
[00:01:19.200 --> 00:01:21.440]  這些聖經當中經常都有
[00:01:21.440 --> 00:01:23.440]  或者有時候也聽到有人講
[00:01:23.440 --> 00:01:24.840]  好像不以為意
[00:01:24.840 --> 00:01:27.440]  但是當我去預備的時候
[00:01:27.440 --> 00:01:29.680]  慢慢去思想的時候
[00:01:29.680 --> 00:01:32.920]  其實心裡面也有些感動
[00:01:32.920 --> 00:01:36.680]  為什麼呢 因為似乎
[00:01:36.680 --> 00:01:40.240]  或者講一個比喻給大家聽
[00:01:40.240 --> 00:01:45.400]  有一次就跟一個在車房那裡
[00:01:45.400 --> 00:01:48.200]  專門幫人修車做職業的一個人
[00:01:48.200 --> 00:01:49.080]  去聊天
[00:01:49.080 --> 00:01:50.040]  跟他聊天的時候
[00:01:50.040 --> 00:01:52.040]  初初我不知道我是修車的
[00:01:52.040 --> 00:01:54.080]  但是後來就知道我是修車
[00:01:54.080 --> 00:01:57.440]  為什麼 你知道嗎
[00:01:57.440 --> 00:02:01.440]  因為手指甲 手指那些
[00:02:01.440 --> 00:02:03.240]  無論他洗乾淨的手
[00:02:03.240 --> 00:02:05.600]  其實都是有些捆了邊的 黑色的
[00:02:05.600 --> 00:02:07.840]  你知道喜歡修車的
[00:02:07.840 --> 00:02:09.000]  可能不是做修車的
[00:02:09.000 --> 00:02:11.800]  手也是這樣的
[00:02:11.800 --> 00:02:14.920]  其實他自己不覺得的
[00:02:14.920 --> 00:02:16.160]  跟他聊天的時候
[00:02:16.160 --> 00:02:21.520]  他說因為他的同事的手指都是這樣的
[00:02:21.520 --> 00:02:24.200]  有時候自己洗了手
[00:02:24.200 --> 00:02:25.200]  都仍然是黑色的
[00:02:25.200 --> 00:02:28.280]  不知道的 洗不掉的
[00:02:28.280 --> 00:02:31.960]  有時候又 其實他還沒洗乾淨
[00:02:31.960 --> 00:02:33.400]  手黑色碰到一些東西
[00:02:33.400 --> 00:02:36.200]  弄到白色的東西 弄到黑了
[00:02:36.200 --> 00:02:39.160]  所以我不穿白衣服的
[00:02:39.160 --> 00:02:40.600]  我穿灰衣服的
[00:02:40.600 --> 00:02:43.840]  因為不知道自己的手指什麼時候髒
[00:02:43.840 --> 00:02:48.080]  碰到自己的衣服都會髒
[00:02:48.080 --> 00:02:51.840]  其實我們有時候都可能是這樣
[00:02:51.840 --> 00:02:55.080]  我們好像活在一個世界
[00:02:55.080 --> 00:02:58.800]  罪惡是好像那些污跡
[00:02:58.800 --> 00:03:00.760]  已經是不斷的沾染之下
