
[00:00:00.000 --> 00:00:02.000]  大家好,平安
[00:00:02.000 --> 00:00:05.000]  今天想和大家分享一個題目,叫梁鵬益友
[00:00:05.000 --> 00:00:09.000]  顧名思義,這個題目是關於好朋友
[00:00:09.000 --> 00:00:13.000]  為什麼會說這個題目呢?
[00:00:13.000 --> 00:00:15.000]  我想給大家一個powerpoint出來
[00:00:15.000 --> 00:00:17.000]  為什麼會說這個題目呢?
[00:00:17.000 --> 00:00:20.000]  因為我們過去一兩個月
[00:00:20.000 --> 00:00:23.000]  就說一個關於全人健康系列
[00:00:23.000 --> 00:00:28.000]  因為美國加州晚峰教會
[00:00:28.000 --> 00:00:32.000]  Rick Warren牧師看到自己的教會弟兄姊妹
[00:00:32.000 --> 00:00:35.000]  健康上都有些需要
[00:00:35.000 --> 00:00:40.000]  所以他就做了這個彈力計劃
[00:00:40.000 --> 00:00:46.000]  這個彈力計劃基本上是用五個F去代表
[00:00:46.000 --> 00:00:49.000]  我們說了四個,第一個是Fate,第二個是Food
[00:00:49.000 --> 00:00:51.000]  第三個是Fitness,第四個是Focus
[00:00:51.000 --> 00:00:55.000]  我們今天說的是朋友
[00:00:55.000 --> 00:00:59.000]  想問一下大家,你們有沒有好朋友?
[00:00:59.000 --> 00:01:01.000]  如果有好朋友,請舉手
[00:01:01.000 --> 00:01:05.000]  好多好朋友
[00:01:05.000 --> 00:01:08.000]  我給大家看看這個slide
[00:01:08.000 --> 00:01:12.000]  這個slide就說,好朋友就像星星
[00:01:12.000 --> 00:01:14.000]  你不一定會時時看到
[00:01:14.000 --> 00:01:18.000]  但你知道他時時和你在一起
[00:01:18.000 --> 00:01:22.000]  因為甚至在別的國家
[00:01:22.000 --> 00:01:24.000]  如果他是好朋友的話
[00:01:24.000 --> 00:01:27.000]  你就知道他永遠都是你的好朋友
[00:01:27.000 --> 00:01:30.000]  不論他在哪裏
[00:01:30.000 --> 00:01:33.000]  第二個問題,你的好朋友是怎樣的呢?
[00:01:33.000 --> 00:01:35.000]  當然每個人都不同
[00:01:35.000 --> 00:01:38.000]  我想給大家看看這個slide
[00:01:38.000 --> 00:01:43.000]  Good friends don't let you do stupid things alone
[00:01:43.000 --> 00:01:45.000]  要一起做這些蠢事
[00:01:45.000 --> 00:01:50.000]  我記得我現在每天都有三四百個whatsapp
[00:01:50.000 --> 00:01:53.000]  大部份是我的中學同學給我的
[00:01:53.000 --> 00:01:56.000]  我的中學同學是在南校
[00:01:56.000 --> 00:01:58.000]  那時很奮鬥的
[00:01:58.000 --> 00:02:04.000]  我們那時的學校有些神父在後面吊帶
[00:02:04.000 --> 00:02:07.000]  不是吊帶,是吊在後面
[00:02:07.000 --> 00:02:11.000]  但通常那些神父出班房之前
[00:02:11.000 --> 00:02:14.000]  我們都和他打了結
[00:02:14.000 --> 00:02:16.000]  很好玩的
[00:02:16.000 --> 00:02:23.000]  我最記得老師不太喜歡他,經常作弄他
