
[00:00:00.000 --> 00:00:04.000]  親愛的朋友,我們一起祈禱吧!
[00:00:04.000 --> 00:00:15.000]  七天父,感謝你,感謝你給我們這麼深厚的恩典。
[00:00:15.000 --> 00:00:22.000]  夫妻,剛剛過去,我們紀念這樣一份恩典。
[00:00:23.000 --> 00:00:31.000]  更加希望今天你借著你的話語,使我們得到這份恩典這麼深。
[00:00:31.000 --> 00:00:43.000]  可以因著你的話語,我們可以放下很多東西,可以釋放很多東西,可以因真理得自由以服務。
[00:00:44.000 --> 00:01:00.000]  神下求你給我們這樣的臨理和智慧,求你加託和窩伏更加多的恩典,可以更加厚重你的話語傳出去,招聚更多屬於你的人。
[00:01:00.000 --> 00:01:06.000]  我們這樣仰望教徒,奉主耶穌得聖名求,下門。
[00:01:09.000 --> 00:01:19.000]  幾年前,大家知道唐索榮穆斯經常來香港講道,我有些朋友很喜歡聽。
[00:01:19.000 --> 00:01:29.000]  回來之後就和我分享,唐穆斯講得好好啊,好好啊,我就好奇,唐穆斯講了些什麼呢?
[00:01:30.000 --> 00:01:39.000]  他說:「啊?我忘記了。」不過他又怕老,他說:「我記得他講了幾個故事。」
[00:01:39.000 --> 00:01:54.000]  所以有時是這樣的,可能講很多道理,人家未必記得,但是幾個小故事,就給人可能很記得,很難忘。
[00:01:55.000 --> 00:02:01.000]  所以我現在,其實唐穆斯講了很多道理,我未必都記得,但是很多他的故事我還記得。
[00:02:01.000 --> 00:02:15.000]  今天也是這樣,我們發現今天我們看這段經文,耶穌也是和我們講比喻,講故事,不是和我們講很多金句。
[00:02:16.000 --> 00:02:32.000]  所以今天這個故事,我想大家應該都很熟悉這個故事,一個有罪的女人用浴缸裝著香膏,高望耶穌的故事。
[00:02:33.000 --> 00:02:48.000]  這個故事是怎樣呢?大家剛剛已經看到了。一個法律錯人,西門,邀請耶穌到家裡來坐席。坐席的話,我們現在說是來喝酒。
[00:02:49.000 --> 00:03:14.000]  突然之間來了一個有罪的女人。有罪的女人,有些解經說是不正經的女人,她過來用眼淚來洗耶穌的腳,然後用頭髮抹乾耶穌的腳,還有用嘴親吻耶穌的腳,還有用香膏高望耶穌的腳。
[00:03:16.000 --> 00:03:31.000]  法律錯人,西門看到不高興了。他不高興什麼呢?他不高興耶穌接近罪人。他是法律錯人,很守律法的,所以他就有點情緒了。
[00:03:32.000 --> 00:03:54.000]  接著耶穌看到他的情緒就跟他講故事。講完故事才問他,跟他講道理。耶穌說什麼呢?他說:赦免多的人,愛多。因為這個女人愛我多,所以這個女人的罪就赦免了。
[00:03:57.000 --> 00:04:13.000]  大致來說就是這樣的一個故事,應該大家都很熟悉。相似的故事還出現在《馬可科音》十四章三至九節。經文說這個地點是伯達尼,就是馬大瑪利亞那裡。
[00:04:14.000 --> 00:04:34.000]  在西門的酒席上,有一個女人打破了一個很貴重的藥瓶,把里邊的價值三十兩銀紙。舊版就是三十兩銀紙。珍娜大香膏淋在耶穌的頭上。
[00:04:37.000 --> 00:04:48.000]  三十兩銀紙是什麼概念?有經文解釋,三十兩銀紙大概是當時一個工人平均一年的薪金。
[00:04:49.000 --> 00:05:13.000]  哇,你說什麼香水這麼貴?什麼香膏這麼貴?一年的價值買一瓶。珍娜大香膏是什麼品牌?是不是太奢侈了?我們說這個香膏奢侈,還有這個瓶子也奢侈了。
[00:05:14.000 --> 00:05:21.000]  它是什麼?藥瓶來的嘛。我們知道現在的價值不是金額,是翡翠來的嘛。
[00:05:21.000 --> 00:05:32.000]  所以從這個細節來看的話,大家仔細看這些細節很有意思的,我們發現這段經文很奇怪。
