
[00:00:00.000 --> 00:00:04.000]  和大家重溫一下,上個禮拜誰講道?
[00:00:04.000 --> 00:00:09.000]  忘記了就糟糕了,上個禮拜誰講道?
[00:00:09.000 --> 00:00:13.000]  何牧師,上個禮拜何牧師講道
[00:00:13.000 --> 00:00:16.000]  何牧師講什麼題目?
[00:00:16.000 --> 00:00:22.000]  傳統與真理
[00:00:22.000 --> 00:00:27.000]  上個禮拜牧師帶著我們看馬可福音七章開頭的部分
[00:00:27.000 --> 00:00:29.000]  那裡講到潔淨和不潔淨
[00:00:29.000 --> 00:00:32.000]  一群法利賽文字來到耶穌面前
[00:00:32.000 --> 00:00:35.000]  他們挑戰耶穌關於潔淨和不潔淨
[00:00:35.000 --> 00:00:40.000]  耶穌帶他們看什麼是傳統,什麼是真理
[00:00:40.000 --> 00:00:43.000]  耶穌教導一群門徒
[00:00:43.000 --> 00:00:47.000]  他說要用哪裡去守住那些誡命?
[00:00:47.000 --> 00:00:51.000]  他說要用心去守住那些誡命
[00:00:51.000 --> 00:00:56.000]  不是勿守成規,也不是為守那些誡命而守
[00:00:56.000 --> 00:01:02.000]  更不應該看那些誡命有什麼法律罅可以走
[00:01:02.000 --> 00:01:10.000]  以致我們去合理化我們做不義的事情
[00:01:10.000 --> 00:01:12.000]  耶穌教導我們不好
[00:01:12.000 --> 00:01:15.000]  耶穌教導一群門徒
[00:01:15.000 --> 00:01:19.000]  要用心去守住這個律法
[00:01:22.000 --> 00:01:28.000]  耶穌讓我們知道傳統背後的意義
[00:01:28.000 --> 00:01:31.000]  比起傳統本身更加重要
[00:01:31.000 --> 00:01:36.000]  不要讓傳統代替了真理
[00:01:36.000 --> 00:01:41.000]  而剛好這段經文上次講到七章開頭的經文
[00:01:41.000 --> 00:01:45.000]  其實就夾在兩件事的中間
[00:01:45.000 --> 00:01:50.000]  就是耶穌在猶太人這個地方
[00:01:50.000 --> 00:01:54.000]  他們施行神蹟和在外邦人中間施行神蹟
[00:01:54.000 --> 00:01:57.000]  兩件事的中間
[00:01:57.000 --> 00:02:01.000]  就講到潔淨不潔淨的問題
[00:02:01.000 --> 00:02:11.000]  似乎這是為了耶穌的福音要臨到外邦人的群體
[00:02:11.000 --> 00:02:14.000]  成為了一個引言
[00:02:16.000 --> 00:02:20.000]  所以今天就來到七章的下半節
[00:02:20.000 --> 00:02:22.000]  和八章的開頭
[00:02:22.000 --> 00:02:27.000]  開頭何牧師安排了我和天牧
