
[00:00:00.000 --> 00:00:03.000]  今早我們講的題目是
[00:00:03.000 --> 00:00:06.000]  「作信服的僕人」
[00:00:06.000 --> 00:00:11.000]  這正是我們一生學校主的榜樣
[00:00:11.000 --> 00:00:14.000]  因為耶穌說他來到這個世界
[00:00:14.000 --> 00:00:18.000]  不是要受人的服侍 乃是服侍人
[00:00:18.000 --> 00:00:22.000]  「作信服的僕人」是因為這段經文
[00:00:22.000 --> 00:00:25.000]  彼得前書二章十八至二十五節
[00:00:25.000 --> 00:00:30.000]  是接著上星期我們所講的第二章的經文
[00:00:30.000 --> 00:00:32.000]  十八節開始
[00:00:32.000 --> 00:00:37.000]  因為上文講到我們要信服人一切的制度
[00:00:37.000 --> 00:00:40.000]  大家還記得 信服政府
[00:00:40.000 --> 00:00:42.000]  而且說要尊敬眾人
[00:00:42.000 --> 00:00:46.000]  親愛教宗的弟兄 敬畏上帝 尊敬君王
[00:00:46.000 --> 00:00:48.000]  這是第十七節
[00:00:48.000 --> 00:00:51.000]  所以接下來就輪到「僕人信服主人」
[00:00:51.000 --> 00:00:57.000]  因為按當時的研究 特別是韋爾比斯牧師的研究
[00:00:57.000 --> 00:01:00.000]  認為當時的會眾當中
[00:01:00.000 --> 00:01:04.000]  有很多是做羅馬人的奴隸
[00:01:04.000 --> 00:01:09.000]  因為當時奴隸的制度仍然很活躍 很盛行
[00:01:09.000 --> 00:01:12.000]  所以有一些剛剛信了主的基督徒
[00:01:12.000 --> 00:01:14.000]  他們在基督徒裏面得到自由
[00:01:14.000 --> 00:01:17.000]  他們已經有一個屬天的身份
[00:01:17.000 --> 00:01:23.000]  好像說超脫了地上的一些限制
[00:01:23.000 --> 00:01:25.000]  但是彼得很清楚地告訴他們
[00:01:25.000 --> 00:01:27.000]  既然我們是天國的子民
[00:01:27.000 --> 00:01:30.000]  在地上為神繼續做見證
[00:01:30.000 --> 00:01:34.000]  等候將來我們有的盼望的時候
[00:01:34.000 --> 00:01:36.000]  我們仍然要做好我們應該有的本份
[00:01:36.000 --> 00:01:41.000]  所以上面就講到我們怎樣信服人一切的制度
[00:01:41.000 --> 00:01:44.000]  這裏他特別講到這些奴隸的時候
[00:01:44.000 --> 00:01:47.000]  因為當時有一些錯誤的觀念
[00:01:47.000 --> 00:01:50.000]  認為我已經不再屬於這個世界了
[00:01:50.000 --> 00:01:53.000]  所以我就有自由了
[00:01:53.000 --> 00:01:55.000]  我喜歡怎樣就怎樣
[00:01:55.000 --> 00:02:02.000]  我甚至反對我的主人脫離所謂的奴役
[00:02:02.000 --> 00:02:04.000]  但是彼得卻告訴我們
[00:02:04.000 --> 00:02:08.000]  不是 我們反而要仍然在我們的崗位當中
[00:02:08.000 --> 00:02:10.000]  好好地去見證神
[00:02:10.000 --> 00:02:11.000]  守住我們的崗位
[00:02:11.000 --> 00:02:15.000]  因為我們本來就是做信服的僕人
[00:02:15.000 --> 00:02:18.000]  今天亦有很多人誤會了甚麼叫自由
[00:02:18.000 --> 00:02:20.000]  以為自由就是不受約束
[00:02:20.000 --> 00:02:22.000]  我喜歡怎樣就怎樣
[00:02:22.000 --> 00:02:24.000]  所以我們見到整個世界這麼多的混亂
[00:02:24.000 --> 00:02:26.000]  這麼多的不安
[00:02:26.000 --> 00:02:28.000]  基督徒亦都是
[00:02:28.000 --> 00:02:29.000]  我們有了真自由
[00:02:29.000 --> 00:02:32.000]  有了真自由不代表我們
[00:02:32.000 --> 00:02:35.000]  好像這些盲目的或者錯誤的觀念
[00:02:35.000 --> 00:02:38.000]  認為自由就是等於放縱
[00:02:38.000 --> 00:02:41.000]  基督徒反而更加在我們的自由當中
[00:02:41.000 --> 00:02:42.000]  活出真理
[00:02:42.000 --> 00:02:46.000]  以及我們守住神給我們的身份
[00:02:46.000 --> 00:02:48.000]  以及我們應該有的責任
[00:02:48.000 --> 00:02:50.000]  信服人的制度
[00:02:50.000 --> 00:02:52.000]  如果我們是作為僕人
