
[00:00:00.000 --> 00:00:02.440]  希望今天和你們分享的訊息
[00:00:02.440 --> 00:00:03.720]  和梓英姐妹們分享的訊息
[00:00:03.720 --> 00:00:04.720]  你們都要聽得明白
[00:00:04.720 --> 00:00:06.440]  應該聽得明白的
[00:00:06.440 --> 00:00:10.040]  今天是神學主日
[00:00:10.040 --> 00:00:11.840]  顧名思義就是
[00:00:11.840 --> 00:00:15.680]  神學主日就是關於神學教育
[00:00:15.680 --> 00:00:17.920]  大家知不知道呢
[00:00:17.920 --> 00:00:24.160]  成鎮家已經在神學教育的參與方面
[00:00:24.160 --> 00:00:27.920]  已經有六十多七十年了
[00:00:28.600 --> 00:00:32.040]  一直都在不同的神學院當中
[00:00:32.040 --> 00:00:37.200]  有美好的奉獻、禱告和參與的
[00:00:37.200 --> 00:00:39.240]  大家知不知道
[00:00:39.240 --> 00:00:43.480]  在神學院裡面的神學教育是什麼呢?
[00:00:43.480 --> 00:00:45.440]  要明白的話
[00:00:45.440 --> 00:00:47.320]  就看看什麼叫做神學院
[00:00:47.320 --> 00:00:52.440]  神學院這個字根解種子
[00:00:52.440 --> 00:00:55.520]  意思就是能夠種植
[00:00:55.520 --> 00:00:59.240]  能夠培養人才的地方
[00:00:59.240 --> 00:01:02.760]  是培養神學生的地方
[00:01:02.760 --> 00:01:06.840]  神學院在三方面要培養神學生的
[00:01:06.840 --> 00:01:11.840]  第一方面就是要培養神學生的心靈
[00:01:11.840 --> 00:01:15.520]  意思就是培養他們的屬靈生命
[00:01:15.520 --> 00:01:18.440]  這個就是生命之學
[00:01:18.440 --> 00:01:20.840]  心性之學
[00:01:21.680 --> 00:01:26.760]  第二方面神學院要培養神學生的理智、頭腦
[00:01:26.760 --> 00:01:30.120]  就要他們有好的思考能力
[00:01:30.120 --> 00:01:33.240]  能夠分析教會和社會的實況
[00:01:33.240 --> 00:01:36.080]  能夠分解神的話語
[00:01:36.080 --> 00:01:39.720]  能夠分辨真偽
[00:01:39.720 --> 00:01:41.600]  作出合適的回應
[00:01:41.600 --> 00:01:45.360]  這個關乎思考之學
[00:01:45.360 --> 00:01:49.480]  第三方面神學院是要幫助神學生
[00:01:49.480 --> 00:01:54.480]  能夠在心、在思義方面能夠匯聚
