
[00:00:00.000 --> 00:00:11.000]  我去過,我有幸在這一生裏面去過兩個地方,至少讓我產生一種嚴肅的感覺。
[00:00:11.000 --> 00:00:26.000]  爲什麼不能夠產生一個神聖的感覺呢?其實應該是可以的,但是卻有一些原因使到這過程有一些的折扣。
[00:00:26.000 --> 00:00:33.000]  我小時候曾經跟某某人去過一個天主教堂,在印尼的時候。
[00:00:33.000 --> 00:00:40.000]  我說某某人並不是有意要隱瞞他的名字,是因爲我根本就忘記了他是誰。
[00:00:40.000 --> 00:00:49.000]  我只記得一個大手牽着我的小手,那時候我還很小,跟着他去天主教堂參加崇拜。
[00:00:49.000 --> 00:00:56.000]  那天主教堂,一般上的天主教堂給你的感覺就是非常的莊嚴。
[00:00:56.000 --> 00:01:03.000]  所以我進到這個教堂裏面的時候,那感覺也是非常的莊嚴,很嚴肅。
[00:01:03.000 --> 00:01:12.000]  這大人帶着我,他做什麼我就跟着做,反正他進門之前用水點點點,我也點點點。
[00:01:12.000 --> 00:01:23.000]  然後他進到裏面的時候,在座位之前,就還沒有進到座位裏面的時候,先跪在那邊,也有一些上點下點的那種。
[00:01:23.000 --> 00:01:29.000]  然後他就進到座位裏面去,反正我小孩子不懂什麼,就跟着他進去就是了。
[00:01:29.000 --> 00:01:40.000]  然後在聚會里面,你會感覺到非常特別,因爲他們無論唱詩,無論是聖餐,甚至是奉獻,
[00:01:40.000 --> 00:01:44.000]  也跟我們今天在基督教會里面好像有一些不同。
[00:01:44.000 --> 00:01:50.000]  我們剛纔奉獻不是把奉獻袋傳到你那邊去嗎?你就把錢放進去嗎?
[00:01:50.000 --> 00:01:59.000]  他們也不是這樣做的,他們就是把奉獻袋,其實是做成了一個奉獻袋,就是有一根很長的棍子。
[00:01:59.000 --> 00:02:12.000]  然後這個收奉獻的人走到座位的時候就把棍子往你前面捅,其實是傳,捅到你面前你就把錢放下去。
[00:02:12.000 --> 00:02:20.000]  但是他那個動作很快給我的感覺就好像採茶鋪碟,就是那種感覺很快就在你前面過。
[00:02:20.000 --> 00:02:28.000]  你要準備好,不像我們今天奉獻袋來到你面前還在掏錢,所以他們都已經準備好就這樣放。
[00:02:28.000 --> 00:02:34.000]  所以整個感覺來到一個莊嚴的地方,但是爲什麼不能夠產生一個神聖的感覺呢?
[00:02:34.000 --> 00:02:42.000]  是因爲那時候我都還沒有信主,根本不知道宗教是什麼,根本不知道信仰是什麼。
[00:02:42.000 --> 00:02:55.000]  第二次我就有機會,那時候已經是大人了,那次的機會就是去歐洲,就是去參觀的時候,去旅行的時候。
[00:02:55.000 --> 00:03:08.000]  旅行團就把我們帶到法國的巴黎聖母院,這是一個教堂,到那邊去我們就參觀這個教堂。
[00:03:08.000 --> 00:03:17.000]  那是一個禮拜天,我們旅行團就進去了,那是很奇怪的一種感覺,爲什麼呢?
[00:03:17.000 --> 00:03:27.000]  那是禮拜天,他們信徒都在裏面做禮拜的,他們就是參加崇拜,但是我們卻是帶着參觀的心進去。
[00:03:27.000 --> 00:03:39.000]  那整個教堂,你看這是真正的法國巴黎的聖母院,雖然不是我拍的,但是還是真正的就是這樣的情況,也許當中也有很多弟兄姐妹去過。
[00:03:39.000 --> 00:03:50.000]  那去到裏面呢,你就會自然的產生一種必須要安靜的,不能夠說進到裏面還在吵吵鬧鬧的,不會的。
[00:03:50.000 --> 00:04:00.000]  我們進到裏面就自然而然的就靜下來,不敢大聲的說話,然後放輕放慢腳步慢慢的走。
[00:04:00.000 --> 00:04:11.000]  我們巴不得把腳砍了,免得走路的時候會出聲,我們就覺得那氣氛非常的嚴肅,非常的莊嚴。
[00:04:11.000 --> 00:04:24.000]  但是那時候也不能夠產生一種神聖的感覺,爲什麼呢?因爲我覺得我是在旅遊點參觀,我不是來到神的教會,不會有那種的感覺。
[00:04:24.000 --> 00:04:32.000]  因此只感受到那建築物帶給我的莊嚴的氣氛,但是沒有辦法有一種感覺。
[00:04:32.000 --> 00:04:47.000]  其實我是覺得建築物或者是建築對我們有一些的幫助,讓我們產生一種敬畏的感覺,或者是莊嚴的感覺,或者是神聖的感覺。
[00:04:47.000 --> 00:04:55.000]  但是怎麼樣才能是一個真正的神聖的感覺?我覺得以賽亞書裏面講得好,就是以賽亞的那種經歷。
[00:04:55.000 --> 00:05:14.000]  在第六章的時候,以賽亞進到聖殿裏面,他就看到神在座位上,然後他就忽然間發現自己是非常的污穢骯髒,覺得自己是非常的不義,覺得自己很不配在神的面前。
[00:05:14.000 --> 00:05:19.000]  覺得自己需要什麼來幫助他以至於能夠被潔淨。
[00:05:19.000 --> 00:05:26.000]  因此他就看到神,也看到自己的那種轉弱。
[00:05:26.000 --> 00:05:36.000]  所以我是認爲我們有神聖的感覺,就是在神聖的聚會里面過生活,那是什麼意思呢?
[00:05:36.000 --> 00:05:49.000]  就是在你的生活裏面,你會看到神的那種偉大,你會看到神的聖潔,那種高貴,但是你也會看到自己的轉弱。
[00:05:49.000 --> 00:05:57.000]  格里米爾所說的話,他說活在神聖的聚會中就是這種感覺,就是以賽亞的那種感覺。
[00:05:57.000 --> 00:06:13.000]  感受到神的那種偉大,那種的威嚴,以至於心中產生敬畏,也敢看到自己的不足,叫我們要追求活得更好,活得更合神的心意。
[00:06:13.000 --> 00:06:30.000]  那如果我們就好像格里米爾所說的那種理想,我們的一生就好像活在聖會里面的話,那麼我相信我們的生命會自然地發光,會自然地有見證。
[00:06:30.000 --> 00:06:39.000]  我們都知道我們得救不是靠行爲,我這樣說我並不是說你得救你一定要行得好,所以才能夠得救。
[00:06:39.000 --> 00:06:48.000]  我們知道不是的,我們不是靠行爲,但是沒有行爲信心是怎麼樣的呢?就是死的,這是我們都知道的。
[00:06:48.000 --> 00:06:52.000]  想想看我們的神是怎麼樣在我們身上動功的呢?
[00:06:52.000 --> 00:06:58.000]  他不是說某某人你很好,所以我就救你了,不是這樣。
[00:06:58.000 --> 00:07:05.000]  反而很多時候我們就是軟弱,我們有罪,所以神要在我們心裏面動功,
[00:07:05.000 --> 00:07:14.000]  以至於他聖靈進到我們心裏面就潔淨,叫我們也能夠看到自己的軟弱。
[00:07:14.000 --> 00:07:23.000]  我們需要神的救贖,因此我們就會讓神來成爲我們的救贖,讓耶穌基督成爲我們的救贖。
