
[00:00:00.000 --> 00:00:08.000]  各位姐妹又讀聖經,一起看看在聖經的人物與故事後面上帝是怎樣的
[00:00:08.000 --> 00:00:14.000]  今日都是生命傳書的網絡為大家準備,去到差不多四月的尾
[00:00:14.000 --> 00:00:20.000]  借不在乎我就是今日的主題,借不在乎我
[00:00:20.000 --> 00:00:27.000]  不是我叻,不是在乎我多巴閉,是在乎上帝的
[00:00:27.000 --> 00:00:33.000]  創世紀四十一章,昨日仍然是四十章,現在是四十一章
[00:00:33.000 --> 00:00:38.000]  過了兩年,第一點,嘩,時間很快的
[00:00:38.000 --> 00:00:42.000]  又一眨眼,一揭一頁紙就過了兩年了
[00:00:42.000 --> 00:00:49.000]  過了一章就過了兩年,我還記得兩年前怎樣
[00:00:49.000 --> 00:00:55.000]  還記得小朋友的時候,幼稚園等家人來接我放學的時候
[00:00:55.000 --> 00:01:03.000]  心急如焚,是怎樣?眨眼不是兩年,是一生都差不多過完了
[00:01:03.000 --> 00:01:08.000]  第一,過了兩年都很久了,真的不記得那些事了
[00:01:08.000 --> 00:01:14.000]  法老做夢,所以上一兩章的事和今日這一章,四十章
[00:01:14.000 --> 00:01:20.000]  和第四章是有些關係的,是在說夢一直延續下來
[00:01:20.000 --> 00:01:28.000]  過了兩年,法老做夢,夢見自己站在河邊
[00:01:28.000 --> 00:01:33.000]  特別說河,甚麼河呢?通常我們都認為是尼羅河
[00:01:33.000 --> 00:01:38.000]  因為埃及最重要的河流就是尼羅河
[00:01:38.000 --> 00:01:41.000]  每年尼羅河都是為他們帶來耕種等等
[00:01:41.000 --> 00:01:45.000]  特別是尼羅河三角洲是非常肥沃的,近出海的部分
[00:01:45.000 --> 00:01:51.000]  因為那些去到很平地,於是河水就會分散流開
[00:01:51.000 --> 00:01:56.000]  不是一條河,而是分散滲入海裏,流入海裏
[00:01:56.000 --> 00:01:58.000]  很多溪流,很多河流,細河
[00:01:58.000 --> 00:02:05.000]  就這樣令到那裏的尼羅河三角洲變得很肥沃
[00:02:05.000 --> 00:02:11.000]  而尼羅河有一個特別,就是每一年都會有一次氾濫
[00:02:11.000 --> 00:02:17.000]  他們很歡迎這個氾濫,就是一氾濫的時候,大家搬走
[00:02:17.000 --> 00:02:20.000]  一氾濫完,水一路退,他們就一路搬回去
[00:02:20.000 --> 00:02:26.000]  為甚麼呢?因為被水浸過的泥土很肥沃
[00:02:26.000 --> 00:02:29.000]  所以他們對這個氾濫很歡迎
[00:02:29.000 --> 00:02:35.000]  站在河邊,有七隻母牛由河裏面上來
[00:02:35.000 --> 00:02:40.000]  即是說河是令到孕育了七隻母牛
[00:02:40.000 --> 00:02:45.000]  是從尼羅河上來的,又美好又肥壯
[00:02:45.000 --> 00:02:48.000]  沒有母牛,沒有母牛有甚麼好處呢?
[00:02:48.000 --> 00:02:55.000]  有奶飲,有牛仔肉,還有自己本身,還可能耕田
[00:02:55.000 --> 00:02:59.000]  於是就說好呀,又美好又肥壯
[00:02:59.000 --> 00:03:08.000]  就在這個蘆迪中吃草,一片美麗與豐富肥沃景象
[00:03:08.000 --> 00:03:13.000]  誰知夢裏隨後有七隻母牛從河裏面上來
[00:03:13.000 --> 00:03:15.000]  都是這條河,估計是尼羅河
[00:03:15.000 --> 00:03:21.000]  誰知車又醜陋又乾瘦,為甚麼會這樣呢?
[00:03:21.000 --> 00:03:27.000]  於是這樣看法,就是尼羅河可能缺水了
[00:03:27.000 --> 00:03:34.000]  於是就滋潤不到大地,於是就會乾又瘦
[00:03:34.000 --> 00:03:39.000]  其實動物生蓄不會這樣,沒有水,也沒有草
[00:03:39.000 --> 00:03:41.000]  沒有食物,那就乾又瘦
[00:03:41.000 --> 00:03:45.000]  就和那七隻母牛一起站在河邊
[00:03:45.000 --> 00:03:48.000]  這樣也有七隻肥呀
[00:03:48.000 --> 00:03:54.000]  誰知又醜陋又乾瘦的那七隻母牛
[00:03:54.000 --> 00:03:58.000]  吃盡了美好又肥壯的那七隻母牛
[00:03:58.000 --> 00:04:00.000]  嚇到發怒紮醒
[00:04:00.000 --> 00:04:05.000]  你不要問牠怎樣吃牛,牠的口那麼小
[00:04:05.000 --> 00:04:07.000]  牠又不吃肉,不要問那些
[00:04:07.000 --> 00:04:09.000]  發夢吧
[00:04:09.000 --> 00:04:13.000]  就羞牛醜牛吃了七隻美好的牛
[00:04:13.000 --> 00:04:15.000]  嚇到發怒紮醒
[00:04:15.000 --> 00:04:17.000]  嘩,怎麼會這樣呢?
[00:04:17.000 --> 00:04:20.000]  嚇得我心肝都跳
[00:04:20.000 --> 00:04:24.000]  幸好,嚇一嚇之後又睡了
[00:04:24.000 --> 00:04:27.000]  又來惡夢,又睡著了
[00:04:27.000 --> 00:04:29.000]  第二回做甚麼夢呢?
[00:04:29.000 --> 00:04:34.000]  就夢見一火麥子長了七個水子
[00:04:34.000 --> 00:04:36.000]  又肥大又尖尾
[00:04:36.000 --> 00:04:41.000]  留意一下,是一火麥子,即是一條麥
[00:04:41.000 --> 00:04:43.000]  一條麥上去有些麥水
[00:04:43.000 --> 00:04:47.000]  麥水即是一串的麥子有殼
[00:04:47.000 --> 00:04:49.000]  有重量,所以那些麥子一串有重量
[00:04:49.000 --> 00:04:51.000]  會這樣凹的
[00:04:51.000 --> 00:04:54.000]  這樣就有七條水子的
[00:04:54.000 --> 00:04:57.000]  一支麥子麥乾有七條水子
[00:04:57.000 --> 00:04:59.000]  很肥啊
[00:04:59.000 --> 00:05:02.000]  七個水子那麼多
[00:05:02.000 --> 00:05:04.000]  又肥大又尖尾
