
[00:00:00.000 --> 00:00:02.680]  接著心裡耿耿於懷
[00:00:02.680 --> 00:00:04.800]  四十多年都在等這天
[00:00:04.800 --> 00:00:06.160]  去到為了要什麼?
[00:00:06.160 --> 00:00:08.760]  要認去達成
[00:00:08.760 --> 00:00:10.360]  他抽了一塊地
[00:00:10.360 --> 00:00:12.600]  叫做希伯倫
[00:00:12.600 --> 00:00:16.320]  希伯倫以前叫做基利亞伯
[00:00:16.320 --> 00:00:18.400]  那些地名和人名都有關係
[00:00:18.400 --> 00:00:19.640]  亞伯是誰?
[00:00:19.640 --> 00:00:22.240]  亞伯是亞立族人最尊貴的
[00:00:22.240 --> 00:00:23.600]  什麼叫最尊貴的?
[00:00:23.600 --> 00:00:26.800]  最能打的那個
[00:00:26.800 --> 00:00:27.680]  我想問問你
[00:00:27.680 --> 00:00:31.000]  他抽到那支好籤還是壞籤?
[00:00:31.000 --> 00:00:33.960]  抽到那支上上籤還是下下籤?
[00:00:33.960 --> 00:00:35.440]  你記得誰幫你抽的?
[00:00:35.440 --> 00:00:37.320]  是上帝幫你抽的
[00:00:37.320 --> 00:00:38.800]  上帝抽了籤
[00:00:38.800 --> 00:00:40.120]  你就照樣拿籤
[00:00:40.120 --> 00:00:41.480]  抽了籤你就拿
[00:00:41.480 --> 00:00:43.040]  什麼叫做上上籤?
[00:00:43.040 --> 00:00:45.120]  什麼叫做下下籤?
[00:00:45.120 --> 00:00:46.000]  通常人們會說
[00:00:46.000 --> 00:00:49.200]  上上籤就是easy job
[00:00:49.200 --> 00:00:51.040]  損工
[00:00:51.040 --> 00:00:52.680]  損工就是上上籤
[00:00:52.680 --> 00:00:53.520]  我想問問你
[00:00:53.520 --> 00:00:57.400]  你覺得加勒抽到那支上上籤還是下下籤?
[00:00:57.400 --> 00:01:00.120]  他抽到的地名叫做希伯倫
[00:01:00.120 --> 00:01:01.920]  希伯倫以前叫做亞伯
[00:01:01.920 --> 00:01:04.160]  亞伯是亞立族巨人中
[00:01:04.160 --> 00:01:08.040]  巨人裡面最尊貴最能打的那個
[00:01:08.040 --> 00:01:14.840]  你說是最上上籤還是下下籤?
[00:01:14.840 --> 00:01:18.200]  下下籤
[00:01:18.200 --> 00:01:22.000]  他對約書亞的要求是什麼?
[00:01:22.000 --> 00:01:24.720]  Give me this mountain
[00:01:24.720 --> 00:01:26.880]  是我的
[00:01:26.880 --> 00:01:28.960]  不要找別人的照片
