
[00:00:00.000 --> 00:00:01.600]  領袖們晚安
[00:00:01.600 --> 00:00:03.040]  聽到了吧
[00:00:03.040 --> 00:00:07.880]  很歡迎大家回到YAS的崇拜
[00:00:07.880 --> 00:00:11.380]  今年是2024年最後一個崇拜
[00:00:11.380 --> 00:00:15.580]  還記不記得最後講到的系列是甚麼
[00:00:15.580 --> 00:00:16.940]  做人
[00:00:16.940 --> 00:00:18.660]  聽到後面說
[00:00:18.660 --> 00:00:20.560]  做人很難所以要學
[00:00:20.560 --> 00:00:22.100]  最後一個就是「估你唔到」
[00:00:22.100 --> 00:00:26.100]  所以第一樣東西「估你唔到」,你知不知道是甚麼呢?
[00:00:26.100 --> 00:00:29.340]  你不知道啊?竟然
[00:00:31.000 --> 00:00:33.000]  是是是,我知道
[00:00:33.000 --> 00:00:35.000]  第一樣你今晚「估唔到」的東西
[00:00:35.000 --> 00:00:38.000]  就是你應該是沒有預計過我會在這裏的
[00:00:38.000 --> 00:00:40.000]  本來應該是藍的
[00:00:40.000 --> 00:00:43.000]  不過藍早幾天病得快暈了
[00:00:43.000 --> 00:00:45.000]  他今天回來其實是神的恩典
[00:00:45.000 --> 00:00:47.000]  所以你待會再問候他
[00:00:47.000 --> 00:00:50.000]  或者你幫忙走過去吸一吸他的細菌
[00:00:50.000 --> 00:00:53.000]  然後他應該會再快些康復
[00:00:53.000 --> 00:00:57.000]  我小時候是聽過這些迷信的東西
[00:00:58.000 --> 00:01:00.000]  好,那今天呢
[00:01:00.000 --> 00:01:05.000]  跟大家很想年尾的時候分享一個甚麼的訊息呢?
[00:01:05.000 --> 00:01:07.000]  「估你唔到」
[00:01:07.000 --> 00:01:12.000]  其中一個當我去想的時候就是
[00:01:12.000 --> 00:01:14.000]  當我們回來工作
[00:01:14.000 --> 00:01:16.000]  可以出去吹個powerpoint
[00:01:16.000 --> 00:01:18.000]  這個是今天的powerpoint
[00:01:18.000 --> 00:01:21.000]  Don't quit, just do it
[00:01:21.000 --> 00:01:23.000]  你知道某個運動牌子是講這個的
[00:01:23.000 --> 00:01:26.000]  下一張slide就可以了
[00:01:26.000 --> 00:01:28.000]  當我們出來工作的時候
[00:01:28.000 --> 00:01:30.000]  我不知道你會不會覺得
[00:01:30.000 --> 00:01:32.000]  都很想工作上有些成就
[00:01:32.000 --> 00:01:34.000]  或者有人去肯定你
[00:01:34.000 --> 00:01:37.000]  有人覺得很想成功
[00:01:37.000 --> 00:01:39.000]  這是很正常的
[00:01:39.000 --> 00:01:42.000]  無論是特別在這個工作的過程
[00:01:42.000 --> 00:01:45.000]  我做你們長一段很長的時間
[00:01:45.000 --> 00:01:49.000]  你都會面對著很多工作的挑戰
[00:01:49.000 --> 00:01:52.000]  甚至工作如果你做得不好的時候
[00:01:52.000 --> 00:01:55.000]  或者你做得不夠好的時候
[00:01:55.000 --> 00:01:57.000]  就會有些壓力
[00:01:57.000 --> 00:01:59.000]  我聽過有些公司是怎樣呢?
[00:01:59.000 --> 00:02:03.000]  那些公司就說不是說你做得不好
[00:02:03.000 --> 00:02:05.000]  有些甚麼的過錯
[00:02:05.000 --> 00:02:07.000]  所以就裁員
[00:02:07.000 --> 00:02:08.000]  是怎樣呢?
[00:02:08.000 --> 00:02:13.000]  是你不是在top 90%
[00:02:13.000 --> 00:02:15.000]  即是說你是最
[00:02:15.000 --> 00:02:17.000]  即是整個performance裡面
[00:02:17.000 --> 00:02:19.000]  我聽過這些公司,真的
[00:02:19.000 --> 00:02:22.000]  最低的不知道5%還是10%
[00:02:22.000 --> 00:02:24.000]  第一年都好一點
[00:02:24.000 --> 00:02:26.000]  第二年呢
[00:02:26.000 --> 00:02:29.000]  都是這樣就拜拜了
[00:02:29.000 --> 00:02:33.000]  我聽完真的有些這樣的公司
