
[00:00:00.000 --> 00:00:02.120]  天父再一次將整個聚會交到祢的手中
[00:00:02.120 --> 00:00:03.400]  求祢使它分別為聖
[00:00:03.400 --> 00:00:05.000]  祢親自對我們說話
[00:00:05.000 --> 00:00:08.080]  每一個環節祢都是我們當中的主角
[00:00:08.080 --> 00:00:09.960]  將講完交到祢的手裡
[00:00:09.960 --> 00:00:11.480]  求祢釋放我的口
[00:00:11.480 --> 00:00:13.640]  釋放祢自己當時的話語
[00:00:13.640 --> 00:00:15.200]  祢高沒會眾
[00:00:15.200 --> 00:00:17.120]  祢叫我們會眾的心裡面
[00:00:17.120 --> 00:00:19.360]  都有從祢而來得到的領受
[00:00:19.360 --> 00:00:21.240]  而不是從講完而有的領受
[00:00:21.240 --> 00:00:23.520]  求祢親自去觸摸對他們說話
[00:00:23.520 --> 00:00:26.680]  願將一切的榮耀、重讚傳歸於祢
[00:00:26.680 --> 00:00:29.000]  祈禱奉耶穌基督的名字
[00:00:29.440 --> 00:00:30.000]  阿門
[00:01:00.440 --> 00:01:03.080]  有一次去到一個雜物舖的門外
[00:01:03.080 --> 00:01:05.240]  在櫥窗裡走了很久很久
[00:01:05.240 --> 00:01:08.240]  繞來繞去在門口又捨不得走
[00:01:08.240 --> 00:01:10.360]  老闆就在門口
[00:01:10.360 --> 00:01:12.960]  「是嗎?是否有光顧?走這麼久」
[00:01:12.960 --> 00:01:15.960]  這個婦女又很尷尬
[00:01:15.960 --> 00:01:19.160]  「是呀!是呀!我真的想要些東西」
[00:01:19.160 --> 00:01:20.400]  又用了這個詞
[00:01:20.400 --> 00:01:21.440]  「真的想要些東西」
[00:01:21.440 --> 00:01:23.520]  「不過我沒有錢」
[00:01:23.520 --> 00:01:27.480]  「你沒有錢?你沒有錢用什麼來換?」
[00:01:29.720 --> 00:01:30.960]  「我為你祈禱啊」
[00:01:30.960 --> 00:01:34.200]  「我求上帝祝福你啊」
[00:01:34.200 --> 00:01:35.600]  「你祈禱有多重啊?」
[00:01:35.600 --> 00:01:37.560]  「你祈禱放在瓶子裡」
[00:01:37.560 --> 00:01:39.080]  「有多重?我給你多少東西?」
[00:01:39.080 --> 00:01:40.760]  她的天秤那時舊不舊
[00:01:40.760 --> 00:01:42.600]  中間有個盤子兩邊有個瓶子
[00:01:42.600 --> 00:01:45.240]  或者有一種是兩邊倒下來的瓶子
[00:01:45.240 --> 00:01:47.240]  我不知道那是哪一種天秤
[00:01:47.240 --> 00:01:50.960]  這個老闆想著是揶揄她
[00:01:50.960 --> 00:01:52.760]  想著取笑她逼她走
[00:01:52.760 --> 00:01:55.160]  誰知道這個婦女真的在一個袋子裡
[00:01:56.920 --> 00:01:59.640]  拿了一張祈禱紙出來,昨晚剛剛寫好的
[00:01:59.640 --> 00:02:02.120]  放進去
[00:02:02.120 --> 00:02:04.840]  老闆心裡想
[00:02:04.840 --> 00:02:06.720]  「為什麼爛鬼子這麼輕?」
[00:02:06.720 --> 00:02:10.520]  「天秤,我放一塊麵包進去已經搞定了」
[00:02:10.520 --> 00:02:13.200]  「求隨手,一塊麵包放下面一層」
[00:02:13.200 --> 00:02:16.360]  「那兩邊動都不動啊」
[00:02:16.360 --> 00:02:17.920]  「很奇怪啊」
[00:02:17.920 --> 00:02:19.440]  「再放兩塊麵包」
[00:02:19.440 --> 00:02:23.640]  「一樣是動都不動啊」
[00:02:23.640 --> 00:02:26.320]  「再放幾件東西」
[00:02:27.240 --> 00:02:28.000]  「動都不動啊」
[00:02:28.000 --> 00:02:29.040]  這個老闆很生氣
[00:02:29.040 --> 00:02:33.000]  於是拿了一個麵粉袋扔給那個女人
[00:02:33.000 --> 00:02:35.160]  「你有什麼東西撿,撿完就走啊」
[00:02:35.160 --> 00:02:37.080]  於是那個女人說
[00:02:37.080 --> 00:02:38.000]  「撿啊」
