
[00:00:00.000 --> 00:00:02.000]  各位電視姊妹平安
[00:00:02.000 --> 00:00:04.000]  在今個星期裏面
[00:00:04.000 --> 00:00:08.000]  實在是很需要見到香港人都要講平安
[00:00:08.000 --> 00:00:11.000]  因為實在是在一個紛亂的城市裏面
[00:00:11.000 --> 00:00:14.000]  不知道大家的心裏面是在想些甚麼事情
[00:00:14.000 --> 00:00:16.000]  可能你現在都是在想
[00:00:16.000 --> 00:00:19.000]  在中環、旺角、在不同的區域裏面
[00:00:19.000 --> 00:00:22.000]  那些市民、那些學生怎樣呢?
[00:00:22.000 --> 00:00:25.000]  其實過去一個星期裏面心情都很複雜
[00:00:25.000 --> 00:00:33.000]  從電視裏面看到這些佔中的行動
[00:00:33.000 --> 00:00:36.000]  亦看到很痛心
[00:00:36.000 --> 00:00:43.000]  見到我們很多學生、我們很多年青人在街上
[00:00:43.000 --> 00:00:45.000]  同時間亦很擔心
[00:00:45.000 --> 00:00:49.000]  因為實在是知道有危險
[00:00:49.000 --> 00:00:53.000]  有些紛爭、有些事情會發生
[00:00:53.000 --> 00:00:56.000]  在整個星期裏面
[00:00:56.000 --> 00:00:59.000]  我想很多香港人都會很分心
[00:00:59.000 --> 00:01:01.000]  大家都很分心
[00:01:01.000 --> 00:01:03.000]  因為大家都不能夠很專注
[00:01:03.000 --> 00:01:05.000]  做我們的工作
[00:01:05.000 --> 00:01:07.000]  或者是專注做我們的事情
[00:01:07.000 --> 00:01:10.000]  在心裏面是記掛著
[00:01:10.000 --> 00:01:14.000]  現在在香港發生的事情
[00:01:14.000 --> 00:01:16.000]  所以在這件事裏面
[00:01:16.000 --> 00:01:19.000]  我們都藉著今天在崇拜裏面
[00:01:19.000 --> 00:01:21.000]  我們來到神的殿裏面
[00:01:21.000 --> 00:01:24.000]  讓我們能夠安定我們的心
[00:01:24.000 --> 00:01:27.000]  讓我們能夠在主裏面有平安
[00:01:27.000 --> 00:01:30.000]  在我們主裏面能夠得著力量
[00:01:30.000 --> 00:01:31.000]  又得著安慰
[00:01:31.000 --> 00:01:36.000]  又更加能夠可以在當中為香港祈禱
[00:01:36.000 --> 00:01:40.000]  為我們今天香港會面對的事情
[00:01:40.000 --> 00:01:43.000]  我們都求主賜下平安
[00:01:43.000 --> 00:01:51.000]  賜下神賜給我們在香港安定的生活
[00:01:51.000 --> 00:01:57.000]  說起一些街頭發生的事情
[00:01:57.000 --> 00:02:01.000]  你可能會覺得這些都是一些政治的事情
[00:02:01.000 --> 00:02:02.000]  政治的行動
[00:02:02.000 --> 00:02:05.000]  很多時候我們教會會面對這些事情
[00:02:05.000 --> 00:02:08.000]  我們就會有些避忌
[00:02:08.000 --> 00:02:10.000]  我們不知道怎樣去面對
[00:02:10.000 --> 00:02:14.000]  浸信會我們有一個很重要的信念
[00:02:14.000 --> 00:02:17.000]  就是政教分離的一個信念
[00:02:17.000 --> 00:02:20.000]  我都想在這裏和大家分享
[00:02:20.000 --> 00:02:23.000]  究竟政教分離是什麼一件事情呢?
[00:02:23.000 --> 00:02:26.000]  當我們說今天我們遇到這些事情
[00:02:26.000 --> 00:02:27.000]  香港發生的事情
[00:02:27.000 --> 00:02:29.000]  我們作為基督徒
[00:02:29.000 --> 00:02:31.000]  我們作為教會
[00:02:31.000 --> 00:02:33.000]  我們又怎樣去應對這些事情
[00:02:33.000 --> 00:02:38.000]  當然先從我們自己浸信會一個重要的信念
[00:02:38.000 --> 00:02:41.000]  這個政教分離讓我們明白一件事情
[00:02:41.000 --> 00:02:45.000]  其實早期浸信會的信徒
[00:02:45.000 --> 00:02:50.000]  特別為了我們信徒能夠可以對信仰保持
[00:02:50.000 --> 00:02:52.000]  對信仰的真誠
[00:02:52.000 --> 00:02:57.000]  我們認為信仰應該是信徒自由的選擇
[00:02:57.000 --> 00:03:03.000]  就是說教會和政府都不可以強迫人去信主
[00:03:03.000 --> 00:03:07.000]  所以信仰不是一個立法的產品
[00:03:07.000 --> 00:03:09.000]  不是一個立法的產品
[00:03:09.000 --> 00:03:13.000]  否則信仰的本質就會改變
[00:03:13.000 --> 00:03:22.000]  所以浸信會堅持政府和社會分離的信念
[00:03:22.000 --> 00:03:24.000]  這個政教分離的原則
[00:03:24.000 --> 00:03:27.000]  就是說我們基督的教會
[00:03:27.000 --> 00:03:31.000]  應該有馴服基督的自由
[00:03:31.000 --> 00:03:33.000]  就是我們能夠跟隨主的時候
[00:03:33.000 --> 00:03:35.000]  我們有這個自由
[00:03:35.000 --> 00:03:38.000]  我們能夠去主宰我們自己的事情
[00:03:38.000 --> 00:03:40.000]  教會裡面的事情
[00:03:40.000 --> 00:03:43.000]  我們可以繼續去自由的傳福音
[00:03:43.000 --> 00:03:45.000]  我們去尋求我們自己的路向
[00:03:45.000 --> 00:03:49.000]  我們不應該受到外界的干預
[00:03:49.000 --> 00:03:52.000]  所以浸信會一直以來
[00:03:52.000 --> 00:03:58.000]  過去都是努力去爭取宗教自由
[00:03:58.000 --> 00:04:00.000]  爭取我們能夠信仰自由
