
[00:00:00.000 --> 00:00:01.400]  各位電視節目的大家好
[00:00:01.400 --> 00:00:06.600]  今天是我2012年
[00:00:06.600 --> 00:00:07.600]  呃
[00:00:07.600 --> 00:00:11.740]  收奴的講道了,感謝主
[00:00:11.740 --> 00:00:13.480]  可以休息一下了
[00:00:13.480 --> 00:00:17.100]  所以呢,今天都
[00:00:17.100 --> 00:00:20.100]  在2012年
[00:00:20.100 --> 00:00:23.100]  我自己最後的一篇講章裏面
[00:00:23.100 --> 00:00:25.960]  我自己都一路去思考一下
[00:00:25.960 --> 00:00:29.180]  我們的2012年過得怎樣
[00:00:29.180 --> 00:00:31.660]  當然可能對大家來說還不是時候
[00:00:31.660 --> 00:00:34.860]  因為聖誕都還沒過,但是對於我來說
[00:00:34.860 --> 00:00:37.760]  都是經常去檢視
[00:00:37.760 --> 00:00:42.400]  或者去想一下我們2012年的一個機會
[00:00:42.400 --> 00:00:46.760]  如果說回顧2012年的香港
[00:00:46.760 --> 00:00:50.760]  其實我自己都真的有一點點的難受
[00:00:50.760 --> 00:00:55.260]  可能有些頂姐妹在這裏都聽過我的分享
[00:00:55.260 --> 00:00:58.760]  我自己覺得在回歸了之後
[00:00:58.760 --> 00:01:02.760]  我們的香港其實是退步多於進步的
[00:01:02.760 --> 00:01:05.760]  沒錯,我們的香港的財富累積
[00:01:05.760 --> 00:01:09.760]  就是整個香港的財富累積
[00:01:09.760 --> 00:01:12.260]  是越來越多的,的確是的
[00:01:12.260 --> 00:01:13.760]  如果在1997年的時候
[00:01:13.760 --> 00:01:17.760]  我們說的是大概幾百億的儲備
[00:01:17.760 --> 00:01:20.760]  但是現在說的儲備都幾千億了
[00:01:20.760 --> 00:01:23.760]  如果加上外匯儲備已經過萬億了
[00:01:23.760 --> 00:01:26.760]  但是我們的貧富懸殊又越來越大
[00:01:26.760 --> 00:01:29.760]  我從事教育工作
[00:01:29.760 --> 00:01:34.760]  在回歸之後,香港有很多的教育的改革
[00:01:34.760 --> 00:01:37.760]  334也在今年正式的
[00:01:37.760 --> 00:01:41.760]  就是334之後剛剛好第一年考試了
[00:01:41.760 --> 00:01:45.760]  今年就正式有一班大學生入學了
[00:01:45.760 --> 00:01:50.760]  有大量的副學士,有大量的文憑的學位
[00:01:50.760 --> 00:01:52.760]  如果你有機會問一下
[00:01:52.760 --> 00:01:54.760]  我們這裏都有不少老師
[00:01:54.760 --> 00:01:56.760]  問一下那些老師
[00:01:56.760 --> 00:01:58.760]  你覺不覺得我們的教育改革真是好了
[00:01:58.760 --> 00:02:01.760]  或者我們真是栽培到學生的生命
[00:02:01.760 --> 00:02:03.760]  又或者334真是很好
[00:02:03.760 --> 00:02:07.760]  其實有時候我自己出去跟那些校長,老師聊天
[00:02:07.760 --> 00:02:09.760]  我問他們舊時那個
[00:02:09.760 --> 00:02:11.760]  你覺得舊時有會考A level好
[00:02:11.760 --> 00:02:14.760]  還是有現在讀完這麼多的好呢
[00:02:14.760 --> 00:02:18.760]  就是升上中六讀好呢
[00:02:18.760 --> 00:02:20.760]  十個九個都說舊時哪有問題
[00:02:20.760 --> 00:02:22.760]  其實舊時不知有多好
[00:02:22.760 --> 00:02:24.760]  又不見得那些學生特別辛苦
[00:02:24.760 --> 00:02:26.760]  現在的學生真是很辛苦的
[00:02:26.760 --> 00:02:29.760]  但是學生的生命栽不栽培呢
[00:02:29.760 --> 00:02:31.760]  可能我們心中有數
[00:02:31.760 --> 00:02:33.760]  不過無論如何一個很個人的意見
[00:02:33.760 --> 00:02:35.760]  或者大家未必很贊成的
[00:02:35.760 --> 00:02:38.760]  但是值得我們去思考一下
[00:02:38.760 --> 00:02:40.760]  我自己覺得由回歸到現在
[00:02:40.760 --> 00:02:43.760]  我們可以說我們一路慢慢的在退步
[00:02:43.760 --> 00:02:44.760]  但是各位大姐大兄姊妹
