
[00:00:00.000 --> 00:00:03.600]  非常感謝神在太庫省的教會
[00:00:03.600 --> 00:00:05.800]  也是給孩子還有我們的團隊
[00:00:05.800 --> 00:00:07.640]  很多的一些的機會
[00:00:07.640 --> 00:00:09.000]  陪大家工作
[00:00:09.000 --> 00:00:12.140]  也是去成就大使命的
[00:00:12.140 --> 00:00:15.240]  這是因為我們要順服著
[00:00:15.240 --> 00:00:16.140]  要順服著
[00:00:16.140 --> 00:00:20.000]  順服了就是不是一個選修的
[00:00:20.000 --> 00:00:21.300]  是一個必修的課
[00:00:21.300 --> 00:00:24.040]  有關我們信徒的人
[00:00:24.040 --> 00:00:28.400]  那麼今天我首先也是
[00:00:28.400 --> 00:00:30.600]  來到這裡也是收到
[00:00:30.600 --> 00:00:33.040]  陳傳道的那封信的時候
[00:00:33.040 --> 00:00:35.340]  聽到也是瞭解到
[00:00:35.340 --> 00:00:38.640]  你們這一段時間是拆船
[00:00:38.640 --> 00:00:41.200]  拆船月嘛
[00:00:41.200 --> 00:00:44.300]  所以我也是想到拆船月
[00:00:44.300 --> 00:00:46.240]  如果我是被請
[00:00:46.240 --> 00:00:48.100]  我非去不可了
[00:00:48.100 --> 00:00:48.700]  為什麼呢
[00:00:48.700 --> 00:00:51.200]  對我來講拆船週了
[00:00:51.200 --> 00:00:52.040]  拆船月了
[00:00:52.040 --> 00:00:54.800]  也是對我非常深刻的一個印象
[00:00:54.800 --> 00:00:56.500]  我記得有一個孩子
[00:00:56.500 --> 00:01:00.840]  他是在差不多1967年的時候
[00:01:00.840 --> 00:01:02.940]  也是去參加一個拆船日
[00:01:02.940 --> 00:01:05.640]  那時候那個孩子沒有信耶穌了
[00:01:05.640 --> 00:01:06.900]  沒有信了
[00:01:06.900 --> 00:01:08.940]  但是他在那邊去了
[00:01:08.940 --> 00:01:14.560]  去聽一些宣教士講一些很精彩的故事
[00:01:14.560 --> 00:01:17.540]  有關他們在非洲還有南美
[00:01:17.540 --> 00:01:21.640]  他們那些人穿衣服穿得不多
[00:01:21.640 --> 00:01:25.360]  所以那個少年人很好奇去了
[00:01:25.360 --> 00:01:29.740]  他每天去了後來發現他聽了
[00:01:29.740 --> 00:01:31.200]  聽了不但是聽了
[00:01:31.200 --> 00:01:33.440]  那人出去傳福音的
[00:01:33.440 --> 00:01:34.960]  他是發現了
[00:01:34.960 --> 00:01:36.960]  他是那時候就聽了福音
[00:01:36.960 --> 00:01:38.840]  本人聽了福音了
[00:01:38.840 --> 00:01:40.140]  傳宣教士
[00:01:40.140 --> 00:01:44.100]  宣教士就是直接跟那些人聽中了
[00:01:44.100 --> 00:01:45.500]  傳福音了
[00:01:45.500 --> 00:01:48.540]  在那時候那個小孩子信耶穌了
[00:01:48.540 --> 00:01:51.440]  那小孩子就是我了
[00:01:51.440 --> 00:01:53.800]  所以那個拆船
[00:01:53.800 --> 00:01:57.440]  在第一次我是那時候信耶穌的
[00:01:57.440 --> 00:02:00.260]  是在一個拆船日
[00:02:00.260 --> 00:02:02.640]  拆船週了
[00:02:02.640 --> 00:02:04.940]  所以我也是發現
[00:02:04.940 --> 00:02:07.500]  過了也差不多九年了
[00:02:07.500 --> 00:02:10.840]  我在那時候讀大學
[00:02:10.840 --> 00:02:13.900]  讀大學當然聽過福音了
[00:02:13.900 --> 00:02:15.000]  信了耶穌了
[00:02:15.000 --> 00:02:16.400]  我是已經現身了
[00:02:16.400 --> 00:02:19.500]  去做一個全世界的一個
[00:02:19.500 --> 00:02:21.200]  侍奉的一個人
[00:02:21.200 --> 00:02:24.800]  但是我就是留在美國就好了
[00:02:24.800 --> 00:02:28.360]  但是在我的大學的大三
[00:02:28.360 --> 00:02:30.060]  神大大的感動我
[00:02:30.060 --> 00:02:31.160]  護照我了
[00:02:31.160 --> 00:02:31.860]  到國外
[00:02:31.860 --> 00:02:34.200]  到哪裡我不清楚了
[00:02:34.200 --> 00:02:36.700]  但是我和我的女朋友
[00:02:36.700 --> 00:02:38.600]  就是同時的就是覺得
[00:02:38.600 --> 00:02:43.160]  先是女朋友又感動了
[00:02:43.160 --> 00:02:43.900]  對啊
[00:02:43.900 --> 00:02:45.100]  覺得有點
[00:02:45.100 --> 00:02:46.200]  她開始跟我說了
[00:02:46.200 --> 00:02:47.200]  啊Steve
[00:02:47.200 --> 00:02:54.400]  我們那時候也比較開始談結婚等等
[00:02:54.400 --> 00:02:56.660]  她說做個宣教士也好
[00:02:56.660 --> 00:02:58.800]  我說不做宣教士
[00:02:58.800 --> 00:03:00.000]  如果神要護照我
[00:03:00.000 --> 00:03:03.200]  祂要打日線到我自己的心就好了
[00:03:03.200 --> 00:03:05.500]  不用透過你來
[00:03:05.500 --> 00:03:06.300]  過了不久了
[00:03:06.300 --> 00:03:07.400]  神沒錯
[00:03:07.400 --> 00:03:09.460]  打日線到我的心
[00:03:09.460 --> 00:03:12.200]  非常清楚的護照
[00:03:12.200 --> 00:03:16.960]  那已經感謝主有差不多39年之久的
[00:03:16.960 --> 00:03:20.100]  在亞洲侍奉
[00:03:20.100 --> 00:03:23.900]  這個就是說榮耀神的事情
[00:03:23.900 --> 00:03:25.360]  這是榮耀神的事情
[00:03:25.360 --> 00:03:28.400]  不是這個人能夠站在你們的當中
[00:03:28.400 --> 00:03:29.400]  講普通話了
[00:03:29.400 --> 00:03:32.360]  這個是神的事情
[00:03:32.360 --> 00:03:36.660]  所以大使命非常非常的重要
[00:03:36.660 --> 00:03:38.760]  我也是最近也是考慮說
[00:03:38.760 --> 00:03:41.060]  使命為什麼是這麼大呢
[00:03:41.060 --> 00:03:43.660]  為什麼稱呼他大使命呢
[00:03:43.660 --> 00:03:45.900]  我們來一起來思考了
[00:03:45.900 --> 00:03:51.700]  所以我們在這段經文大家已經看過了
[00:03:51.700 --> 00:03:55.260]  在馬太福音的28章裡面
[00:03:55.260 --> 00:03:59.260]  我們也清楚了解了
[00:03:59.260 --> 00:04:01.800]  大使命那三個字
[00:04:01.800 --> 00:04:06.260]  不是一起來在聖經的原文出現的
[00:04:06.260 --> 00:04:07.760]  大使命
[00:04:07.760 --> 00:04:10.000]  這個就是我們人給的
[00:04:10.000 --> 00:04:12.660]  因為我們發現每一個四福音
[00:04:12.660 --> 00:04:18.000]  而且包括了第五個就是在使徒行傳的第八節
[00:04:18.000 --> 00:04:22.400]  都是每個福音提過了耶穌命令門徒
[00:04:22.400 --> 00:04:26.760]  出去使萬民做主的門徒
[00:04:26.760 --> 00:04:28.060]  出現的這麼多了
[00:04:28.060 --> 00:04:30.400]  而且是他的幕僚的話了
[00:04:30.400 --> 00:04:31.900]  當然是重要的
[00:04:31.900 --> 00:04:34.200]  當然是放大了
[00:04:34.200 --> 00:04:36.560]  所以我也是想說
[00:04:36.560 --> 00:04:38.960]  我們每一位信耶穌的人
[00:04:38.960 --> 00:04:41.700]  是不是把他所命令的
