
[00:00:00.000 --> 00:00:08.000]  請姊妹讓我們再一次同心低頭禱告
[00:00:08.000 --> 00:00:14.000]  主多謝你藉著詩歌再一次向我們講說話
[00:00:14.000 --> 00:00:16.000]  你就是我們生命的主
[00:00:16.000 --> 00:00:19.000]  讓我們常常站在你的跟旁
[00:00:19.000 --> 00:00:22.000]  去聆聽你自己的訓誨
[00:00:22.000 --> 00:00:25.000]  讓我們今天來到你的面前
[00:00:25.000 --> 00:00:28.000]  讓我們不單止用心靈誠實去敬拜你
[00:00:28.000 --> 00:00:31.000]  當我們打開你自己寶貴的話語的時候
[00:00:31.000 --> 00:00:34.000]  真是給我們一個謙卑受教的心
[00:00:34.000 --> 00:00:37.000]  讓我們豎起我們的心靈屬靈的耳朵
[00:00:37.000 --> 00:00:40.000]  去聆聽你自己的訓誨
[00:00:40.000 --> 00:00:43.000]  主一樣講的一樣聽的
[00:00:43.000 --> 00:00:45.000]  在聖靈的教導引領底下
[00:00:45.000 --> 00:00:48.000]  我能夠將你的話藏在心裡面
[00:00:48.000 --> 00:00:51.000]  祝福我們以下彼此分享的時間
[00:00:51.000 --> 00:00:54.000]  讓你親自的與我們同在
[00:00:54.000 --> 00:00:57.000]  聽我們的禱告奉耶穌你的聖名
[00:00:57.000 --> 00:01:00.000]  讓我們打開今天要讀的經文
[00:01:00.000 --> 00:01:03.000]  在大家的新約聖經159頁
[00:01:03.000 --> 00:01:09.000]  《約翰福音》第21章第15節至第22節
[00:01:09.000 --> 00:01:12.000]  在大家的新約聖經159頁
[00:01:12.000 --> 00:01:15.000]  讓我們一起讀完這幾節的經文
[00:01:15.000 --> 00:01:18.000]  新約的聖經159頁
[00:01:18.000 --> 00:01:22.000]  《約翰福音》第21章第15節開始
[00:01:22.000 --> 00:01:28.000]  他們吃完了早飯,耶穌對西門彼得說:
[00:01:28.000 --> 00:01:33.000]  「約翰的兒子西門,你愛我比這些更甚麼?」
[00:01:33.000 --> 00:01:38.000]  彼得說:「主啊!是的,你知道我愛你。」
[00:01:38.000 --> 00:01:42.000]  耶穌對他說:「你餵養我的小羊。」
[00:01:42.000 --> 00:01:45.000]  耶穌第二次又對他說:
[00:01:45.000 --> 00:01:49.000]  「約翰的兒子西門,你愛我麼?」
