
[00:00:00.000 --> 00:00:02.000]  大兄姊妹主內平安
[00:00:02.000 --> 00:00:04.300]  弟兄姊妹主內平安
[00:00:04.300 --> 00:00:07.300]  很高興再一次在港台跟大家見面
[00:00:07.300 --> 00:00:10.300]  很高興再一次在講台上跟大家見面
[00:00:10.300 --> 00:00:13.000]  有時候我們做了基督徒都有一段時間
[00:00:13.000 --> 00:00:14.800]  有時候我們當了基督徒一段時間
[00:00:14.800 --> 00:00:18.700]  但我們覺得好像那個生命好像還是有點空虛
[00:00:18.700 --> 00:00:20.900]  但我們覺得生命還是有一點點空虛
[00:00:20.900 --> 00:00:24.100]  其實就有些無話可說的
[00:00:24.100 --> 00:00:25.500]  其實真的是無言的
[00:00:25.500 --> 00:00:31.700]  也都是因為我們是一個屬靈的人
[00:00:31.700 --> 00:00:35.700]  因為我們信了主我們屬基督了
[00:00:35.700 --> 00:00:37.200]  我們信了主了 屬於基督
[00:00:37.200 --> 00:00:41.000]  我們仍然住在一個骯髒垃圾的熟世的地方
[00:00:41.000 --> 00:00:43.200]  可我們仍然住在一個骯髒的地方
[00:00:43.200 --> 00:00:46.400]  每一天我們匆匆忙忙的去上班去賺錢
[00:00:46.400 --> 00:00:49.400]  每一天勞勞碌碌的去上班去賺錢
[00:00:49.400 --> 00:00:51.600]  很多時候遇到一些很不順利的事情
[00:00:51.600 --> 00:00:53.600]  很多時候遇到不順利的事情
[00:00:53.600 --> 00:00:55.400]  和朋友很多爭吵
[00:00:55.400 --> 00:00:57.000]  和朋友有爭吵
[00:00:57.000 --> 00:00:58.500]  有時候就很累
[00:00:58.500 --> 00:00:59.400]  有時候眼淚
[00:00:59.400 --> 00:01:01.900]  因為我們仍然在一個熟世的地方
[00:01:01.900 --> 00:01:03.900]  因為我們仍然在一個熟悉的地方
[00:01:03.900 --> 00:01:07.000]  跟我們一個屬靈的生命有一個很大的張力
[00:01:07.000 --> 00:01:09.000]  跟我們一個屬靈的生命有一個很大的張力
[00:01:09.000 --> 00:01:10.500]  就是一個很大的 tension
[00:01:10.500 --> 00:01:12.600]  就是一個很大的那個
[00:01:12.600 --> 00:01:14.600]  彼此的那個英語來說是 tension 就是張力
[00:01:14.600 --> 00:01:18.300]  所以我們的屬靈和我們的屬世就經常在鬥爭
