
[00:00:00.000 --> 00:00:03.000]  讓我一起和心儀低頭禱告
[00:00:03.000 --> 00:00:05.000]  創造宇宙萬物
[00:00:05.000 --> 00:00:07.000]  掌管生命
[00:00:07.000 --> 00:00:08.000]  治人
[00:00:08.000 --> 00:00:10.000]  盼望
[00:00:10.000 --> 00:00:13.000]  各位的美善的上帝
[00:00:13.000 --> 00:00:15.000]  我們向你俯伏敬拜
[00:00:15.000 --> 00:00:19.000]  求你我們面前張開你自己的華語
[00:00:19.000 --> 00:00:22.000]  沾我們受教耳朵
[00:00:22.000 --> 00:00:24.000]  受教的心
[00:00:24.000 --> 00:00:26.000]  裝載你自己的聖言
[00:00:26.000 --> 00:00:28.000]  改變我們的生命
[00:00:28.000 --> 00:00:30.000]  新生我們的心思
[00:00:30.000 --> 00:00:31.000]  以致我們能夠
[00:00:31.000 --> 00:00:33.000]  都好像師哥那樣說
[00:00:33.000 --> 00:00:35.000]  讓我們自己都能夠
[00:00:35.000 --> 00:00:37.000]  成為一個活祭獻神給主
[00:00:37.000 --> 00:00:39.000]  此風亂時間與我們同在
[00:00:39.000 --> 00:00:40.000]  聽我們祈禱
[00:00:40.000 --> 00:00:42.000]  奉耶穌基督聖名而求
[00:00:42.000 --> 00:00:44.000]  阿們
[00:00:44.000 --> 00:00:47.000]  剛剛立法會拉布了
[00:00:47.000 --> 00:00:50.000]  我們其實都
[00:00:50.000 --> 00:00:51.000]  另類拉布
[00:00:51.000 --> 00:00:53.000]  拉布了五個月
[00:00:53.000 --> 00:00:55.000]  就是這個時詩記
[00:00:55.000 --> 00:00:57.000]  今天我就剪報
[00:00:57.000 --> 00:01:02.000]  因為來到時詩記的最後一個訊息
[00:01:02.000 --> 00:01:05.000]  如果時詩記只是
[00:01:05.000 --> 00:01:07.000]  一班叫以色列人的歷史
[00:01:07.000 --> 00:01:11.000]  對我們沒什麼值得去看的
[00:01:11.000 --> 00:01:13.000]  可能中文的歷史大家會興趣多些
[00:01:13.000 --> 00:01:16.000]  但是如果時詩記作為
