
[00:00:00.000 --> 00:00:05.300]  今早我們看一個新的系列的講道
[00:00:05.300 --> 00:00:12.000]  剛剛上一次和大家完成了馬太福音裏面的一些訊息
[00:00:12.000 --> 00:00:17.000]  特別以登山補訓、登山百福
[00:00:17.000 --> 00:00:21.300]  作為馬太福音的詮釋
[00:00:21.300 --> 00:00:25.300]  了解天國的王是我們的心意
[00:00:25.300 --> 00:00:28.500]  從今開始我打算和大家講另一個系列
[00:00:28.500 --> 00:00:33.800]  就是「主耶穌是你我生命的答案」
[00:00:33.800 --> 00:00:40.300]  今天這一講是祂使我們能夠得到真正的幸福
[00:00:40.300 --> 00:00:42.600]  因為在馬太福音完結之後
[00:00:42.600 --> 00:00:47.100]  我想和大家看看約翰福音
[00:00:47.100 --> 00:00:49.900]  約翰福音,因為我不會講完整本書
[00:00:49.900 --> 00:00:51.900]  我會抽其中一些最重要的
[00:00:51.900 --> 00:00:58.100]  和大家思想勉勵和領受神的話語
[00:00:58.100 --> 00:00:59.900]  所以我想到約翰福音很有名的
[00:00:59.900 --> 00:01:03.100]  就是有七個「我是」
[00:01:03.100 --> 00:01:07.700]  這個在約翰福音裏面可以說是一個代表
[00:01:07.700 --> 00:01:11.300]  主要原因是因為耶穌在其他福音書沒有這樣宣告
[00:01:11.300 --> 00:01:15.000]  只是在約翰福音以祂上帝兒子的身份
[00:01:15.000 --> 00:01:20.000]  向世人宣告這七個祂的身份
[00:01:20.000 --> 00:01:21.500]  在猶太人的文化當中
[00:01:21.500 --> 00:01:23.100]  大家可能都知道
[00:01:23.100 --> 00:01:25.900]  「七」是代表什麼?
[00:01:25.900 --> 00:01:28.500]  代表「完全」或「完美」
[00:01:28.500 --> 00:01:35.500]  這個代表耶穌基督是一位完完全全的救贖主
[00:01:35.500 --> 00:01:41.700]  祂就是那位在舊約神應許而來的微塞亞君王
[00:01:41.700 --> 00:01:44.700]  祂是那位被揀選
[00:01:44.700 --> 00:01:48.300]  但同時也是彰顯神屬性
[00:01:48.300 --> 00:01:49.900]  完完全全的屬性
[00:01:49.900 --> 00:01:53.200]  在我們人世當中的一位神
[00:01:53.200 --> 00:01:57.900]  祂就是我們人生命最終的答案
[00:01:57.900 --> 00:01:59.200]  因為祂來到這個世界
[00:01:59.200 --> 00:02:02.200]  就是要解決我們人類最終的問題
[00:02:02.200 --> 00:02:08.100]  就是要如何回復我們跟上帝應該有的關係
[00:02:08.100 --> 00:02:11.300]  所以正是我們人生的需要
[00:02:11.300 --> 00:02:13.300]  祂一開始就說明
[00:02:13.300 --> 00:02:17.900]  祂就是那位永古常傳的「道」
[00:02:17.900 --> 00:02:19.500]  在約翰福音很清楚地說明
[00:02:19.500 --> 00:02:21.300]  祂就是太初的「道」
[00:02:21.300 --> 00:02:24.100]  意思就是祂是自存的
[00:02:24.100 --> 00:02:25.300]  祂是自足的
[00:02:25.300 --> 00:02:28.000]  而且是永遠常存的那位
[00:02:28.000 --> 00:02:31.200]  既然祂自存、自足、永遠常存
[00:02:31.200 --> 00:02:34.000]  就能夠真正能夠滿足我們人類
[00:02:34.000 --> 00:02:36.900]  我們心靈各樣的需要
[00:02:36.900 --> 00:02:39.500]  其他世界上的東西都不能夠滿足
[00:02:39.500 --> 00:02:47.000]  只有這位自存、永在、自足、全封性的神
[00:02:47.000 --> 00:02:50.600]  能夠可以滿足我們人類真正的需要
[00:02:50.600 --> 00:02:53.800]  有很多聖經學者都讓我們認識到
[00:02:53.800 --> 00:02:57.000]  約翰福音和其他三卷方書不同的地方
[00:02:57.000 --> 00:03:00.500]  就是祂特別將主耶穌基督的神聖
[00:03:00.500 --> 00:03:05.900]  神的兒子的身份來彰顯出來
[00:03:05.900 --> 00:03:08.700]  特別是透過主耶穌自己親自的宣告
[00:03:08.700 --> 00:03:10.600]  似乎祂就將舊約
[00:03:10.600 --> 00:03:12.600]  這位耶和華上帝
[00:03:12.600 --> 00:03:16.700]  就是只有永有的神
[00:03:16.700 --> 00:03:22.700]  連在祂的身上是同骨重出於一
[00:03:22.700 --> 00:03:27.200]  祂們都是這位獨一的真神
[00:03:27.200 --> 00:03:28.200]  所以我們知道
[00:03:28.200 --> 00:03:32.200]  這個約翰福音特別的地方
[00:03:32.200 --> 00:03:37.200]  將耶和華或者希伯來文讀出來
[00:03:37.200 --> 00:03:40.400]  所以翻譯為「也威」
[00:03:40.400 --> 00:03:44.100]  或者「雅威」這位耶和華神
[00:03:44.100 --> 00:03:49.800]  當神第一次宣告自己的名字的時候
[00:03:49.800 --> 00:03:51.500]  祂們在「差及記」
[00:03:51.500 --> 00:03:54.300]  當摩西在曠野
[00:03:54.300 --> 00:03:59.000]  見到不能燒毀壞的荊棘的時候
[00:03:59.000 --> 00:04:01.000]  祂問神「你是哪一位?」
[00:04:01.000 --> 00:04:03.900]  在那時神就告訴祂
[00:04:03.900 --> 00:04:07.600]  「我就是這位自有永有的上帝」
[00:04:07.600 --> 00:04:12.600]  「I am that I am」
[00:04:12.600 --> 00:04:15.600]  「我就是這位自有永有的上帝」
[00:04:15.600 --> 00:04:18.400]  即是何時神都是開始
[00:04:18.400 --> 00:04:19.900]  也都是永遠沒有結束
[00:04:19.900 --> 00:04:22.300]  「I am that I am」
[00:04:22.300 --> 00:04:24.400]  「我就是這位我」
[00:04:24.400 --> 00:04:27.700]  所以這是一位非常高超的獨一上帝
[00:04:27.700 --> 00:04:29.400]  因為聖經在初一及第三章
[00:04:29.400 --> 00:04:30.600]  我們讀讀這幾節
[00:04:30.600 --> 00:04:33.300]  大家可以稍為去了解一下
[00:04:33.300 --> 00:04:34.600]  十二節到十四節
[00:04:34.600 --> 00:04:35.500]  好 請讀
[00:04:35.500 --> 00:04:38.600]  神說「我必與你同在」
[00:04:38.600 --> 00:04:42.000]  「我將百姓從埃及領出來之後」
[00:04:42.000 --> 00:04:45.500]  「你們必在這山上侍奉我」
[00:04:45.500 --> 00:04:49.700]  「這就是我打發你去的證據」
[00:04:49.700 --> 00:04:51.700]  摩西對神說
[00:04:51.700 --> 00:04:55.100]  「我到以色列人那裡對他們說」
[00:04:55.100 --> 00:04:59.500]  「你們祖宗的神打發我到你們這裡來」
[00:04:59.500 --> 00:05:01.400]  「他們若問我說」
[00:05:01.400 --> 00:05:03.700]  「你叫什麼名字?」
[00:05:03.700 --> 00:05:08.400]  「我要對他們說什麼呢?」
[00:05:08.400 --> 00:05:09.300]  十四節
[00:05:09.300 --> 00:05:10.800]  神對摩西說
[00:05:10.800 --> 00:05:13.800]  「我是自有永有的」
[00:05:13.800 --> 00:05:16.800]  「又說你要對以色列人這樣說」
[00:05:16.800 --> 00:05:19.900]  「那自有的打發我來」
[00:05:19.900 --> 00:05:22.700]  「到你們這裡來」
[00:05:22.700 --> 00:05:24.700]  所以神怎麼回答摩西呢?
[00:05:24.700 --> 00:05:26.400]  他說「如果有人問你的名字」
[00:05:26.400 --> 00:05:27.700]  「我怎麼告訴他們呢?」
[00:05:27.700 --> 00:05:28.700]  神就說「我怎麼說呢?」
[00:05:28.700 --> 00:05:30.300]  他說「我是」什麼?
[00:05:30.300 --> 00:05:31.700]  「自有永有的」
[00:05:31.700 --> 00:05:33.500]  中文翻譯很難翻
[00:05:33.500 --> 00:05:35.700]  「I am that I am」
[00:05:35.700 --> 00:05:38.500]  所以唯有翻成「幾時都是自存的」
[00:05:38.500 --> 00:05:40.800]  「幾時都是自有的」
[00:05:40.800 --> 00:05:43.200]  「直到永遠永遠都是這樣」
[00:05:43.200 --> 00:05:46.200]  所以這真是「自有永有」
[00:05:46.200 --> 00:05:48.300]  所以他告訴摩西
[00:05:48.300 --> 00:05:49.500]  以色列人說
[00:05:49.500 --> 00:05:51.900]  「這位自有的」
[00:05:51.900 --> 00:05:53.700]  即是我們人有過去的
[00:05:53.700 --> 00:05:54.900]  有現在、有將來
[00:05:54.900 --> 00:05:58.500]  但神永遠都是那位自存、自有
[00:05:58.500 --> 00:06:00.400]  而且永遠都是這樣的神
[00:06:00.400 --> 00:06:01.500]  所以這真是
[00:06:01.500 --> 00:06:03.300]  只有上帝能夠做到
[00:06:03.300 --> 00:06:04.600]  而且這是祂的屬性
[00:06:04.600 --> 00:06:06.900]  因為祂是神
[00:06:06.900 --> 00:06:08.800]  所以當神來吩咐摩西
[00:06:08.800 --> 00:06:10.100]  去領以色列人
[00:06:10.100 --> 00:06:11.500]  百姓出埃及的時候
[00:06:11.500 --> 00:06:13.800]  祂給了他們一個保證
[00:06:13.800 --> 00:06:15.900]  這個保證、這個證據是什麼呢?
[00:06:15.900 --> 00:06:16.600]  就是說
[00:06:16.600 --> 00:06:20.800]  「我這位自存、自足、自有的神」
[00:06:20.800 --> 00:06:22.100]  「永遠常存的神」
[00:06:22.100 --> 00:06:24.500]  「與你同在」
[00:06:24.500 --> 00:06:27.000]  有了上帝的同在
[00:06:27.000 --> 00:06:29.300]  事情就必定能夠完成了
[00:06:29.300 --> 00:06:31.100]  因為神說一定能夠的
[00:06:31.100 --> 00:06:34.000]  將我的百姓從埃及當中領出來
[00:06:34.000 --> 00:06:36.700]  好叫祂能夠侍奉我
[00:06:36.700 --> 00:06:39.200]  結果我們看回歷史的記載
[00:06:39.200 --> 00:06:42.400]  聖經裡面很真實的故事
[00:06:42.400 --> 00:06:43.600]  我們就明白到
[00:06:43.600 --> 00:06:45.300]  這個是成就了
[00:06:45.300 --> 00:06:47.100]  縱然有很多的挑戰
[00:06:47.100 --> 00:06:48.100]  很多的困難
[00:06:48.100 --> 00:06:49.800]  很多的攻擊
[00:06:49.800 --> 00:06:52.300]  但是神是那位得勝的主
[00:06:52.300 --> 00:06:54.800]  所以摩西當時是沒有把握的
[00:06:54.800 --> 00:06:56.900]  祂不知道前面會發生什麼事
[00:06:56.900 --> 00:06:58.300]  就正如我們人都是這樣
[00:06:58.300 --> 00:07:00.800]  我們不知道明天會發生什麼事
[00:07:00.800 --> 00:07:02.900]  下一刻會發生什麼事
[00:07:02.900 --> 00:07:05.300]  我們沒有辦法掌握我們前面的日子
[00:07:05.300 --> 00:07:07.800]  沒有辦法明白我們一切需要
[00:07:07.800 --> 00:07:09.100]  能不能夠滿足
[00:07:09.100 --> 00:07:10.900]  我們能不能夠去到
[00:07:10.900 --> 00:07:12.900]  我們人生最終的目的地
[00:07:12.900 --> 00:07:16.800]  完成到神要我們有的計劃
[00:07:16.800 --> 00:07:18.500]  我們沒有辦法
[00:07:18.500 --> 00:07:20.000]  但是我們知道有一件事
[00:07:20.000 --> 00:07:20.800]  是很肯定的
