
[00:00:00.000 --> 00:00:03.000]  我相信很多基督徒
[00:00:03.000 --> 00:00:06.000]  很多基督徒都願意去
[00:00:06.000 --> 00:00:09.000]  服侍神
[00:00:09.000 --> 00:00:12.000]  但是有人曾經講說
[00:00:12.000 --> 00:00:22.000]  什麼意思呢?他說很多人都想要服侍神
[00:00:22.000 --> 00:00:25.000]  但只是想用顧問的身份
[00:00:25.000 --> 00:00:28.000]  那麼我是很感謝主
[00:00:28.000 --> 00:00:31.000]  回到自己的教會,慧典教會
[00:00:31.000 --> 00:00:34.000]  我很感謝主,因為在我們當中有很多人在服侍神
[00:00:34.000 --> 00:00:37.000]  參與服侍
[00:00:37.000 --> 00:00:40.000]  但是他們都不是在顧問的身份
[00:00:40.000 --> 00:00:43.000]  都不是擔任顧問
[00:00:43.000 --> 00:00:46.000]  他們是實際上真的落手落腳的
[00:00:46.000 --> 00:00:49.000]  去在教會裡面幫忙服侍
[00:00:49.000 --> 00:00:52.000]  就看大家,特別我們的Praise Team
[00:00:52.000 --> 00:00:55.000]  他們兩點鐘就回來,是禮拜六
[00:00:55.000 --> 00:00:58.000]  禮拜六應該是去玩,去遊戲
[00:00:58.000 --> 00:01:01.000]  跟職人一塊買東西,做家務的時候
[00:01:01.000 --> 00:01:04.000]  但是那些Praise Team
[00:01:04.000 --> 00:01:07.000]  他們兩點鐘就回來練習,一直到六點鐘開始崇拜
[00:01:07.000 --> 00:01:10.000]  這是Long Day
[00:01:10.000 --> 00:01:13.000]  後面負責音響的,負責PowerPoint的
[00:01:13.000 --> 00:01:16.000]  也是一樣,所以從他們的表現裡面
[00:01:16.000 --> 00:01:19.000]  我心裡面真的很感動,不簡單
[00:01:19.000 --> 00:01:22.000]  我們做牧師就是找半個重點回來
[00:01:22.000 --> 00:01:25.000]  就快到這裡,我們看到他們是多麼的忠心
[00:01:25.000 --> 00:01:28.000]  去服侍我們
[00:01:28.000 --> 00:01:31.000]  不過呢
[00:01:31.000 --> 00:01:34.000]  有時候我心裡面有一個想法
[00:01:34.000 --> 00:01:37.000]  實際上有一個問題
[00:01:37.000 --> 00:01:40.000]  這個問題是什麼呢?
[00:01:40.000 --> 00:01:43.000]  我們這樣去服侍神
[00:01:43.000 --> 00:01:46.000]  是否就能夠讓神開心
[00:01:46.000 --> 00:01:49.000]  我們這樣好像落手落腳
[00:01:49.000 --> 00:01:52.000]  用很多時間去幫忙教會這個
[00:01:52.000 --> 00:01:55.000]  幫忙教會那個
[00:01:55.000 --> 00:01:58.000]  是否就真的能夠讓我們成為一個
[00:01:58.000 --> 00:02:01.000]  讓神開心的人呢?
[00:02:01.000 --> 00:02:04.000]  所以今天我在思考這個問題的時候
[00:02:04.000 --> 00:02:07.000]  就看到這個羅馬書
[00:02:07.000 --> 00:02:10.000]  羅馬書第十二章第一節跟第二節
[00:02:10.000 --> 00:02:13.000]  這個是我們主要的經文
[00:02:13.000 --> 00:02:16.000]  希望跟你們一塊去讀一讀好不好
[00:02:16.000 --> 00:02:19.000]  一塊來看看,你願意的話跟我一塊讀
