
[00:00:00.000 --> 00:00:04.120]  多謝主每早晨很高興能夠再次和大家一起同心敬拜
[00:00:04.120 --> 00:00:07.780]  也能夠在這裡和大家一起分享上帝的說話
[00:00:07.780 --> 00:00:09.620]  讓我們在聆聽主道以先
[00:00:09.620 --> 00:00:11.700]  讓我們一起再次低頭禱告
[00:00:11.700 --> 00:00:13.540]  仰望我們主愛的神
[00:00:13.540 --> 00:00:16.880]  多謝主讓我們能夠再次回來
[00:00:16.880 --> 00:00:20.800]  在祢寶貴的說話的面前去同心研讀
[00:00:20.800 --> 00:00:22.140]  求主祢的幫助
[00:00:22.140 --> 00:00:26.220]  使我們能夠更精準的去了解主祢的教訓
[00:00:26.220 --> 00:00:28.900]  我也要求主祢繼續帶領我們
[00:00:28.900 --> 00:00:34.380]  使我們能夠在祢的話語當中明白祢的心思意念
[00:00:34.380 --> 00:00:38.900]  好使我們能夠在今天的地上與主祢同活
[00:00:38.900 --> 00:00:41.040]  親愛的主 我也要再次懇求祢
[00:00:41.040 --> 00:00:44.300]  使我們能夠明白祢的教訓的同時
[00:00:44.300 --> 00:00:47.200]  使我們能夠實踐祢的話語
[00:00:47.200 --> 00:00:50.580]  幫助我們能夠在今天這個時代當中
[00:00:50.580 --> 00:00:54.800]  能夠做一個真是有智慧的信徒
[00:00:54.800 --> 00:00:56.020]  同心禱告
[00:00:56.020 --> 00:00:59.160]  奉靠主耶穌 得聖命致救 阿們
[00:01:27.000 --> 00:01:28.620]  好,不如在開始之前
[00:01:28.620 --> 00:01:31.540]  我先為大家再一次讀一下這段聖經
[00:01:31.540 --> 00:01:33.420]  如果大家也有聖經的話
[00:01:33.420 --> 00:01:35.660]  跟我一起打開這段經文
[00:01:35.660 --> 00:01:37.100]  我們一起去讀
[00:01:37.100 --> 00:01:40.340]  在今天這個世界裡面
[00:01:40.340 --> 00:01:46.420]  可以說是進入了一個極度二分化的極端狀態
[00:01:46.420 --> 00:01:52.600]  很多時候這種二分化或者兩極化的思維
[00:01:52.600 --> 00:01:59.120]  很無形中地去影響我們很多基督徒的信仰思維
[00:01:59.120 --> 00:02:02.040]  甚至我們帶著這種兩極化的思維
[00:02:02.040 --> 00:02:04.040]  去演繹聖經
[00:02:04.040 --> 00:02:06.000]  非此則那
[00:02:06.000 --> 00:02:07.500]  這種情況
[00:02:07.500 --> 00:02:09.440]  所以很多時候很多基督徒
[00:02:09.440 --> 00:02:13.220]  他們在人生裡面
[00:02:13.220 --> 00:02:14.520]  只是經常說
[00:02:14.520 --> 00:02:15.460]  原來做基督
[00:02:15.460 --> 00:02:16.980]  這些事情不能做
[00:02:16.980 --> 00:02:19.600]  哦 這些事情我可以做
[00:02:19.600 --> 00:02:22.820]  但是如果在這種思維之下
[00:02:22.820 --> 00:02:24.980]  我們過我們基督徒的生活
[00:02:24.980 --> 00:02:28.020]  每一樣東西都以為是二分化的時候
[00:02:28.020 --> 00:02:29.840]  其實是很危險的
[00:02:29.840 --> 00:02:32.280]  因為其實在這個世界上面
[00:02:32.280 --> 00:02:35.640]  不是所有東西都只是有二分
[00:02:35.640 --> 00:02:37.540]  這個情況
[00:02:37.540 --> 00:02:39.640]  如果我們用二分化
[00:02:39.640 --> 00:02:41.360]  就造成一個什麼局面呢?
[00:02:41.360 --> 00:02:42.760]  我們只是會說
[00:02:42.760 --> 00:02:46.560]  我們將所有事件分為正、邪
[00:02:46.560 --> 00:02:49.080]  或者黑或者白
[00:02:49.080 --> 00:02:51.960]  如果甚至對於一些事件的看法的時候
[00:02:51.960 --> 00:02:52.940]  我們就會認為
[00:02:52.940 --> 00:02:54.960]  這樣是應該做
[00:02:54.960 --> 00:02:56.500]  還是不應該做
[00:02:56.500 --> 00:02:59.880]  或者這個行律法和不行律法
[00:02:59.880 --> 00:03:03.480]  這種情況其實現在在社會風氣十別
[00:03:03.480 --> 00:03:05.760]  甚至在政治的風氣之下
