
[00:00:00.000 --> 00:00:02.940]  各位西區華人的教會弟兄姊妹,你們好
[00:00:02.940 --> 00:00:07.000]  很開心與大家繼續分享神的說話
[00:00:07.000 --> 00:00:11.560]  我們會探討大國崛起與衰亡
[00:00:11.560 --> 00:00:14.320]  我們會先看《若拿書》
[00:00:14.320 --> 00:00:18.000]  已經說過《若拿書》是一本大家都很熟悉的書卷
[00:00:18.000 --> 00:00:19.960]  但往往有時太熟悉的話
[00:00:19.960 --> 00:00:22.920]  我們就會忽略了當中的意義
[00:00:22.920 --> 00:00:26.760]  與大家分析一下上一課所教過的東西,好嗎?
[00:00:26.760 --> 00:00:32.280]  《若拿書》我們就說到這本是很特別的小先知書
[00:00:32.280 --> 00:00:37.000]  與其他的先知書有什麼不同呢?
[00:00:37.000 --> 00:00:38.320]  沒錯
[00:00:38.320 --> 00:00:44.120]  其他的先知書都是來講論神的教導、神的信息
[00:00:44.120 --> 00:00:46.200]  但《若拿書》很特別
[00:00:46.200 --> 00:00:52.040]  它不是重點放在神的宣講信息的內容裏面
[00:00:52.040 --> 00:00:55.480]  反而是放在若拿自己本身
[00:00:55.480 --> 00:01:00.720]  如何經歷神的磨練、神的對付
[00:01:00.720 --> 00:01:04.160]  好,《若拿書》的主角是誰呢?
[00:01:04.160 --> 00:01:06.400]  沒錯,不是若拿
[00:01:06.400 --> 00:01:08.080]  原來是神
[00:01:08.080 --> 00:01:11.040]  在短短的四章經文裏面
[00:01:11.040 --> 00:01:15.840]  我們會看到原來主角真正來說是神
[00:01:15.840 --> 00:01:18.520]  若拿只不過是很短的
[00:01:18.520 --> 00:01:20.160]  你記不記得我已經說過
[00:01:20.160 --> 00:01:23.440]  《若拿書》全卷裏面有四章
[00:01:23.440 --> 00:01:25.680]  一個是第四十八節
[00:01:25.680 --> 00:01:30.640]  但是耶華的名字出現了超過三十多次
[00:01:30.640 --> 00:01:33.000]  是加起來三十九次
[00:01:33.000 --> 00:01:36.400]  《若拿書》裏面若拿這個名字
[00:01:36.400 --> 00:01:39.000]  只出現了十八次
[00:01:39.000 --> 00:01:41.440]  其他都是緊鳴的
[00:01:41.440 --> 00:01:44.440]  所以真正的主角是神自己
[00:01:44.440 --> 00:01:46.640]  記不記得我曾經和大家分享過
[00:01:46.640 --> 00:01:48.400]  正如浪子的比喻
[00:01:48.400 --> 00:01:51.040]  真正的主角原來不是浪子
[00:01:51.040 --> 00:01:53.480]  原來是個大兒子
[00:01:53.480 --> 00:01:57.880]  我們看到若拿究竟是一個故事
[00:01:57.880 --> 00:02:00.480]  還是一個神跡呢?
[00:02:00.480 --> 00:02:02.280]  沒錯,是一個神跡
[00:02:02.280 --> 00:02:05.560]  因為耶穌基督曾經幾次引用
[00:02:05.560 --> 00:02:07.360]  祂說你要求一個大的神跡
[00:02:07.360 --> 00:02:09.040]  除了若拿的神跡之外
[00:02:09.040 --> 00:02:13.280]  再沒有任何的神跡比若拿來大
[00:02:13.280 --> 00:02:17.120]  甚至用若拿在餘福之中的那三天
[00:02:17.120 --> 00:02:22.920]  來比喻自己是會埋葬、復活
[00:02:22.920 --> 00:02:26.760]  所以若拿這個事絕對是一個神跡
[00:02:26.760 --> 00:02:29.480]  而不是一個預渡故事
[00:02:29.480 --> 00:02:34.400]  我們開始進入《若拿書》裏面的經文去探討
[00:02:34.400 --> 00:02:36.720]  我們先看《若拿書》第一章
[00:02:36.720 --> 00:02:40.760]  今天我想和大家一起研讀完第一章
[00:02:40.760 --> 00:02:42.920]  第一章裏面一開始的時候
[00:02:42.920 --> 00:02:46.760]  就講到若拿得到神的召命
[00:02:46.760 --> 00:02:50.360]  《若拿書》第一章的第一、第二節
[00:02:50.360 --> 00:02:53.800]  耶和華都說:臨到阿米太的兒子若拿說:
[00:02:53.800 --> 00:02:57.240]  「你豈能往利利微大城去
[00:02:57.240 --> 00:02:59.080]  向其中的居民呼喊
[00:02:59.080 --> 00:03:01.880]  因為他們的惡達到我面前」
[00:03:01.880 --> 00:03:03.760]  上次都已經提到
[00:03:03.760 --> 00:03:08.840]  利利微大城是很有歷史性的意義的
[00:03:08.840 --> 00:03:13.560]  在《創世紀》裏面就已經有記載這個城
[00:03:13.560 --> 00:03:16.800]  而當時若拿的年代
[00:03:16.800 --> 00:03:20.640]  利利微城就是由亞述去管理
[00:03:20.640 --> 00:03:23.160]  亞述正在不斷興起
[00:03:23.160 --> 00:03:25.480]  越來越壯大
[00:03:25.480 --> 00:03:28.280]  所以為何若拿不想去利利微城
[00:03:28.280 --> 00:03:30.120]  利大大去港島呢?
[00:03:30.120 --> 00:03:34.600]  因為敵人強大就是我有威脅
[00:03:34.600 --> 00:03:38.200]  所以如果敵人衰亡就是我勝利
[00:03:38.200 --> 00:03:42.720]  所以若拿就絕對不想向利利微城的人
[00:03:42.720 --> 00:03:44.440]  利大大去傳道
[00:03:44.440 --> 00:03:48.080]  若拿利大大去得到神的呼召
[00:03:48.080 --> 00:03:52.520]  我們很確信若拿過去都是在服侍神
[00:03:52.520 --> 00:03:54.600]  甚至我們在上一堂看到
[00:03:54.600 --> 00:03:59.520]  若拿在耶羅邦安第二的時候做先知
[00:03:59.520 --> 00:04:01.560]  他曾經都發出一個預言
[00:04:01.560 --> 00:04:03.920]  就是說耶羅邦安第二
[00:04:03.920 --> 00:04:09.400]  是會再收復曾經失去的地圖
[00:04:09.400 --> 00:04:12.040]  也曾經經驗了
[00:04:12.040 --> 00:04:18.920]  所以若拿絕對不是一個第一次聽到神的話語的人
[00:04:18.920 --> 00:04:21.240]  他都曾經做得挺好的
[00:04:21.240 --> 00:04:24.640]  我也很相信我們每一個服侍神的人
[00:04:24.640 --> 00:04:26.720]  都曾經要做得好
[00:04:26.720 --> 00:04:31.040]  也曾經做過一些可能是失敗的事
[00:04:31.040 --> 00:04:33.680]  但很感恩神沒有放棄我們
[00:04:33.680 --> 00:04:35.880]  仍然給我們機會去服侍
[00:04:35.880 --> 00:04:39.880]  我們有時候會去信服神的帶領
[00:04:39.880 --> 00:04:42.680]  很簡單,你喜歡做的事情
[00:04:42.680 --> 00:04:45.920]  如果神叫你去做,你當然樂意去做
[00:04:45.920 --> 00:04:47.440]  最簡單來說
[00:04:47.440 --> 00:04:48.640]  對我來說
[00:04:48.640 --> 00:04:50.120]  我最喜歡的是什麼呢?
[00:04:50.120 --> 00:04:52.440]  就是講道、查聖經
[00:04:52.440 --> 00:04:54.280]  還有跟別人分享
[00:04:54.280 --> 00:04:57.200]  這些我是絕對不會來拒絕的
[00:04:57.200 --> 00:05:00.480]  但如果你要我去想行政的事情
[00:05:00.480 --> 00:05:02.360]  其實我就不太喜歡
[00:05:02.360 --> 00:05:06.440]  所以有時候當你做到堂主任的時候
[00:05:06.440 --> 00:05:09.320]  你就不可以不去處理行政的事情
[00:05:09.320 --> 00:05:11.880]  但我都盡量去放棄的了
[00:05:11.880 --> 00:05:13.800]  當年我做了堂主任的時候
[00:05:13.800 --> 00:05:15.520]  我開執事會是做什麼呢?
[00:05:15.520 --> 00:05:17.600]  我就帶領執事來去禱告
[00:05:17.600 --> 00:05:18.960]  禱告完之後
[00:05:18.960 --> 00:05:20.920]  現在我授權給副主席
[00:05:20.920 --> 00:05:22.400]  帶領我們來開執事會
[00:05:22.400 --> 00:05:23.680]  我就坐在一旁
[00:05:23.680 --> 00:05:25.680]  但我是可以multi的
