
[00:00:00.000 --> 00:00:02.000]  菩薩師傅讓我們聽神的道義
[00:00:02.000 --> 00:00:03.400]  心率已經很高了
[00:00:03.400 --> 00:00:06.000]  讓我們聽到這些先同心禱告
[00:00:06.000 --> 00:00:10.300]  太主,我們的主,我們的神
[00:00:10.300 --> 00:00:12.000]  多謝祢讓我們再次有生命
[00:00:12.000 --> 00:00:15.500]  有電臟的新生靈在祢的面前
[00:00:15.500 --> 00:00:17.500]  去侍奉祢
[00:00:17.500 --> 00:00:20.000]  以及去學習主祢的道
[00:00:20.000 --> 00:00:22.500]  求祢讓我們珍惜每一天的生命
[00:00:22.500 --> 00:00:25.000]  能夠在主祢裡面
[00:00:25.000 --> 00:00:27.500]  繼續彼此的學習
[00:00:27.500 --> 00:00:30.000]  祢只可以去侍奉、實踐
[00:00:30.000 --> 00:00:35.000]  但願主祢真的讓我們帶著感恩的心
[00:00:35.000 --> 00:00:37.000]  求祢也幫助我們
[00:00:37.000 --> 00:00:40.000]  將主祢給我們所聽到的道理
[00:00:40.000 --> 00:00:42.000]  能夠融會貫通
[00:00:42.000 --> 00:00:46.000]  並且實踐在我們每一天的生活裡面
[00:00:46.000 --> 00:00:48.000]  帶領更多的人形成祢
[00:00:48.000 --> 00:00:49.000]  保護我們耶穌基督
[00:00:49.000 --> 00:00:50.000]  保衛生命之義
[00:00:50.000 --> 00:00:52.000]  阿們
[00:00:52.000 --> 00:00:57.000]  最近在澳洲有一位總理
[00:00:57.000 --> 00:01:01.000]  一位女總理成為國際新聞的主題
[00:01:01.000 --> 00:01:06.000]  最近有一個澳洲的女總理成為新聞的主題
[00:01:06.000 --> 00:01:09.000]  這位女總理的名字叫Julia Gillette
[00:01:09.000 --> 00:01:11.000]  她的名字叫Julia Gillette
[00:01:11.000 --> 00:01:16.000]  她在國會當中發表了一篇偽論
[00:01:16.000 --> 00:01:19.000]  她在國會當中發了一篇偽論
[00:01:19.000 --> 00:01:22.000]  有沒有人聽過這單新聞?
[00:01:22.000 --> 00:01:24.000]  有人沒聽過這個新聞
[00:01:24.000 --> 00:01:30.000]  因為他們發現在他們國會的主席
[00:01:30.000 --> 00:01:32.000]  他們國會的主席
[00:01:32.000 --> 00:01:40.000]  曾經提出一些對女性非常不滿意的講話
[00:01:40.000 --> 00:01:45.000]  曾經提出對女性的一些不滿意的講話
[00:01:45.000 --> 00:01:48.000]  她就發覺反對黨
[00:01:48.000 --> 00:01:50.000]  發覺反對黨
[00:01:50.000 --> 00:01:52.000]  Tony Albert
[00:01:52.000 --> 00:01:56.000]  最初都很支持這位國會主席
[00:01:56.000 --> 00:01:59.000]  反對黨的領袖也很支持這個主席
[00:01:59.000 --> 00:02:03.000]  於是這位女總理就當著全世界
[00:02:03.000 --> 00:02:08.000]  在直播上指控這個反對黨領袖
[00:02:08.000 --> 00:02:13.000]  這個女總理就當著全世界來指責這個領袖
[00:02:13.000 --> 00:02:16.000]  她是偏幫這個國會主席
[00:02:16.000 --> 00:02:18.000]  她是偏幫這個國會主席
[00:02:18.000 --> 00:02:21.000]  並且形容她為恨惡女性的男人
[00:02:21.000 --> 00:02:24.000]  並且形容她為恨惡女性的男人
