
[00:00:00.000 --> 00:00:04.120]  今天跟大家分享的題目叫做《成熟的人生》
[00:00:04.120 --> 00:00:08.160]  保羅跟我跟你沒有太大的分別
[00:00:08.160 --> 00:00:10.920]  因爲我們從遇見了主
[00:00:10.920 --> 00:00:15.120]  我們的生命也接受了祂的救恩
[00:00:15.120 --> 00:00:21.440]  從與主耶穌在十詐中聯合在一處開始
[00:00:21.440 --> 00:00:27.120]  我們總是在神的面前會領受祂給我們的吩咐
[00:00:27.120 --> 00:00:31.480]  一個基督徒最悲慘的就是他知道耶穌是誰
[00:00:31.480 --> 00:00:34.560]  卻不能夠跟隨耶穌
[00:00:34.560 --> 00:00:38.760]  保羅也希望認識了主以後他的生命開始改變
[00:00:38.760 --> 00:00:45.040]  神在他生命當中的新意開始一點一點地來顯露
[00:00:45.040 --> 00:00:46.920]  接受了神的職份
[00:00:46.920 --> 00:00:50.680]  他的生命開始變得謙虛
[00:00:50.680 --> 00:00:53.720]  信仰開始成熟
[00:00:53.720 --> 00:00:57.960]  不單單是帶着這個賠累的身軀來服侍
[00:00:57.960 --> 00:00:59.840]  而且帶着了盼望
[00:00:59.840 --> 00:01:03.480]  而且能夠堅持到底
[00:01:03.480 --> 00:01:07.880]  最奇妙的事情就是當一個人接受了主耶穌的帶領的時候
[00:01:07.880 --> 00:01:10.480]  他的生命所看見的
[00:01:10.480 --> 00:01:15.160]  就不僅僅是他跟神之間的關係
[00:01:15.160 --> 00:01:18.520]  他的視野好像被打開的倉庫一樣
[00:01:18.520 --> 00:01:20.440]  看見天空
[00:01:20.440 --> 00:01:23.320]  遠之明牧師就講過一句話
[00:01:23.320 --> 00:01:25.960]  他說他曾經失去了大地
[00:01:25.960 --> 00:01:28.080]  卻得來了天空
[00:01:28.080 --> 00:01:30.360]  今天基督徒的生命也是一樣
[00:01:30.360 --> 00:01:34.120]  當我們接受了神在我們生命當中的帶領的時候
[00:01:34.120 --> 00:01:36.680]  我們的視野好像飽得一樣
[00:01:36.680 --> 00:01:42.480]  就開始不單單看見我跟神之間這種特有的關係
[00:01:42.480 --> 00:01:45.080]  他會開始看見我的生命
[00:01:45.080 --> 00:01:51.800]  可以如何地爲着實踐基督的使命而生活下去
[00:01:51.800 --> 00:01:54.720]  在他的背後產生一種動力
[00:01:54.720 --> 00:01:56.440]  讓他謙卑
[00:01:56.440 --> 00:01:58.600]  讓他接受這環境
[00:01:58.600 --> 00:02:00.520]  爲他成長起來
[00:02:00.520 --> 00:02:04.760]  讓他在人際的關係當中看見主耶穌的恩惠
[00:02:04.760 --> 00:02:08.080]  在工作間裏面看見服侍的機會
[00:02:08.080 --> 00:02:11.480]  在服侍裏面看見與神同在的喜樂
[00:02:11.480 --> 00:02:14.520]  在他看見遠望前景的時候
[00:02:14.520 --> 00:02:19.760]  看見有一種講不出來的能力引導着他們
[00:02:19.760 --> 00:02:24.360]  我們叫這個叫做一個異象的人生
[00:02:24.360 --> 00:02:29.920]  一個人有異象一定是從神的愛開始
[00:02:29.920 --> 00:02:31.920]  愛終有軟弱
[00:02:31.920 --> 00:02:34.480]  異象就變得貧窮
[00:02:34.480 --> 00:02:37.680]  愛終有這一種的衝擊
[00:02:37.680 --> 00:02:40.000]  愛終有這一種的堅定
[00:02:40.000 --> 00:02:45.120]  就產生了很多很大的可能性
[00:02:45.120 --> 00:02:49.280]  原來因着愛神的時候我們的生命可以被改變
[00:02:49.280 --> 00:02:51.880]  上個禮拜四聽到了一個牧師
[00:02:51.880 --> 00:02:54.920]  很出名的牧師叫做John Albert
[00:02:54.920 --> 00:02:58.560]  John Albert是美國在Chicago
[00:02:58.560 --> 00:03:02.640]  Willow Creek的一個很大的教會的一個教導的牧師
[00:03:02.640 --> 00:03:04.360]  他就分享
[00:03:04.360 --> 00:03:07.120]  他就講到他如何認識主
[00:03:07.120 --> 00:03:09.960]  然後認識主以後他生命如何改變
[00:03:09.960 --> 00:03:11.840]  奇妙的事情就是
[00:03:11.840 --> 00:03:16.680]  我們很多時候都不太瞭解神在我們生命的心意
[00:03:16.680 --> 00:03:18.880]  他講到他認識了主以後
[00:03:18.880 --> 00:03:20.320]  滿懷了這種盼望
[00:03:20.320 --> 00:03:25.160]  他說我要成爲一個幫助扶持人的牧師
[00:03:25.160 --> 00:03:27.080]  所以他就去唸
[00:03:27.080 --> 00:03:30.800]  在神學院裏面是專門念心理學
[00:03:30.800 --> 00:03:33.600]  結果他念完了以後
[00:03:33.600 --> 00:03:36.040]  開始服事的時候就發現
[00:03:36.040 --> 00:03:38.920]  原來神沒有給他這種恩賜
[00:03:38.920 --> 00:03:40.000]  爲什麼?
[00:03:40.000 --> 00:03:42.560]  因爲他每次輔導別人的時候
[00:03:42.560 --> 00:03:46.200]  越輔導這個人就越變得壞
[00:03:46.200 --> 00:03:50.360]  那越輔導的時候這個人的情況越來越變得差
[00:03:50.360 --> 00:03:52.520]  所以在那個時候他驚訝於
[00:03:52.520 --> 00:03:55.480]  他說神啊你只不是愛我嗎?
[00:03:55.480 --> 00:03:56.640]  只不是撫教我嗎?
[00:03:56.640 --> 00:04:00.440]  爲什麼我輔導的人每一個輔導的時候
[00:04:00.440 --> 00:04:03.760]  原先不要進醫院的現在進醫院去了
[00:04:03.760 --> 00:04:05.840]  所以他心裏面說很難爲
[00:04:05.840 --> 00:04:08.800]  就因爲他對神沒有一個移動
[00:04:08.800 --> 00:04:10.320]  愛心沒有移動
[00:04:10.320 --> 00:04:13.880]  所以他就在那個時候決意在神的面前付出
[00:04:13.880 --> 00:04:16.640]  他跟神說神啊既然你愛我
[00:04:16.640 --> 00:04:18.360]  你一定能夠使用我
[00:04:18.360 --> 00:04:22.680]  你愛我一定有你自己在背後當中給我的這種的感動
[00:04:22.680 --> 00:04:25.080]  我願意
[00:04:25.080 --> 00:04:28.040]  就在以後的那好幾天裏面
[00:04:28.040 --> 00:04:30.120]  我就跪在神的面前
[00:04:30.120 --> 00:04:30.920]  呼求神
[00:04:30.920 --> 00:04:32.320]  神那裏告訴我
[00:04:32.320 --> 00:04:35.200]  你說我要做一個基督徒的清道夫
[00:04:35.200 --> 00:04:36.320]  我也願意
[00:04:36.320 --> 00:04:39.640]  你要說我要離開本國要做你的事情
[00:04:39.640 --> 00:04:40.640]  我願意
[00:04:40.640 --> 00:04:43.960]  總是你說話我願意聽
[00:04:43.960 --> 00:04:46.520]  結果因爲這個禱告過了幾天以後
[00:04:46.520 --> 00:04:48.960]  神就開始慢慢慢慢的告訴他
[00:04:48.960 --> 00:04:53.120]  他說你不適合輔導一個人
[00:04:53.120 --> 00:04:55.120]  我給你另外一個工作
[00:04:55.120 --> 00:04:59.840]  這引領他到了一個教會里面當一個助理的牧師
[00:04:59.840 --> 00:05:02.040]  以後在做助理牧師的時候
[00:05:02.040 --> 00:05:05.000]  有一天那個牧師主任牧師跟他說
[00:05:05.000 --> 00:05:06.200]  好
[00:05:06.200 --> 00:05:07.400]  John
[00:05:07.400 --> 00:05:10.200]  我要你長大
[00:05:10.200 --> 00:05:11.760]  結果他就上臺
[00:05:11.760 --> 00:05:12.840]  這個是真的事情
[00:05:12.840 --> 00:05:18.040]  沒有加上任何的誇張的地方
[00:05:18.040 --> 00:05:22.120]  他說他第一天去了這個教會
[00:05:22.120 --> 00:05:24.760]  牧師吩咐他第一次長大的時候
[00:05:24.760 --> 00:05:28.560]  在講臺當中講了十分鐘以後
[00:05:28.560 --> 00:05:31.960]  他就暈倒了
[00:05:31.960 --> 00:05:33.720]  那麼
[00:05:33.720 --> 00:05:36.320]  當然沒有辦法繼續講
[00:05:36.320 --> 00:05:38.840]  後來這個主任牧師第二次給他機會
[00:05:38.840 --> 00:05:41.720]  他說你來過了一年了
[00:05:41.720 --> 00:05:43.640]  現在大概沒有什麼問題吧
[00:05:43.640 --> 00:05:46.040]  所以John你再來在教會里面長大
[00:05:46.040 --> 00:05:47.400]  結果他再來的時候
[00:05:47.400 --> 00:05:52.000]  第二次長大十分鐘以後怎麼樣
[00:05:52.000 --> 00:05:54.000]  又暈倒了
[00:05:54.000 --> 00:05:57.520]  但是因着這一個對自己的更深入的瞭解
[00:05:57.520 --> 00:05:59.800]  神在恩典當中的扶持
[00:05:59.800 --> 00:06:05.400]  他後來成爲這個Megachurch的教導的牧師
[00:06:05.400 --> 00:06:09.600]  到了他原先的教會75週年的時候
[00:06:09.600 --> 00:06:10.720]  他們要慶祝的時候
[00:06:10.720 --> 00:06:14.480]  他說要找什麼人來長大
[00:06:14.480 --> 00:06:17.360]  就想起了這個John Aubert
